User Name,Review Date,Rating,Review Body
Kim Kinney,"Reviewed in the United States on February 4, 2025",5.0 out of 5 stars,I listened to this book on Audible and it is absolutely fantastic. Every parent and grandparent should read this book. It should be mandatory reading. Social media is not benign. It is taking over our children and rewiring their brains causing permanent damage. It is vital we wake up to the hazards of social media and get control of it because our children are unable to do so. Their brains are not fully mature until they are in their 20s. And is our responsibility to stop the damage that is being done. We have moved from play-based childhood to digital-based childhood and the consequences are catastrophic. I don’t see how anyone could give this book under a five-star rating.
Q,"Reviewed in the United States on January 13, 2025",5.0 out of 5 stars,"This book truly articulated the shift in culture that we are seeing in society today with the proliferation of phones and expansion of the digital world. This book is such and important read for everyone, especially parents of young kids who are being raised in this new environment. His suggestions for collaboration by all to get a handle of this situation are spot on and need to be shared widely. Thank you for writing this book!"
Annie,"Reviewed in the United States on December 10, 2024",3.0 out of 5 stars,"Overall this was really good (and really sad, honestly) information about the world we live in. I think it is really critical that people know this information and act upon it. As far as his writing, he compares humans to animals A LOT which was a little annoying and talked a lot about evolution (which is his own belief and that is fine, but when applying to the masses I think he could have left all of that out and still made just as compelling of an argument). The overall message is crucial to read. I think a follow up book if you haven't already read it is Digital Minimalism to really affect change in your own personal life with screens. Another thing that bugged me was that he talked a lot about independence in children and I would love to know more about that especially as a parent of a girl because I want that for my child, but there are still evil people in the world."
Jodie L Talley,"Reviewed in the United States on November 11, 2024",2.0 out of 5 stars,"The problem with this author is that he takes a small piece of a social puzzle or his personal experience and then over-expands that out to cover something as broad as the entire nation or an entire generation, when it simply is not true. His data is sometimes not even solid or is misleading. This book will make you think the generation‘s entire problem is social media, and it’s absolutely not true. Do we need more free range parenting, yes, but he could’ve covered everything he needed to cover in two chapters. Don’t waste your money. Get Gen Z, Explained: The Art of Living in a Digital Age instead by four Stanford scholars and published by the University of Chicago press. Do trust me on this."
RK,"Reviewed in the United States on September 3, 2024",5.0 out of 5 stars,"This is exactly what I had been trying all along with my kids ""Free play over video games, no cell phones, utilize time either solving complex problems or just sit and read any book, kids horseplay and test out the limits when they play with each other) I am glad this book is advocating the same things. This book won't do well in the UK since folks there are generally uptight (free play offends them) and like to control kids' behavior/boredom by offering them digital media. But this is a must-read for American kids and their parents so they can realize the hidden dangers of digital media."
Brandy Schuler,"Reviewed in the United States on August 1, 2024",4.0 out of 5 stars,"As a former preschool teacher turned middle-aged parent of a teen, ""The Anxious Generation: How the Great Rewiring of Childhood"" hit me right in the feels. This book brilliantly dissects the chaos our digital world has thrown at today’s kids, making me nod in agreement and occasionally want to hug my old flip phone. It’s a compelling, eye-opening read that’s packed with insights, making it a must-read for parents, teachers, and anyone who’s ever wondered if kids these days really are different (spoiler: they are, and here’s why). Funny, poignant, and thought-provoking, it’s like having a coffee chat with an old friend who’s also a child psychology whiz. Highly recommended!"
Shad,"Reviewed in the United States on July 26, 2024",5.0 out of 5 stars,"The Anxious Generation is a compelling and insightful exploration into the intricate relationship between social media use and the rising tide of mental health issues among today’s youth. The book adeptly connects the dots between the pervasive presence of social media in children’s lives and the corresponding increase in anxiety, depression, and other mental health challenges.

Haidt delves deeply into how the constant connectivity and digital interactions shape the psychological development of young people. Through a well-researched narrative, the book examines how the pressures of social media, from the quest for validation to the comparison culture, contribute significantly to mental health problems. The detailed analysis of how these platforms alter social dynamics and self-perception offers a thorough understanding of their impact on mental well-being.

What stands out in The Anxious Generation is its ability to present complex issues in an accessible manner, supported by both empirical data and real-world anecdotes. The book doesn’t just highlight the problems; it also prompts readers to consider potential solutions and approaches to mitigating the negative effects of social media.

For anyone concerned about the intersection of technology and mental health, The Anxious Generation provides a valuable and thought-provoking read, shedding light on the pressing issue of how modern digital environments are reshaping childhood and mental health."
Budgetstyles,"Reviewed in the United States on July 15, 2024",5.0 out of 5 stars,"This book is whistleblowing on current parenting trends and on social media platforms. Every adult needs to read this book! Whether you are a parent or educator or hoping to become a parent, this book will open your eyes to the danger of digital based technologies. It will also challenge you to think differently moving forward!"
Jesus vera,"Reviewed in the United States on July 8, 2024",5.0 out of 5 stars,"Even though we want to avoid to talk about the impact of digital technology on our kids but we, parents must be concerned about it and this book shows it and how to manage the technology day by day until they're ready"
T. P. Casey,"Reviewed in the United States on May 20, 2024",4.0 out of 5 stars,"Social scientist Jonathan Haidt’s The Anxious Generation articulates details of a new psychological/social malady swiftly metastasizing in our culture. Wickedly, it begins in childhood, with the consent and abetting of adults. Smartphones, and other digital devices, “bring so many interesting experiences to children and adolescents that they cause a serious problem. They reduce interest in all non-screen-based forms of experience (author’s italics)”. This is the fundamental understanding at the core of the author’s thesis. Throughout The Anxious Generation, Haidt attempts to ask and answer in detail the following questions of the toxic cultural change we are living through: What has happened? How do we know it has happened? Why has it happened? What can we do about it?

Haidt writes: “I’ll show what governments, tech companies, schools and parents can do to reverse the disastrous transition from play-based to phone-based childhood.” He gives us a banquet of food for thought, but the elephant in the room remains: are citizens hungry for what he serves?

The book asserts that childhood’s necessary learning experiences have been curtailed by a cultural confluence of toxic events: safetyism that has moved from exclusive emphasis on physical safety to include now fears regarding emotional safety (safe rooms in colleges). Documented diminished confidence in faith-based and civil institutions also contributes to more disassociated adult human interaction.

“On the internet, everyone is the same age, which is no particular age. This the main reason why a phone-based adolescence is badly mismatched with the needs of adolescents…It all got worse during the COVID years of ‘social distancing’ and online everything.” According to studies reported by Haidt, “45% of teens report that they use the internet ‘almost constantly’…[This] has enormous implications for cognition.”

In 2017, Israeli psychologist, Professor Sam Vaknin, characterized the hording or paucity of hits on social media “like” buttons as a conditioning process, comparing it to the electrodes implanted in a rat’s brain to deliver a pleasure-jolt of dopamine. This conditions the rat to choose the pleasure bar instead of the food bar, and the rat will begin to starve itself. Vaknin, citing eating disorders and suicide statistics among teenagers, especially girls, stated that giving up addiction to social media is a two-step process that requires first, deprograming, and second, withdrawal. What has evolved is, en-masse, a serious mental condition, in kind with brainwashing.

Haidt offers potential solutions to the early, deleterious pre-teen exposure to smartphone dysphoria: 1. No smartphones before high school. 2.No social media before 16. 3. Phone-free schools. 4. Far more unsupervised play and childhood independence. The Anxious Generation says these goals probably might be effective. But will enough parents collectively agree to them? There is no current answer to that question.

Haidt writes: “The Great Rewiring of Childhood pulled young people out of real-world communities, including their own families, and created a new kind of childhood lived in multiple, rapidly shifting networks. One inevitable result was anomie, or normlessness, because stable and binding moralities cannot form when everything is in flux…The phone-based life produces spiritual degradation, not just in adolescents, but in all of us…In 2010 there was little sign of a mental health crisis. Now it’s all around us.”

--Tom Casey"
