User Name,Review Date,Rating,Review Body
Janine Donoho aka J. M. Donoho & Jessie Jayne Smith,"Reviewed in the United States on March 2, 2025",4.0 out of 5 stars,Appreciated Haidt's careful building of the case to limit the damage caused by cell phones and social media. Needed the clear and concise fixes to this epidemic even more. Thank you.
RSC,"Reviewed in the United States on February 21, 2025",4.0 out of 5 stars,"While I don't agree with Mr. Haidt in every point he made in this book, overall it is an excellent book. A lot of important truths in this for parents, or anyone concerned about the mental health of children."
Kae,"Reviewed in the United States on February 2, 2025",4.0 out of 5 stars,"Well researched and well argued. A better editor would have nixed the tangential (and disappointing) chapter 8, which weirdly veers into spirituality, but overall there's a lot of value here which I will absorb into my own parenting."
Charles M,"Reviewed in the United States on January 13, 2025",4.0 out of 5 stars,"I have to say I skimmed some sections. I found some points to be a little belabored, but at least the message was clear and well-supported with logic.

I did wish the citations were easier to follow. In the Kindle version, you can click on a superscript to see the source, but it only gives author and date, no title. I don't want to have to track down the bibliography while reading.

Also, this is completely unrelated to the subject matter, but the author's anecdote about how his adolescent puppy learned to be okay with larger dog by letting her running up to leashed stranger dogs is a horrible way to socialize your dog! Many ordinarily social dogs will become defensive and reactive when approached by an overexcited loose dog when they tethered by a leash and can't move away. I lost respect for the author when I read that section, complete with a photo of his dog running erratically around a tense and leashed GSD."
Bud,"Reviewed in the United States on January 7, 2025",4.0 out of 5 stars,"The book was good, but I disagree with evolution, which the author talks about throughout the book. The author claims the psychology of humans evolved, and their evolution is incompatible with technology today. I agree that cell phones are very bad and caused a lot of mental illness. However, I disagree that humans are fit for only tribes and primitive technology."
Trevor,"Reviewed in the United States on December 25, 2024",4.0 out of 5 stars,Very informative about the generation after 1995. I wasn't aware that cell phones had such an effect on the younger generation.
Timothy Haugh,"Reviewed in the United States on December 1, 2024",4.0 out of 5 stars,"Professor Haidt’s book with Greg Lukianoff, The Coddling of the American Mind, is one of those that I think offers a number of important insights into the hyper-sensitivity of the recent classes of students. Though I think the book is rather poorly written, it speaks to something important about the current state of affairs in education. My feelings about this current book are much the same. He presents both anecdotal and well-researched conclusions, but repetition and bullet point closings to each chapter make for often tedious reading.

As a high school teacher with more than 30 years in the field and as a parent to two teenagers (one girl, one boy) it’s easy for me to see the effects that Professor Haidt describes in this book as well as the gender differences in the impact. I often am saddened by the social isolation I see as students spend their free time staring into their phones. I know the sleep deprivation my kids get too often despite my attempts to get them into healthy lifestyles. The research does not speak well of the mental health of the young.

The suggestions that Professor Haidt makes to try to address the problems of smartphones are mostly excellent; however, they can be difficult to apply in practice. Despite a real push, my school has had indifferent success in keeping phones out of students’ hands during the day, mainly because it is difficult to get the buy-in from parents who coddle their kids. To be fair, as a parent, I know the difficulties in monitoring screen time. On the other hand, I believe in the antifragility of the young and have had some success in getting my kids to take risks and deal with failure.

It’s amazing how much the change in students has accelerated over the eight years between these two books. I often feel at a loss about what I can do. Even a decade ago when my kids were toddlers, the freedom I tried to give them was frowned on by other parents. Now, I’m not sure what I would do. My more traditional school values are often beat down in the face of softening parents and administrators to the point where I am anxious for my long career to come to an end as I am frustrated on a daily basis dealing with these new problem—AI doing students’ work, the inability to spend more than a few minutes actually focusing on their work.

As a rule, I am a daily pessimist and long-term optimist. I believe that we will eventually figure out a way around these problems we face. In the meantime, however, the children suffer. I hope there are parents and schools out there that will take Professor Haidt’s suggestions to heart and try to make things better now."
kiwifruit,"Reviewed in the United States on November 28, 2024",4.0 out of 5 stars,"I feel this book was pretty comprehensive about the situation since the 1990's but left out a few things: childhood is more regimented with less free play partly due to fewer parents at home (life is expensive, people have to work), more scheduled and adult-supervised activities in child care and early preschool, parent-demanded early academics, and finally fears of child protective services at a time when a 10 year old walking home from school can draw charges."
Robyn K. Steenbock,"Reviewed in the United States on November 10, 2024",4.0 out of 5 stars,Love the book! Didn’t give it 5 stars because the laminate material on the front and back covers appears to be separating.
May Miao,"Reviewed in the United States on November 10, 2024",4.0 out of 5 stars,"A very succinct account mainly on 2 parts
1 overprotection in parenting
2- screen time replaced the play based childhood"
Stephanie Rabell,"Reviewed in the United States on November 2, 2024",4.0 out of 5 stars,"Lots of stats, but once you get past that, tons of good info for all parents, grandparents, nannies, babysitters, etc.. You just may put your phone down yourself. Highly recommend."
Walker,"Reviewed in the United States on October 31, 2024",4.0 out of 5 stars,"Very good book, it reveals real problems and crisis the generation Z is facing."
Kristin,"Reviewed in the United States on October 29, 2024",4.0 out of 5 stars,I was not surprised by anything I read in this book watching the kids today grow. I have unfortunately also fallen into the trap of not being as diligent as I should about technology use in my home. I did however learn a few things as well. I think it brought me a new perspective on the appropriate ages kids should have access to certain platforms. I think this is a very informative read and people really should read it to better understand the direction the kids are headed.
Billy Kirkpatrick,"Reviewed in the United States on October 13, 2024",4.0 out of 5 stars,"I didn’t expect this to be a child-rearing book. But it is. That’s ok. I still got a lot out of it, but I am feeling like I’m missing some connections while reading.

Overall, very good suggestions. The analysis and graphs showed the story exceptionally well, and at a dumb enough level that even I could follow! Although I did feel there was a bias here that was set before the author(s) started writing. Like they came up with a hypothesis and only looked for data that confirmed this. I feel this because of the graphs showing differing time frames and not quite lining up with the proposed assertion’s dates.

Strongly recommended for those with kids or who want a skin-deep dive into the sociology behind anxiety and depression that smartphones potentially bring."
Angela Bauer,"Reviewed in the United States on August 28, 2024",4.0 out of 5 stars,I highly recommend this book if you have kids that are on social media. Lots of truth behind these words and maybe a bit of understanding of what our kids are going thru.
Kyler,"Reviewed in the United States on August 19, 2024",4.0 out of 5 stars,"Absolutely phenomenal book. Haidt hits the nail on the head for issues regarding social media and tech use. The only shortcoming is Haidt fails to acknowledge the rise of Autism or kids with disabilities, broken homes or other challenges and the role that media plays in liberation."
Amazon Customer,"Reviewed in the United States on August 13, 2024",4.0 out of 5 stars,"A lot of friends recommended this book to me so I was very excited to read it. It’s taken a while to get into it because there’s a lot of data that is used to prove the auther’s point. That’s not necessarily a bad thing, but it’s not as quick of a read as I hoped. Overall, I love the theme and wills continue to read."
megan,"Reviewed in the United States on August 9, 2024",4.0 out of 5 stars,"Haidt's ideas regarding free play and phone free childhoods wouldn't solve all of our problems, but I do think it would start to solve some of our problems. I enjoyed his research based approach to tackling some of our kids' biggest problems."
Brandy Schuler,"Reviewed in the United States on August 1, 2024",4.0 out of 5 stars,"As a former preschool teacher turned middle-aged parent of a teen, ""The Anxious Generation: How the Great Rewiring of Childhood"" hit me right in the feels. This book brilliantly dissects the chaos our digital world has thrown at today’s kids, making me nod in agreement and occasionally want to hug my old flip phone. It’s a compelling, eye-opening read that’s packed with insights, making it a must-read for parents, teachers, and anyone who’s ever wondered if kids these days really are different (spoiler: they are, and here’s why). Funny, poignant, and thought-provoking, it’s like having a coffee chat with an old friend who’s also a child psychology whiz. Highly recommended!"
Robert H.,"Reviewed in the United States on July 25, 2024",4.0 out of 5 stars,"At breakfast with a member of our local Board of Ed, I asked what is behind the growth industry of psychologists, psychiatrists, and counselors in our (and all) school districts. I asked why we unquestioningly welcome the increase in the number of troubled students and wanted to know the root cause of all this malaise. He replied ""Social media on mobile phones."" Then he told me about this book.
Haidt appears to be at the cutting edge of diagnosing the social, emotional, and physical effects of social media. Right up front, he outlines the topics he will tackle in this book and how he will propose to help solve the problems. And he does: His book is full of data and is perfectly convincing. My observation is that he could achieve all his goals more effectively with less repetition, side dalliances, and bloat. One gets the message much sooner and more often than the book demands.
Still! If you recall the big move to delay school start times in the morning because the data supported the benefits, you should make an appointment with the Superintendent, as I have, to ask what they intend to do about the damage caused by the carpet bombing of developing minds by empty - and emptying - social media."
Kindle Customer,"Reviewed in the United States on July 14, 2024",4.0 out of 5 stars,Lots of information that is helpful but don’t agree with all of it. I think play still needs some supervision. Kids being mean usually win out instead of ‘figuring it out’ like he suggests.
