User Name,Review Date,Rating,Review Body
Darren L. Truax,"Reviewed in the United States on September 10, 2024",1.0 out of 5 stars,I liked the book but was charged for it even though I have Kindle Unlimited. Please explain why I was charged for this order.
Gerri Newfry,"Reviewed in the United States on October 3, 2021",1.0 out of 5 stars,frequently skipped ahead at least 2 pages. is the kindle app now defunct?
Mad,"Reviewed in the United States on September 6, 2021",5.0 out of 5 stars,"I give this book five stars for its CONTENT but I felt it would be silly to take a whole star off just because of the publisher.

My only issues are small so I’ll just get them out of the way:
— Sentences are missing MANY commas, so I often have to reread to understand. But it’s worth it because this is the best psychology book I have EVER read, & I’ve only read a 100 pages!
— Softcover is super flimsy, pages are nearly as thin as bible paper. This makes it really hard to take notes in the book. I have my B.S in psych so I wanna use this as a reference when I make it to grad school. I wish it was closer to the size of a textbook.

ANYWAY!

I don’t even know where to start. I’ve read so many of the popular psychology/self-help books & still felt like something wasnt making sense about the trauma part. I have had a few traumatic experiences in childhood & I’m still figuring out how I feel about myself at 30yrs old.

If you think you have trauma, you probably do. It can be small. It does mot have to be a war zone or car accident to distort your thinking. Anyone who reads this book or considers it needs to understand this because you need to accept your trauma to let yourself move on. You deserve it!

This book is a cure for the curious. It’s the best manual for ANY person who seeks out therapy or wants to try to use self-educating. This book has everything you can think of related to trauma.

It will BLOW. YOUR. MIND. I consider myself fairly educated on the subject & I constantly find myself in awe of what the writer says.

This book is perfect for you or your family so they can help understand you & vice versa. I have been marking passages to show to my family. I don’t believe there is ANYONE who couldn’t benefit from this absolute masterpiece.

Go buy it. You will not regret it. I rarely buy physical copies of books but I HAD to have this one after reading it on my kindle. I am just in love with this book. I see myself buying another copy in the future just for notes.

P.S.- i wish Amazon would ban book reviews that give bad reviews based on how it arrived. Amazon will always help you out if you just go to the chat section!"
alisha stamper,"Reviewed in the United States on August 5, 2021",1.0 out of 5 stars,This edition is missing pages. MANY. This needs to be addressed.
Jackie,"Reviewed in the United States on June 14, 2021",3.0 out of 5 stars,Bought the Kindle version and there are multiple missing pages. I’m only 1/4 of the way through so thats the extent of my review for now. But would be nice to make sure I’m not missing anything important.
Baja Reader,"Reviewed in the United States on January 15, 2021",3.0 out of 5 stars,"I will have to find a different method to read this book. The paperback’s version FONT size is very small and the book heavy in weight for an older (70) yrs old accostumed to read fiction.

Could not complete much and will try the kindle form or audio. Have not read a psych text since college but life experience is vast and can relate, hopefully."
Amazon Customer,"Reviewed in the United States on December 21, 2019",1.0 out of 5 stars,"The print is so tiny, it is very difficult to read😔I have to use a Kindle to read it.This is an Amazing book if you have been through a traumatic event in your life."
really fun,"Reviewed in the United States on September 28, 2019",5.0 out of 5 stars,"What an outstanding audible, kindle and book! Should be required reading for teachers, all medical and mental health professionals."
Paul,"Reviewed in the United States on August 5, 2019",1.0 out of 5 stars,Why is Kindle more expensive than paper back?
C Douglas,"Reviewed in the United States on June 22, 2019",5.0 out of 5 stars,"I'm buying the 3rd copy of this book for my kindle. I've loaned out my paperback twice, not getting it back, which is great, because anyone who gets anything from this book should have a copy of it I believe. It opened my eyes to see the mechanisms created to cope with trauma and learn that I'm not alone and it's not my fault. Buy it. Buy it for a friend."
Mike B.,"Reviewed in the United States on June 16, 2019",1.0 out of 5 stars,I'll wait for the Kindle price to be 2.99
Priscillaaaa,"Reviewed in the United States on January 17, 2019",5.0 out of 5 stars,"This book is brilliant. As a mental health professional, this book laid out all the research, and powerful stories tied in together with the topic of trauma. I couldn’t put the book down, it was so well written and wonderfully thought out. I love this book! I bought it in kindle version, but love it too much so I bought the hard copy also. Brilliant. Thank you Dr Van der Kolk!"
