User Name,Review Date,Rating,Review Body
Angelina M,"Reviewed in the United States on May 25, 2024",5.0 out of 5 stars,"Slightly slow in the beginning. But besides this being one of my favorites and recommending to everyone, I especially recommend it to- parents, teachers, partners of trauma survivors and those with PTSD, and anyone who works with kids or people who grew up disadvantaged.

I can’t say enough good things about this book. Incredibly informative, insightful, thought provoking, and paints the science in an understandable way that will leave you feeling a lot of empathy, and possibly asking deeper questions about your own life experiences and healing approaches. Even if you’re not interested in trauma or healing, you’ll learn a ton about what makes us who we are, and how much genetics and experiences make us.

I actually ordered this while being partway through listening to the audiobook. I don’t reread books but I took a lot of notes on this one and wanted to have a physical version for reference and possible rereading certain chapters in the future.

Good paper back format, nice size."
Pilar H,"Reviewed in the United States on January 6, 2024",5.0 out of 5 stars,Worth getting if you or someone you love has ever been through any kind of trauma
Kim M,"Reviewed in the United States on September 26, 2023",2.0 out of 5 stars,It was hard for me to get through reading this because it was more research paper like with more medical / research jargon that I would have liked.
Penelope Wells,"Reviewed in the United States on December 5, 2022",4.0 out of 5 stars,"Excellent book for understanding how truly controversial the field of psychiatry is around trauma diagnoses and treatments. I can personally attest to the authenticity of the author’s portrayal of clinician reluctance or squeamishness in diagnosing and treating trauma or even just recognizing trauma symptoms or a particular organization of symptoms as valid in their own right, worthy of viable labeling and inclusion in the future versions of the DSM for psychiatry. Misdiagnosis is a real and traumatic experience for people who survive traumatic events and enter into psychiatric care for answers, and furthermore, is something we need to push against as consumers of mental health care. Vanderkolk is very intelligent and compassionate. I think most readers will understand and appreciate what he is trying to convey to survivors and professionals alike with respect to the far-reaching nature of enduring traumatic experiences and the ethical implications of treating trauma in clinical practice, among other things. The author has included highly personal stories for readers to gather a sense of what is happening in real time with this mental health issue. Readers begin to understand that the human brain retains traumatic experience indefinitely and this can and does present a vast social dilemma, one worthy of honest inclusion in viable treatments and funding for research. My only complaint or discomfort with the book is that at times I sense the author’s approach in revealing clinical data gets bogged down by, or clouds the narrative. Feels like reading a medical paper or an article from a journal, leaving something to be desired. After reading The Body Keeps the Score, you will definitely view psychiatry in a different light, either positive or negative depending upon your individual experiences, and you will view the human brain/body connection in a different light. An insightful and deeply meaningful book."
Vickie Rock,"Reviewed in the United States on October 19, 2022",3.0 out of 5 stars,"I think there is valuable content, but the print and paper makes it next to impossible to access."
Charity,"Reviewed in the United States on July 14, 2022",3.0 out of 5 stars,I should have ordered the digital version. The font is very light and rather small and the paper is thin enough to get distracted by the print on the back of the page showing through. Other reviews mentioned the story of a veteran rapist featured at the beginning of the book so I just skipped that part. Another edition should be done to remove that story as this is a book about trauma and it’s difficult to feel empathy for a rapist even if they are a veteran.
natalia moody,"Reviewed in the United States on December 20, 2021",4.0 out of 5 stars,"This book is absolutely priceless - a must have if you are interested in healing trauma, whether it be your own, or assisting other people with overcoming theirs. The author has a brilliant mind and you can tell his wisdom is embodied and not just cerebral.. highly, highly recommend.

The only reason I gave it 4 stars is not because of the content but the quality of the book itself - I left it in my car on a hot day and the pages came loose from the cover. Now it's just a stack of paper with the cover placed around it. Learned my lesson, but I've also never had this happen with any other books before!"
Kreen,"Reviewed in the United States on September 26, 2021",5.0 out of 5 stars,"I listened to most of it on Audible that someone shared with me.
It was so extraordinary that I needed a paper copy to read slower, underline and make notes"
Mad,"Reviewed in the United States on September 6, 2021",5.0 out of 5 stars,"I give this book five stars for its CONTENT but I felt it would be silly to take a whole star off just because of the publisher.

My only issues are small so I’ll just get them out of the way:
— Sentences are missing MANY commas, so I often have to reread to understand. But it’s worth it because this is the best psychology book I have EVER read, & I’ve only read a 100 pages!
— Softcover is super flimsy, pages are nearly as thin as bible paper. This makes it really hard to take notes in the book. I have my B.S in psych so I wanna use this as a reference when I make it to grad school. I wish it was closer to the size of a textbook.

ANYWAY!

I don’t even know where to start. I’ve read so many of the popular psychology/self-help books & still felt like something wasnt making sense about the trauma part. I have had a few traumatic experiences in childhood & I’m still figuring out how I feel about myself at 30yrs old.

If you think you have trauma, you probably do. It can be small. It does mot have to be a war zone or car accident to distort your thinking. Anyone who reads this book or considers it needs to understand this because you need to accept your trauma to let yourself move on. You deserve it!

This book is a cure for the curious. It’s the best manual for ANY person who seeks out therapy or wants to try to use self-educating. This book has everything you can think of related to trauma.

It will BLOW. YOUR. MIND. I consider myself fairly educated on the subject & I constantly find myself in awe of what the writer says.

This book is perfect for you or your family so they can help understand you & vice versa. I have been marking passages to show to my family. I don’t believe there is ANYONE who couldn’t benefit from this absolute masterpiece.

Go buy it. You will not regret it. I rarely buy physical copies of books but I HAD to have this one after reading it on my kindle. I am just in love with this book. I see myself buying another copy in the future just for notes.

P.S.- i wish Amazon would ban book reviews that give bad reviews based on how it arrived. Amazon will always help you out if you just go to the chat section!"
Woodsedge57108,"Reviewed in the United States on August 22, 2021",5.0 out of 5 stars,"I have been working through the trauma of my childhood (emotional and sexual abuse, abandonment) for about 30 years. This has been the most helpful resource I have found. I bought the book on CD and have listened to it 2 to 3 times now. I've also given copies of the paper back away to a number of my friends who also struggle with trauma. Because of the book, I reached out to practitioners of neurofeedback and internal family systems, and for the first time I feel like I'm not triggered by situations I was through my whole life. As someone else stated, this is my new Bible for healing, and I hope they come out with subsequent versions to keep updating us on the new therapies and new research on this important subject. I will be very surprised if anyone read this book and it didn't change their life. Yes, it's heavy, but so is trauma. I opt for the heavy book so I can let go of the trauma."
K,"Reviewed in the United States on July 19, 2021",4.0 out of 5 stars,"Perfect condition except for sticky fingerprints (shown in photos) that were all over it when I took it out of the box. It’s paperback so I can’t just wipe it with a wet cloth. Whoever packed my shipment must have had a sticky lunch. Other than that it’s exactly like I would expect a new book to be.

Book review: it’s amazing. For someone who writes academic papers all the time, VanDerKolk does an excellent job at explaining things is terms anyone could understand."
Rachel,"Reviewed in the United States on May 3, 2021",5.0 out of 5 stars,"This might be the most helpful self help book I have ever read. It dives in to WHY you feel the way you do - but, more importantly, offers suggestions based in your body (rather than just meds). I am a big time believer in EMDR, too - so was delighted to read the explanation of why it works. HIGHLY recommend for anyone looking to work through past traumas (whether they are “big Ts” (abuse, rape, etc) or “small Ts” (death by 1,000 paper cuts). Transformative book."
Shake Well,"Reviewed in the United States on January 29, 2021",4.0 out of 5 stars,"I was suggested this book by my psychiatrist and I can recommend it to anyone who would like to understand more about traumatic disorders. Pretty much every human being is fighting a battle and many of these battles have the imprint of trauma as underlying causes. My favorite part is the last (part 5) that talks about coping mechanisms and how to deal with trauma. I was also shocked to learn that childhood abuse is deemed as the biggest epidemic of America. I gave it 4 stars because the book is repetitive at times and I do appreciate concise writing. Stylistically is not the most engaging either, but the writer does a decent job in using accessible words—remember that he’s a scientist that makes a living writing dry research papers.
All in all, a must read."
ktsue22,"Reviewed in the United States on October 3, 2020",4.0 out of 5 stars,"Excellent book, but the glue for the binding came apart the first day I cracked the book open (and I don’t fold the book when I read). The whole first chapter is now loose leaf paper, which stinks because I really wanted to order a few more to give to friends and family."
Erwin A.,"Reviewed in the United States on July 19, 2020",3.0 out of 5 stars,"The book material is great; I’d give the content five stars. I’ve bought this book three times and wind up giving my copies away. But the issue this time is that the actual physical book that I bought June 2020 from “amazon as seller” is **physically** dissappointing. It is maybe a print-on-demand book?? It’s overall dimensions are smaller, the print is smaller and hard to read, the paper pages have no heft nor gloss, and the entire book feels insubstantial. I’m going to return it and buy from a different seller, trying to obtain the publisher’s original physical book."
Paul,"Reviewed in the United States on August 5, 2019",1.0 out of 5 stars,Why is Kindle more expensive than paper back?
burnthesystem,"Reviewed in the United States on January 17, 2019",4.0 out of 5 stars,the book is good but the paper is terrible.
Frances Southwick,"Reviewed in the United States on July 14, 2018",4.0 out of 5 stars,"The content is very helpful. Dr. van der Kolk is one of the leaders in the field, and I appreciate that. I'd like it if he knew more about Osteopathic medicine - I was surprised it wasn't explored in the book. I'd like the pages to be thicker, they are a little like a cross between newspaper and tissue paper. I really appreciate this book and all Dr. van der Kolk's work."
Stephen R. Leffer,"Reviewed in the United States on May 6, 2018",1.0 out of 5 stars,"I couldn't even read the book at all because of the typesetting, font & the way the ink adhered to the paper."
Carole Fraser,"Reviewed in the United States on September 17, 2017",5.0 out of 5 stars,"A comprehensive and very well researched book. The symptoms and causes of post traumatic stress are clearly outlined and a full variety of treatment options is presented, allowing the reader to make informed choices. References to research findings and published papers give credible authority to the text, while offering the reader further possibilities for investigation. There are also plenty of case histories to illustrate other's lived experience and the efficacy of the treatments they sought. There is also very good material on working with dissociation and penetrating the dehumanized boredom and disconnection which this creates. I found the book invaluable, not only for dealing with PTSD in my own life, but also in work in the addiction field where so many have unresolved issues around trauma."
Derek Fulker,"Reviewed in the United States on March 4, 2015",5.0 out of 5 stars,"This Bessel van der Kolk's much awaited followup to his classic paper ""The body keeps the score: memory and the evolving psychobiology of posttraumatic stress"" from 1994. It is a brilliant expose of body centered ""therapy"". He avoids the academic trap of using overblown, exclusive language making the book easy to read. I highly recommend this book to everybody working in the fields of Psych Rehab, Psychology and most especially Psychiatry which profession sorely needs a shot in the arm or a kick up the arse. This book delivers."
