User Name,Review Date,Rating,Review Body
Sarene83,"Reviewed in the United States on October 24, 2023",5.0 out of 5 stars,"I'm not a reader, I don't do it in my spare time. It's paperback and feels to be nice quality. It was a suggested read and I've enjoyed it so far."
Nina C.,"Reviewed in the United States on July 4, 2022",4.0 out of 5 stars,"The book is an important read for folks healing from trauma and for professionals working with them.
This paperback version arrived with covers bent in half and deeply creased."
Midnight24,"Reviewed in the United States on January 14, 2022",2.0 out of 5 stars,I thought I bought a new one. The book is somewhat warped (not horrible) and the paperback cover has substantive dents digging into it.
K,"Reviewed in the United States on July 19, 2021",4.0 out of 5 stars,"Perfect condition except for sticky fingerprints (shown in photos) that were all over it when I took it out of the box. It’s paperback so I can’t just wipe it with a wet cloth. Whoever packed my shipment must have had a sticky lunch. Other than that it’s exactly like I would expect a new book to be.

Book review: it’s amazing. For someone who writes academic papers all the time, VanDerKolk does an excellent job at explaining things is terms anyone could understand."
Baja Reader,"Reviewed in the United States on January 15, 2021",3.0 out of 5 stars,"I will have to find a different method to read this book. The paperback’s version FONT size is very small and the book heavy in weight for an older (70) yrs old accostumed to read fiction.

Could not complete much and will try the kindle form or audio. Have not read a psych text since college but life experience is vast and can relate, hopefully."
Penguin,"Reviewed in the United States on April 15, 2020",5.0 out of 5 stars,"I initially bought this book on Audible, it was so riveting and had such good information, I bought it in paperback for easy referral of information and sharing of information. The science throughout the book is broken up with ways to help anyone heal from trauma as well as look for a therapist to help their body heal from the trauma they have experienced - it is also excellent information about how the body stores information and how we can heal."
Brittany Raffety,"Reviewed in the United States on January 30, 2020",2.0 out of 5 stars,The cover to the paperback version came to me ripped.
C Douglas,"Reviewed in the United States on June 22, 2019",5.0 out of 5 stars,"I'm buying the 3rd copy of this book for my kindle. I've loaned out my paperback twice, not getting it back, which is great, because anyone who gets anything from this book should have a copy of it I believe. It opened my eyes to see the mechanisms created to cope with trauma and learn that I'm not alone and it's not my fault. Buy it. Buy it for a friend."
Lori Portugal,"Reviewed in the United States on April 24, 2019",5.0 out of 5 stars,"The information is great! Van der Kolk's writing style is very readable. The paperback copy is sturdy, no slipping pages."
juice da gemini,"Reviewed in the United States on March 10, 2019",1.0 out of 5 stars,My paperback book came torn on the back.
