User Name,Review Date,Rating,Review Body
patricia rose,"Reviewed in the United States on December 19, 2024",5.0 out of 5 stars,Nicely constructed book value for the price
BLD,"Reviewed in the United States on July 28, 2024",5.0 out of 5 stars,"Great product, great value, great price,"
Brown Sugga,"Reviewed in the United States on April 22, 2024",1.0 out of 5 stars,"The book came and I couldn't wait to start reading and hopefully healing.
First glance at this book it seems like it was in PERFECT shape.....I always flip/fan the pages before beginning to read....it's a habit IDK why. The pictures show the pages not being cut right.....pages 143 to 150 over hang the rest of the pages. Ok simple printing problem right....but the worse part is that this was concealed and I was still charged regular price. The person that performed QA on this product found the irregularities and still sent the book out I guess they thought I wasn't going too actually inspect the book. I am very disappointed. I mean I could cut the excess off but shouldn't that have been done by the QA department?"
Sam,"Reviewed in the United States on March 5, 2024",5.0 out of 5 stars,It was recommended by a friend. I have not read the book yet. Let you know when I read it.
Tommy,"Reviewed in the United States on January 17, 2024",4.0 out of 5 stars,"What a read, and what a fun time it was learning about all this. Took awhile to admit but I do suffer from my time spent at war in the Middle East. Seeing what part of your brain is doing what, whenever you recall these memories is something you can’t put a price on. This will definitely help those that want an acute understanding of what’s going in their bodies whenever they face or run away from their demons. My only gripe is I’ve never read a book in the early chapters that said “we’ll discuss subject X later in chapter X” as much as this one. A sigh will escape you while a subject has you enthralled, only for it not to be explained until further in the book. This is gonna happen a lot. Still a wellspring of information and a fascinating book. Definitely recommend if you yourself suffer from scars no one else can see and want to take steps in healing yourself."
RJNELSONIII,"Reviewed in the United States on January 1, 2024",5.0 out of 5 stars,"Arrived quickly, good price, and well received!"
Tammy Curless,"Reviewed in the United States on December 29, 2023",5.0 out of 5 stars,Great book & great price!
Marie Kennedy,"Reviewed in the United States on November 7, 2023",5.0 out of 5 stars,My therapist recommended this book to me! Great price too!
Diane,"Reviewed in the United States on May 3, 2023",5.0 out of 5 stars,"I am only a few chapters in and this book is already changing the way I think. My councilor recommended it and I can see why. This isn't the cjeapest price online but it was the fastest delivery and when you are ready to read it, you don't want to wait. I was so glad ot arrived so quickly. Life changing stuff inside."
Kent A,"Reviewed in the United States on March 27, 2023",5.0 out of 5 stars,The book arrived very promptly and is in like new condition. I'm very pleased with the seller and would order from them again.
JBB,"Reviewed in the United States on February 21, 2023",1.0 out of 5 stars,"I purchased a new book, paid full price and received a used book."
Marina F.,"Reviewed in the United States on September 1, 2022",4.0 out of 5 stars,"My professor recommended reading this book (I’m in a graduate-level counseling program) so I’m definitely excited to see what’s in store. Only reason I didn’t rate 5 stars is because the book looks lightly used. Some grease(?) marks on the front and a small bend in the back cover. However, for the price, it wasn’t a big deal."
Amazon customer,"Reviewed in the United States on July 12, 2021",5.0 out of 5 stars,"Arrived on time . Great information about trauma and mental illness. One of the best book , I’ve ever read about mental illness . This book is extremely reasonable on price wise. I would rate this product as 10 out of 10 ."
Natashia,"Reviewed in the United States on July 28, 2020",5.0 out of 5 stars,Awesome book to unravel trauma in the body.
