User Name,Review Date,Rating,Review Body
S. Dasgupta,"Reviewed in the United States on March 4, 2025",2.0 out of 5 stars,"Dr van der kolks work overgeneralizes from his speciality of combat victims to the general population in an absurd way. You’d think Elizabeth loftus’ debunking of his pseudoscience would have laid this to rest, but it continues to be the dogma of the modern “trauma” movement. This is an excellent guide for those willing to externalize their issues to often imaginary transgressions and fatten the wallets of their therapist, psychiatrist, and the pharma industry."
JANESSA wenner,"Reviewed in the United States on March 1, 2025",2.0 out of 5 stars,The book is damaged and has a sticky substance on it. It appears that something was spilled or splashed on it.
Amazon Customer,"Reviewed in the United States on March 1, 2025",2.0 out of 5 stars,"Book to help with mindfulness for depression

Didn’t like it and sent it back."
Khalihs,"Reviewed in the United States on February 12, 2025",2.0 out of 5 stars,"Wish that I had watched one of the videos, but this is a book with small print, very narrow inside margins, and the text is all ""justified"" so that a LOT of single-character words are along that narrow margin inside edge, making it more difficult for me to naturally read it. I would imagine that this is true for a LOT of people. I gave it two stars as it's supposed to be really good for trauma survivors - but I won't ever know.

Waste of time for me. I'm thinking that I should return it and just get a cliff notes version."
Kat,"Reviewed in the United States on January 8, 2025",2.0 out of 5 stars,"it was a recommended book from a friend, but I had a hard time understanding it, but that is just me, I have a real hard time with reading, but I'm sure others would benefit from it"
Katie burris,"Reviewed in the United States on December 9, 2024",2.0 out of 5 stars,"I bought this book at the recommendation of a therapist. I saw for anxiety, but it was very difficult for me to get into the book because it read like it would be more suitable to military personnel who are suffering from PTSD."
Kaley Kristine Nicholson,"Reviewed in the United States on November 24, 2024",2.0 out of 5 stars,This book is a must read for mental health professionals and trauma survivors. It is transformative. I did have an issue with the book arriving with a damaged cover and appearing used in general (bends and scratches). I didn’t buy a used copy so this was a bummer for me.
Jane K.,"Reviewed in the United States on October 19, 2024",2.0 out of 5 stars,"I went through a traumatic childhood due to a loss of a parent at a young age and the domino effects and thought this book would help but all it does is expose you to insanely sexual abuses others went through. If that happened to you, you might find this book useful but otherwise it never got into actual help. 9 hours in on audible and all I’m hearing is aberrant events that happened to others. It’s too much that I really can’t listen or bother finishing the book. The book would’ve been helpful if there were solutions along the way. Maybe it’s all at the end but I literally cannot listen anymore."
Michelle galbreath,"Reviewed in the United States on October 10, 2024",2.0 out of 5 stars,I think people need to know .. you better be seeing a therapist or psychiatrist before you start this book . It’s a hard read. Get the work book to help you. I couldn’t finish it.
Lacey,"Reviewed in the United States on October 6, 2024",2.0 out of 5 stars,I was really excited for this book but it arrived damaged. Not quite sure what the stain is and not sure I want to know either. I'm not sure if I'm going to return it yet or not and try again. Shipping was good and there was no damage to the box and nothing else in the box so I was surprised when I pulled it out.
Tasha,"Reviewed in the United States on July 2, 2024",2.0 out of 5 stars,"Maybe I just haven’t healed. I cannot get passed the 3rd chapter. I just sit and sob while trying to get through it.
I wasn’t ready for a WAR CRIMINAL to explain his story about enacting WAR CRIMES during Vietnam. As the reader you just have to sit there and accept it, guy went on a revenge rampage and was honorably discharged.
Like I said, maybe I’m just not healed."
JMP,"Reviewed in the United States on June 1, 2024",2.0 out of 5 stars,The book opens with a rant against anti-depressant medication. My work with young adults has demonstrated that medication is life-saving.
matthew oldham,"Reviewed in the United States on April 29, 2024",2.0 out of 5 stars,Great book but the quality I received it was less than satisfactory
Debby,"Reviewed in the United States on April 14, 2024",2.0 out of 5 stars,Hard to understand for someone not educated at a college level.
Morgan C,"Reviewed in the United States on March 26, 2024",2.0 out of 5 stars,"Can we please get to a place where we include fathers in the discourse around trauma? It's the huge elephant in the room. This book is packed with data, and spends countless pages discussing how the failings of a mother cause unhealthy attachments and trauma. What about the fathers that rape, abuse, neglect their family? Why is the wounded women left in a man's wake blamed as the source of the resulting damage to the child? I am so done with that discourse. It's the 21st century people...let's expect more of fathers, and let's study the truly devastating impact of pervasive absent and/or abusing fathers wreaking havoc on women and children's lives."
