User Name,Review Date,Rating,Review Body
slee,"Reviewed in the United States on March 8, 2025",1.0 out of 5 stars,New book delivered with binding torn and pages folded
Emily,"Reviewed in the United States on March 8, 2025",4.0 out of 5 stars,"This book is wonderful--very informative and especially as somebody who struggles with this illness, I can relate to so much of the content it's wild. Unfortunately since I purchased used, it was in worse condition than originally stated and the book has been falling apart since I got it. The cover is completely torn off and some of the pages have also come loose and torn off."
Aprilpie22,"Reviewed in the United States on March 6, 2025",5.0 out of 5 stars,A must read! Read this book entirely on my 13hr flight. Highly recommend it
"Offers weekly or daily options, color coordinated for days of the week. Easy to use!","Reviewed in the United States on March 6, 2025",5.0 out of 5 stars,This book speaks to me! I have had a lifetime of various traumas and it is helping me understand myself and the chaos I often feel r/t these past traumas. I'm not totally finished yet and will leave another review when completed.
S. Dasgupta,"Reviewed in the United States on March 4, 2025",2.0 out of 5 stars,"Dr van der kolks work overgeneralizes from his speciality of combat victims to the general population in an absurd way. You’d think Elizabeth loftus’ debunking of his pseudoscience would have laid this to rest, but it continues to be the dogma of the modern “trauma” movement. This is an excellent guide for those willing to externalize their issues to often imaginary transgressions and fatten the wallets of their therapist, psychiatrist, and the pharma industry."
Frances P.,"Reviewed in the United States on March 3, 2025",5.0 out of 5 stars,Great guidance on how to reduce stress and realign your body with very low impact
Homeopathic Mum,"Reviewed in the United States on March 2, 2025",5.0 out of 5 stars,This book is already changing my life and I'm only a few chapters in. And I think it's gonna help me save my life and keep me alive until I start trauma therapy. I highly recommend and honestly think it should be mandatory in high school. I think my life would have been so different if I knew about this book as a teen.
JANESSA wenner,"Reviewed in the United States on March 1, 2025",2.0 out of 5 stars,The book is damaged and has a sticky substance on it. It appears that something was spilled or splashed on it.
Amazon Customer,"Reviewed in the United States on March 1, 2025",2.0 out of 5 stars,"Book to help with mindfulness for depression

Didn’t like it and sent it back."
theresah,"Reviewed in the United States on February 26, 2025",4.0 out of 5 stars,very traumatic book with a lot of information
Charlene Tate,"Reviewed in the United States on February 23, 2025",5.0 out of 5 stars,"This book has been recommended to me by all my yoga instructors. It is truly a great book, easy to understand and is a valuable resource in my collection, I would highly recommend it."
Michael Macaraig,"Reviewed in the United States on February 21, 2025",5.0 out of 5 stars,Bessel van der Kolk is a pillar in the study and treatment of psychological trauma. It's one of those books you should have in your collection if you're serious about trauma.
Blackbeagle,"Reviewed in the United States on February 15, 2025",1.0 out of 5 stars,Didn't learn anything new. Annoyingly repetitive.
Khalihs,"Reviewed in the United States on February 12, 2025",2.0 out of 5 stars,"Wish that I had watched one of the videos, but this is a book with small print, very narrow inside margins, and the text is all ""justified"" so that a LOT of single-character words are along that narrow margin inside edge, making it more difficult for me to naturally read it. I would imagine that this is true for a LOT of people. I gave it two stars as it's supposed to be really good for trauma survivors - but I won't ever know.

Waste of time for me. I'm thinking that I should return it and just get a cliff notes version."
Did you know a THIRD WTC building fell on 911?,"Reviewed in the United States on February 12, 2025",5.0 out of 5 stars,"This book is the real deal - incredibly insightful and very helpful to me. #MeToo (Thanks, dad.)"
Jasmin,"Reviewed in the United States on February 11, 2025",5.0 out of 5 stars,I enjoyed reading it.
Cdb,"Reviewed in the United States on February 11, 2025",5.0 out of 5 stars,Great self help book
Priscilla,"Reviewed in the United States on February 10, 2025",5.0 out of 5 stars,Everyone should read this.
Bev Hope,"Reviewed in the United States on February 9, 2025",5.0 out of 5 stars,"If building wellbeing for individuals, families, groups, or societies , in our modern age, in any sector is part of your purpose , passion or role in life, this is must read!"
Lady Di,"Reviewed in the United States on February 9, 2025",5.0 out of 5 stars,The book arrived in excellent condition. Is as expected. The topic of the book itself very informative and a must for anyone interested in healing from trauma and professionals alike.
Chris R,"Reviewed in the United States on February 8, 2025",5.0 out of 5 stars,"I absolutely loved this book. It was very informative. As a RN, it has further my knowledge of mental health, especially around trauma. This is a must for anyone who really wants to understand how trauma affects our mind and body."
Robin & Ellen Tanner,"Reviewed in the United States on February 7, 2025",5.0 out of 5 stars,My mom bought this for me for my birthday. Reading it gave me so much hope. I would 10000% encourage ALL people to read this book! Informative and inspiring.
Amber R,"Reviewed in the United States on February 7, 2025",5.0 out of 5 stars,"The Body Keeps the Score by Bessel van der Kolk is an eye-opening, deeply insightful, and essential read for anyone interested in understanding trauma, its effects, and the path to healing."
Jasmin,"Reviewed in the United States on February 5, 2025",1.0 out of 5 stars,My book arrived quite damaged. The back cover is torn and a few pages are completely creased. Very disappointed.
Tina,"Reviewed in the United States on February 5, 2025",1.0 out of 5 stars,"No. This book has story after story of horrific trauma: war PTSD, rape, forced prostitution. Sorry for them but, mercifully, not me. I just have disappointments. I could even say, layers of disappointments. How can I get over wrong choices, abandonment issues, work-place bullying? At my very first visit with a Chinese acupuncturist, she asked what major life events happened the year before my first major knee problem. I shrugged my shoulders. She insisted. I said, “Oh! My absentee father died and my ex-boyfriend got married.” She said, “You are afraid to move forward! Knee problems come from not knowing how to move forward!” Then she gave me some homework and a life's worth of introspection. That’s what I wanted out of this book but didn’t get. I couldn’t stomach one more horrible story and all the scientific talk about experimentation, observations, and failed treatments. This book keeps coming up in articles that I read. It did so recently. I thought I’d buy it only to discover that I bought it in 2017. I wondered why I couldn’t remember reading it. This time, I will even write a review - a big one-star NO."
Kristen,"Reviewed in the United States on February 4, 2025",5.0 out of 5 stars,"This book truly was a life saver. I was disheartened when i read all the bad reviews on Goodreads but i am here to say, as someone who has been through an extensive amount of trauma, this book has brought me some sense of peace and ways to manage my feelings. Long story short, its best to release everything we suppress instead of holding it inside. It comes with a lot, and i do mean a lot, of references and studies. It is written by a doctor so there is no sugarcoating (which i love). I truly loved the book so much i bought it for my father whom has also had a rough childhood. When i asked him if he liked the book he wrote me a huge paragraph of profanities (some words ive never seen before) but the last sentence read "" It wasnt my fault"" and that brings tears to my eyes because after 50+ years my father now truly realizes what happened to him WAS NOT his fault. So thankful for this book and I hope those reading this review truly enjoy it and grasp everything it has to offer. I highly recommend."
Alisha Kingsley,"Reviewed in the United States on February 2, 2025",5.0 out of 5 stars,"This book is perfect if you or someone you know experience(d) trauma. Dr. Van Der Kolk, did a great job explaining some very complex ideas and terms where it's easy to understand. Highly recommend this book."
Cassie McCain,"Reviewed in the United States on January 28, 2025",4.0 out of 5 stars,Very informative and insightful book
