User Name,Review Date,Rating,Review Body
nrsngstudnt14,"March 12, 2025",4.0,"The only book I’ve ever listened to on 1.0 speed. Thank you, Matthew for keeping me company on many long miles."
caufeegal,"March 6, 2025",4.0,Matthew gives us a lot to think about. Life lessons he learned can pertain to us all. He has had a remarkable journey. I’m glad we get to enjoy the movies he’s made.
Brooke,"February 28, 2025",4.0,"Who doesn't love Matthew McConaughey right!?
Great book, nice to listen too because he narrates it himself. Lots of good take aways from this book."
sandra,"December 21, 2024",4.0,"I'm really not a huge Matthew McConaughey fan and I bought this on a whim, but it really made me think and was a very introspective look at his life. I found myself highlighting a lot of things from this book that really made me think about my own life, and I've been trying to apply those things.

It's an excellent read, especially if you're in a transitional period in life."
DJM,"December 1, 2024",4.0,This is a present for my grandson. The print in the book is very small but I can read it with my glasses.
kellysm76,"October 18, 2024",4.0,This was enjoyable. I love that the editors kept the writing in his style. I could hear him saying everything I was reading. He’s a very optimistic person and has done a lot of self reflection as an adult.
Betty B,"October 13, 2024",4.0,"Matthew bares himself with some wonderful stories and has fun philosophizing about his mistakes and learned lessons in life. A great read, or a fun audio for a long drive."
Robyn,"June 28, 2024",4.0,"⭐️⭐️⭐️⭐️ 4.4/5 stars

I actually listened to the audio book for this one. I would listen to it at night during my drive to work. There were so many moments while listening that I wished I had the physical book so that I could highlight/underline. So I bought the physical copy. (I still have to read through it again to annotate it). Matthew voices the audio book himself, which, of course, makes it more personable. The book matches his vibe.....chill, laid-back, cool vibes.

Matthew has journaled most of his life. In prepping to write this book, he took his life's journals and isolated himself to read through the journals and recall key moments from his life: experiences, lessons learned (and re-learned), beliefs, approaches to life, and catching what he has termed ""greenlights"". Seizing opportunities life presents you and how to recognize them. He also shares how road blocks- or as he calls them, ""red lights""- sometimes become greenlights later on in life.

This book encourages self-reflection and personal growth. It shares the importance of connecting with yourself and pushing yourself outside your comfort zone to truly get to know the true you! It's a celebration of life and the journey of living."
Zimac,"June 26, 2024",4.0,Quick read.
Keena,"June 7, 2024",4.0,"STORY
From Matthew himself: “An album, a record, a story of my life so far. This is fifty years of my sights and seens, felts and figured-outs, cools and shamefuls. Graces, truths, and beauties of brutality. Getting away withs, getting caughts, and getting wets while trying to dance between the raindrops.”

STARS
Listening to Matthew McConaughey narrate his own “love letter to life” as he calls it was pure joy. His accent and enthusiasm made this such an engaging story to partake in.

I laughed, I cried, and I gained wisdom from the many stories portrayed in this memoir. I mostly enjoyed the ending where he talked about his beautiful wife and family.

Green Light!

SPICE
While there aren’t any explicitly sexy scenes, Matthew doesn’t shy away from talking about sex. His own father died whilst in the middle of an intimate moment with his wife… and Matthew doesn’t shy away from talking about ANY of it.

HAPPY ENDING
Matthew McConaughey lives a beautiful life. His story isn’t over, but his memoir ended on a lovely note.

FINAL THOUGHTS
How to Lose a Guy in 10 Days is my favorite romantic comedy movie! As a Matthew fan, I am glad that I listened to his memoir and would 100% recommend the audio version of Green Lights."
