User Name,Review Date,Rating,Review Body
nrsngstudnt14,"Reviewed in the United States on March 12, 2025",4.0 out of 5 stars,"The only book I’ve ever listened to on 1.0 speed. Thank you, Matthew for keeping me company on many long miles."
BOB,"Reviewed in the United States on March 7, 2025",1.0 out of 5 stars,"HE SAID GOING TO CHURCH WITHOUT BEING BORN AGAIN. If he doesn't understand that simple principle taught in the New Testament, why should I take his advice about life?"
caufeegal,"Reviewed in the United States on March 6, 2025",4.0 out of 5 stars,Matthew gives us a lot to think about. Life lessons he learned can pertain to us all. He has had a remarkable journey. I’m glad we get to enjoy the movies he’s made.
Audrey Carlan,"Reviewed in the United States on March 4, 2025",5.0 out of 5 stars,Really powerful and thoughtful messaging. I loved it.
erin1,"Reviewed in the United States on March 1, 2025",5.0 out of 5 stars,I usually read murder/mystery books. This was a nice change of pace. A lot of things I had no idea about him as an actor and what a childhood…wow!
Brooke,"Reviewed in the United States on February 28, 2025",4.0 out of 5 stars,"Who doesn't love Matthew McConaughey right!?
Great book, nice to listen too because he narrates it himself. Lots of good take aways from this book."
SHM,"Reviewed in the United States on February 27, 2025",5.0 out of 5 stars,This book initiated a major introspective view of self.
AngelMC,"Reviewed in the United States on February 26, 2025",5.0 out of 5 stars,Came just as expected; good quality paperback.
Beena05,"Reviewed in the United States on February 22, 2025",5.0 out of 5 stars,Great read!
Amazon Customer,"Reviewed in the United States on February 21, 2025",3.0 out of 5 stars,But very disappointing and the covering the cover of the book it was too small. What’s that about skipping on pennies are we?
Dan,"Reviewed in the United States on February 17, 2025",5.0 out of 5 stars,"Such a really great book. Loved the cover even though I got the paper version, it was in good condition."
Jake O'Donnell,"Reviewed in the United States on February 13, 2025",5.0 out of 5 stars,"Greenlights by Matthew McConaughey is an exceptional memoir that goes beyond the typical celebrity autobiography. I found it to be a raw, honest, and philosophical journey through his life experiences. McConaughey’s storytelling is captivating, filled with humor, wisdom, and unique insights.

I loved how he shared not just his successes but also his struggles and lessons learned along the way. His concept of ‘greenlights’ as opportunities for growth and change really resonated with me. The book is filled with anecdotes, poetry, and personal reflections that are both entertaining and thought-provoking.

It’s a beautifully written narrative that feels genuine and relatable. Whether you’re a fan of his movies or just looking for inspiration, Greenlights is a must-read. It left me feeling motivated and ready to embrace life’s challenges with a new perspective. Highly recommended!"
Beckie,"Reviewed in the United States on February 13, 2025",5.0 out of 5 stars,Loved this book - great read!
Toni Hagan-Ording,"Reviewed in the United States on February 9, 2025",5.0 out of 5 stars,"Have always admired and appreciated Matthew and Greenlights just explains why. He thinks inwardly and is ever optimistic and articulate. Thanks, Matt for sharing yourself with us! Greenlights for sure."
Shannon Stephan,"Reviewed in the United States on February 9, 2025",5.0 out of 5 stars,"So well written and a journey through his life in a profound way. Deep and rewarding, highly recommend for those who like an experience"
Bmitch,"Reviewed in the United States on February 7, 2025",5.0 out of 5 stars,I usually struggle with non fiction but this was an easy read for me. He has an interesting story to tell. About his life all together but also the doors that opened for him to be where he is today. ( green lights)
PCDOC,"Reviewed in the United States on February 5, 2025",5.0 out of 5 stars,I like Matthew McConuaghey's approach to life. The book is an interesting read and says a lot about who Matthew is.
josiah reutener,"Reviewed in the United States on February 3, 2025",5.0 out of 5 stars,love this book really brings the life of a Hollywood star into perspective of someone who is not.
Ben Williams,"Reviewed in the United States on January 29, 2025",5.0 out of 5 stars,"I bought this as a gift and the recipient loved it! There are some accompanying journals and such that look interesting, but I did not purchase."
Aspire C,"Reviewed in the United States on January 21, 2025",5.0 out of 5 stars,"Each alright is a green light. Beautifully told, these life lessons bear the authors soul with thought provoking beliefs and experiences. The ups, the downs, the fame and fortune, and not so fortunate times of his life. Searching for answers and finding them at each chapter of his life anew. It’ll make you laugh, make you think, and best of anll inspire you to live your best life."
Vicki,"Reviewed in the United States on January 17, 2025",5.0 out of 5 stars,I don’t think I’m the beginning I was going to think this would be a good read. I love to watch McConaughey in all his movies. But a book??? And oh I absolutely loved it and highly recommend it :)
LKM,"Reviewed in the United States on January 14, 2025",5.0 out of 5 stars,"What a great book! Matthew's voice is amazing to listen to, and I love how he tells his story!"
Julie O,"Reviewed in the United States on January 14, 2025",1.0 out of 5 stars,"I chose this book to fill a prompt in the 52 Book Club Challenge 2025. I love his voice, so I thought I'd listen to it instead of reading it. WELL, I didn't even make it 5 minutes and nothing but curse words--""f"" bombs. The curse words are not necessary in books or movies. I had NO idea he used this kind of language. VERY disappointed!!!!"
kimberly,"Reviewed in the United States on January 11, 2025",5.0 out of 5 stars,Grate read.
Amazon Customer,"Reviewed in the United States on January 11, 2025",5.0 out of 5 stars,"Aunque no me llamaba la atención leer la vida de un actor, creo que es más que un actor sino un artista en busca de nuevos retos."
Isaac Millburn,"Reviewed in the United States on January 10, 2025",5.0 out of 5 stars,It wasnt life changing but its a fun read.
