User Name,Review Date,Rating,Review Body
ironhorseranch,"Reviewed in the United States on February 20, 2025",5.0 out of 5 stars,I watched the movie first. Being a voracious reader I immediately purchased the book for my kindle. (The book is always better than the movie). The language in this book surprised me at first. I’ve never known hillbillies maybe they do cuss up a storm! I was raised poor. My father passed at age 29. My Mom had to go to work to support us. Her parents were dead. In the 1950’s there were no social services or programs to help! I never heard a curse word until high school. JD Vance’s turning around his life circumstances is nothing short of Miraculous! I throughly enjoyed this read. And the insight it gives our now Vice President of the United States is also amazing to understanding. It is comforting to know real people are in charge in the White House! By that I mean honest people we can trust!
KEllis,"Reviewed in the United States on September 2, 2024",5.0 out of 5 stars,"Written in such an engaging style, I didn’t expect to get caught up in the story like I did. I read the kindle in bed but listened to the audio book during the day and the narration was also extremely good."
Old Georgia Geek,"Reviewed in the United States on August 11, 2024",4.0 out of 5 stars,"What amazed me most was how quickly I was able to borrow and read this book on my Kindle via Libby. I live in Brevard County FL, which is about 60% pro-Trump. I was able to borrow immediately, and renew immediately. Noone waiting on it, less than two weeks after Trump's announcement of his VP choice. The man is running for VP of the USA, less than 9 years after finishing Yale Law School, and et noone in my county but me was interested in reading about him.
So, I lived in Appalachian Georgia for almost 35 years. With different names and places, I know these people, families, and their lives. Vance's analysis is generally comprehensive, nuanced, and I tend to agree with most of his conclusions. My only real complaint is his very weak understanding of the constraints on women's lives in the 40s to 60s before reliable forms of birth control became available.
Absolutely recommended reading. Then, like me, you can wonder about this man."
A. Roberts,"Reviewed in the United States on August 6, 2024",5.0 out of 5 stars,"Five Stars⭐⭐⭐⭐⭐For some reason, Goodreads won't allow me to rate this book either through Kindle or on the Goodreads app.
This is a well written, sincere story about a modern American Dream come true despite several setbacks, tribulations and loss. It's a love story about the strength of family and support to come through struggles and break unhealthy patterns.

In a lot of ways, there are similarities with Dr. Ben Carson's story with his mother's love and value of education and a loving wife to build a strong family life. Although, in Vance's case, his grandparents, particularly his Mamaw, gave his strong guidance to overcome life struggles."
KarenZH,"Reviewed in the United States on August 2, 2024",5.0 out of 5 stars,"This memoir has been on my list for a while and I finally read it after it was announced that JD Vance is the VP candidate alongside Trump.

I have seen criticism of it based on the ""hillbilly"" term with many suggested he isn't one. In this day and age, I think he has a right to claim that title if he so chooses.

That aside, in the afterword Vance explains he had two questions he hoped to answer through writing this memoir:

#1 ""Why does this elite institution seem so culturally foreign?"" - he was referencing Yale Law Schhol

#2 ""Why are so few kids who grow up as I did - 'disadvantaged,' to use the vocabulary of the day - making it to our society's elite institutions.""

I think he did a good job answering those questions throughout the telling of his life story.

Vance is an interesting man. I admire that he enlisted in the service and used that experience to help him through college and eventually law school.

I bought the Kindle version of this book. I also borrowed the audio from my library. Vance narrates the audio and does a good job of it."
Grant R. Ashley,"Reviewed in the United States on July 29, 2024",3.0 out of 5 stars,"Vance expressed admiration for leftist judges, presidents, and other public figures but none for conservatives. Notably absent was any positive mention of Trump. His main conservative idea is that those who work shouldn’t have to pay to keep up those who don’t. It will be interesting to observe what he says in the 2024 presidential campaign.

He pays scant deference to Christianity, but is not hostile to it. If he is ever characterized as a “conservative Christian” that would be doubly misleading.

It seems that his description of the “hillbilly” personality could perhaps more aptly be applied to “white trash”.

I bought the paperback because it was much cheaper than the Kindle. It’s the first time in quite a while I’ve read a printed book. There’s no reason I’d want to re-read it."
Nancy king,"Reviewed in the United States on July 26, 2024",1.0 out of 5 stars,"There were many times throughout this book I thought maybe I fell asleep, and my Kindle went back a page or two. Unfortunately, that was not the case. Some of the stories and descriptions would be repeated a couple times within the same chapter or chapters. The book could’ve been 100 pages less, and still not a lot of meat to the story"
Joe Hohmann,"Reviewed in the United States on July 25, 2024",4.0 out of 5 stars,"The reason I found myself with this book was my thinking it was a novel about Hillbillys. I had the Kindle version from my library, and did not see that it was a memoir. I did not know who Mr Vance was. Frankly, I was finding the book pretty boring in the beginning, so I went to Amazon to see some reviews. This was when I found out that it was written years ago by Mr Trumps new running mate. Since I will be voting for Mr Trump for the third time, I kept on reading.
First, I would advise skipping the first half, basically a ""family tree"", and getting to the ""meat"". Lots of good stuff to think about. I'm 82, and I've only voted for ONE Democrat (Governor of Delaware in the early 1970s)."
Amazon Customer,"Reviewed in the United States on July 21, 2024",1.0 out of 5 stars,Loved the book but had to read on the Kindle version. My paperback copy arrived with the contents printed upside down and cropped off at the edges! impossible to read! Surprised this error wasn't caught at the time of printing - it's very obvious!!
Russell S. Smith author of No Reason to Kill,"Reviewed in the United States on July 21, 2024",5.0 out of 5 stars,"No doubt the language stopped me at first, then I thought - it is the language of the place and time. It reminded me of a lady visiting from New Jersey who was cussing her son during a time when I was interviewing her for a newspaper story. She said, ""Sorry about the language but this is the way we talk back home. If we really don't like somebody there is probably a gun or knife involved."" So don't let the foul words stop you from reading Hillbilly Elegy - for the messages within its pages are too important to miss.

The book is well written or well spoken should I say as I listened to it on my Kindle. The time of a child, teenager and young adult written so as to identify real challenges in life that are just what they are... It made me think that children are born into circumstances that they did not define, and many times they reach a fork in the road and take a path others might not have, or follow the crowd. Vance, the author, articulates circumstances that many may not ever see unless they do so through his well versed paragraphs that become chapters.

I would suggest you read Hillbilly Elegy with an open mind... It might give you a different look at why society is shaped the way it is today; why some make it and others don't. It also might give you a glimmer of hope as you look toward the future."
B. Henri,"Reviewed in the United States on July 21, 2024",3.0 out of 5 stars,"The most interesting parts of Vance's book dealt with the difficulties Vance encountered as the son of an alcoholic/addict mother, and his relationship with his grandparents. The fact that his grandparents were hillbillies is not really so important, although there are quite a few amusing anecdotes about this. I have to respect Vance for enduring and excelling under such difficult conditions, although his remarkable grandparents deserve much of the credit. The book probably should have stopped there.

The parts dealing with his stint in the Marines I found pretty boring and predictable, and the same with his time at Ohio State. The sections in which he expands on the decline of his hometown of Middletown Ohio were not very well-written, as if they had been added in a rush. For example, he criticizes the young men of the town for not working more than 20 hours per week, and in effect calls them lazy. A few paragraphs later he says that factors other than laziness might be at play, such as lack of work opportunities. Later on, he again calls them lazy.

Also, Vance assumes a poverty-ridden neighborhoods are crime-ridden neighborhoods, which is not necessarily true. Moreover, it's difficult to tell when he is presenting poverty statistics for the current Middletown as opposed to the Middletown he experienced as a child. I was left with the feeling that Vance might be either trying to make his childhood success story more interesting by magnifying the level of hardship in his town, or he was in a haste when writing.

I had had enough when I reached the 67% marker on the Kindle, so I can't say much more."
GoT HBO Account,"Reviewed in the United States on July 20, 2024",5.0 out of 5 stars,"The Amazon app told me this book was unavailable in Kindle format. Don’t be fooled, you can buy directly on your Kindle."
US Citizen,"Reviewed in the United States on July 16, 2024",5.0 out of 5 stars,Ooh Rah. Ooh Rah. Ooh Rah. I read the hardcopy a few years ago and loved it. I decided to obtain the Kindle copy to support the inspiring future VP. Ooh Rah Marine.
