User Name,Review Date,Rating,Review Body
Samantha Ivy,"Reviewed in the United States on December 12, 2024",1.0 out of 5 stars,I bought this recently and apparently the paper is good toilet paper replacement. Well done!
Diane,"Reviewed in the United States on December 1, 2024",5.0 out of 5 stars,"The hillbilly identity always resonated with me, even though I personally grew up on the edge of the culture. Or perhaps, I just thought our way of life was normal. JD's descriptions seem to fit my grandparents generation more than my own (I'm now 69 years old) but the drinking, infidelities, coal mining jobs, distrust of government, church attendance, and personal values of honor, family loyalty, and pride ring true to me. Each of my maternal grandparents came from families of 18 children; they had 9 children including my mum. Grandma Genny was pregnant with her last child (stillborn) at the same time my mum was pregnant with her fourth child (out of five).

Grandpap owned his own ""house mine"" for a while to earn a living. He often filled neighbors' empty coal bins without getting paid, but he did it anyway because he didn't want kids to be cold. You looked out for each other.

None of my aunts or uncles went to college. My mum, the 3rd oldest, was the first to graduate from high school - even though she got pregnant, married in April, and took her husband to the prom. Her principal had seen her marriage license in the paper and greeted her on the following Monday by telling her that he ""hoped this didn't affect her school attendance"".

I guess I AM a 3rd generation hillbilly! Fortunately, people in my life guided me; my mum's proud that I was the first grandchild to graduate from college. I'm grateful to have been a teacher for 35 years, teaching children in West Virginia and Western PA - educating my kind of people. I loved them!"
matt g.,"Reviewed in the United States on August 25, 2024",1.0 out of 5 stars,Trash on paper
John Schlimmer,"Reviewed in the United States on August 17, 2024",5.0 out of 5 stars,"This held my interest, made me look forward to finishing. Reading paper books puts me to sleep; I usually don't finish them."
Tennessee Sunrise,"Reviewed in the United States on August 6, 2024",5.0 out of 5 stars,Book as described. Good quality paper back. packaged well and delivered on-time
Anon,"Reviewed in the United States on August 4, 2024",1.0 out of 5 stars,"This is a worthless book, and a waste of paper. Poorly edited, no fact-checking, and really boring."
Jason Michael Douglas,"Reviewed in the United States on July 31, 2024",1.0 out of 5 stars,Not worth the paper it's printed on.
Deni,"Reviewed in the United States on July 21, 2024",4.0 out of 5 stars,"I had to return the paper book, the print is very small. Full disclosure I wear reading glasses that are 150 strength, I went out and bought a higher strength and for me still too small. Guess I’ll watch the movie."
Peng,"Reviewed in the United States on July 20, 2024",2.0 out of 5 stars,The paper is very thin and the book feels a little damp
shamekia richardson,"Reviewed in the United States on November 29, 2023",2.0 out of 5 stars,"The memoir was interesting, but it reads like a research paper, which made it a little boring to read. I ended up watching the movie and was great."
Mark D.,"Reviewed in the United States on October 11, 2023",1.0 out of 5 stars,Not worth the wasted paper or your time.
Maureen A. Conliss,"Reviewed in the United States on April 10, 2021",1.0 out of 5 stars,"This book isn’t worth the paper it’s printed on. Unfortunately, I did purchase it and read it. Not a page turner. What I object to now is his complete desertion of those people he pretends to love and respect. He has fashioned himself a far right wing
supporter - a follower of the worst right wing pundits that are devoted to increasing the wealth of the 1%. How disloyal is this to the workers he grew up with? Very. I can in no way support someone like this."
Living the Dream,"Reviewed in the United States on April 10, 2021",4.0 out of 5 stars,I would have enjoyed less statistics and more anecdotes. It was interesting and thought provoking. And it struck a chord since I grew up poor.
Douglas Goldstein,"Reviewed in the United States on March 22, 2020",5.0 out of 5 stars,"Most of the readers of J.D. Vance’s excellent autobiography, “Hillbilly Elegy,” will probably have little to no interaction with the large sub-culture of Americans from Appalachia. In fact, the elite readers who only read NYT best-sellers have likely scorned these people as white trash or, as they have been called in politics, “deplorables.” But Vance’s book illustrates the strong family values and the honor in hillbilly communities through his life story. On the other hand, he also shares the dark side and admits that the hillbillies need to dig themselves out of some very destructive habits.
Vance touches on an important point about income mobility in the United States. Many people believe the myth that there is little economic mobility in America, that it’s hard for a poor person to ever escape poverty. If you look at government statistics, though, you’ll see that’s not really true. The hillbilly population seems to have a greater mobility problem than other poor communities, but hillbillies are the exception, not the rule. According to a U.S. Treasury Study, “Income Mobility in the U.S. from 1996 to 2005,” “There was considerable income mobility of individuals in the U.S. economy during the 1996 through 2005 period as over half of taxpayers moved to a different income quintile over this period. • Roughly half of taxpayers who began in the bottom income quintile in 1996 moved up to a higher income group by 2005. • Among those with the very highest incomes in 1996 – the top 1/100 of 1 percent – only 25 percent remained in this group in 2005. Moreover, the median real income of these taxpayers declined over this period.” In other words, according to the Treasury study, folks at the bottom moved up and those at the top dropped. Vance cites a Harvard study by Ram Chetty (and others) that examines why the hillbillies don’t have the same mobility as other Americans with similar finances. But Vance goes further to point out that he didn’t need the academic paper to show him that the causes are “the prevalence of single parents and income segregation.” [Income segregation is the physical separation of various peoples by class based on income. For example, certain people cannot get into country clubs because of insufficient funds.] He goes on to explain that the government welfare and social services don’t really understand the culture and therefore cannot actually help. It’s the same old problem of government bureaucrats from far away trying to impose their values on local communities instead of assisting those communities to find their own solutions. Just throwing money at a problem, like giving welfare checks that keep people forever dependent on the government, perpetuates a problem from generation to generation.
Vance shows how the government interference fails on many levels. For example, when talking about how the government sometimes removes a child from his or her family, Vance writes, “Part of the problem is how state laws define the family. For families like mine—and for many black and Hispanic families—grandparents, cousins, aunts, and uncles play an outsize role. Child services often cut them out of the picture, as they did in my case. Some states require occupational licensing for foster parents—just like nurses and doctors— even when the would-be foster parent is a grandmother or another close family member. In other words, our country’s social services weren’t made for hillbilly families, and they often make a bad problem worse.” When I read that sentence, I was reminded of a great book, “Bottleneckers: Gaming the Government for Power and Private Profit,” by William Mellor and Dick M. Carpenter II, which explains the problems when the government requires licensing. In “Bottleneckers,” the authors do not mention the issue that Vance does about how licensure can stop an extended family member from caring for a child, but that would be another great point for them to make.
With so many five star reviews of J.D. Vance’s book, adding mine to the fray may not influence someone to read the book. But I do hope that if you’ve read this review, you will then read “Hillbilly Elegy” with an eye towards seeing how the government has failed so many poor people, not just hillbillies."
