User Name,Review Date,Rating,Review Body
dsperr,"Reviewed in the United States on December 30, 2024",5.0 out of 5 stars,Good quality paperback with excellent factual story.
Cl Stephens,"Reviewed in the United States on November 11, 2024",5.0 out of 5 stars,Paperback book was a good read. Letter sizing was perfect.
Stephen Bang,"Reviewed in the United States on October 5, 2024",5.0 out of 5 stars,"Hillbilly Elegy: a memoir of a family and culture in crisis. J.D. Vance. 2018 paperback edition.

This book is profoundly and brutally honest in telling about Vance’s family and the hillbilly culture they come from. Vance admits that a few details might be a bit off, but every bit of it is true to his memory of what happened. His family was deeply dysfunctional, immersed in a dysfunctional culture. Sometimes the dysfunction erupted into violence. Sometimes extreme violence. Family members defended the honor of their families with as much violence as they thought it would take. They made their arguments by cussing, and Vance does not shy away from directly quoting every cuss word. As the book goes along, Vance uses more and more cuss words that aren’t quotes, sometimes gratuitously.

If Vance had not gone into politics, the book would still have been an important and best selling book. It was published in 2016, before Vance thought about running for office. I suppose politics has changed the way some people look at it. From other things I have read on the internet, I have the idea that some other hillbillies have the view that this might be Vance’s story, but not all hillbillies are alike, and you can’t just generalize that much. There’s something to that, but Vance has read studies about how things are in Appalachia and knows how things are.

Mamaw and Papaw were from Jackson, Kentucky, in Breathitt county. When Mamaw was 14 and Papaw was 17, Papaw got Mamaw pregnant. They got married and moved to Middletown Ohio, between Cincinnati and Dayton. Lots of of hillbillies moved from the hills and hollers to manufacturing cities farther north. They made good money in steel plants and assembly plants, but they retained the hillbilly culture. Mamaw had three children including Deb, J.D.’s mother. Deb was very smart and did will in school but did not go to college because her first baby was born two months after she finished high school. She divorced her first husband (J.D.’s father) and married Bob Hamel. J.D.’s father found another woman who had children. Deb and Mamaw told J.D. that is father didn’t want him anymore, which was crushing to J.D. Deb did a lot to encourage J.D. to do well in school. And he did for a while. Then they moved a 35 miles away from Middletown, away from Mamaw and Papaw, and began fighting. It wasn’t possible to lie awake half the night listening to fighting and then do well in school the next day. Deb had an affair with a man she met at work, and Bob and Deb divorced. Deb and her children moved back to Middleton, close to Mamaw. One day there was violence between Deb and J.D. The police and courts were involved. The end result was that Deb still had legal custody of J.D., but he could go stay with Mamaw anytime he wanted to. Mamaw enforced that agreement with a threat to use her gun if Deb ever objected. Hillbilly justice, Vance wrote. Bob disappeared and Deb had one boyfriend after another. Lindsay was Deb’s first child, the one who was born right after Deb finished high school. Lindsay was five years older than J.D., but they were close and J.D. loved Lindsay dearly. When Deb didn’t take care of J.D. or cook dinner, Lindsay did. J.D. was sure that Lindsay was a full sibling, not a half sibling, and was crushed when Mamaw told him that Lindsay was a half sibling.

Just after Bob walked out of J.D.’s life, his biological father, Don Bowman, walked back into his life. After Don and Deb divorced, Don became active in a church, acquired better manners, and married Cheryl. By now he had a nice little house and farm with horses and chickens. Now the book goes into philosophical observations about the role of churches in people’s lives. In some parts of America, church attendance is a cultural norm, but many people claim to attend a lot more than they do. People who attend church are happier, more law abiding, healthier, go farther in school, and have better careers. Church promotes good habits. Don corrected the lies that Mamaw and Deb had told him years ago about why he gave J.D. up for adoption. The truth was that he had fought Deb to keep parental rights to J.D., but the struggle had a bad affect on J.D. and Don decided that it was best to give up. J.D. was attracted to Don’s church. Looking back, he has good and bad things to say about it. The church supported the “young earth” view of the Bible and opposed the big bang theory and evolution. It took the premillenial view of the End Times. It was critical of other churches which had different views on various Biblical topics. J.D. loved his father and his father’s church. He became torn between staying with his father and returning to Mamaw. He called Lindsay and asked her to take him home to Mamaw. Lindsay dropped whatever she was doing and immediately came and picked him up. This made his father sad but his father let him go and said he knew Mamaw would be good to him. Mamaw had never said anything good about J.D.’s father, but he understood the relationship.

Finally on page 138 Vance starts telling how his political views matured. Mamaw insisted that he get a job, and he went to work at a grocery store. Like Yogi says, you can observe a lot just by watching. J.D. watched the grocery store patrons. He could tell which ones were poor by how they dressed. There were other indicators. Poor people looked harried, and bought canned or frozen food. They bought baby formula. Middle class people bought fresh produce and breast-fed their babies (Mamaw explained.) Some of the poor would buy a lot of soda pop with food stamps and sell them for cash at a discounted price. They would then by liquor with cash. They had cell phones, courtesy of the government. J.D. would look at his pay statement and see the taxes deducted, taxes to pay for food stamps and free cell phones. He read books about social policy. William Julius Wilson, The Truly Disadvantaged and Charles Murray Losing Ground were about Black people of inner cities but described J.D.’s family perfectly. Vance tells countless stories of irrational and self-destructive behavior of Mamaw’s neighbors. They involve foolish money management, domestic violence, and drug abuse. I suppose there was gambling addiction but he doesn’t mention it. All of this is described with first person plural pronouns – Vance feels like he is a part of this culture. Vance divides poor people into two groups, one represented by Mamaw, one represented by Mom. Ignoring some turbulence in Mamaw’s life when she was younger, he describes her as sober, stable, hard working, and loving. He describes Mom as unstable, going from one boyfriend to another, and going in and out of drug addiction. He lived for almost three years with Mamaw and attributes all success he has had to her. Throughout the book, he tells how Mamaw loved babies and children – her own children, grandchildren, nephews, and nieces, but neighbor children too. This made me think of my own family. One of my grandmothers came from a modestly affluent family. The rest came from poor farm families in Kansas and Nebraska. My parents came of age during the Depression and the Dust Bowl, which hit Nebraska very hard. Yet none of them had the chaos, violence, and addiction that Vance describes. I can’t think of any neighbors or relatives who were like that.

As J.D. approached high school graduation, he knew he needed to go to college. But he sensed he wasn’t ready. So he joined the Marines, with encouragement from his oldest cousin, who was a Marine veteran. Mamaw blew her stack when he told her. Boot camp was a big challenge but he met the challenge and grew in confidence and maturity. He had enormous support from his family. He got about six letters from them every day, and 18 hillbillies attended his graduation, then took him home for his ten day leave.

The United States has two branches of armed forces – the Army and the Navy. The Air Force is a corporation, and the Marines is a cult. That cult changed J.D. in so many ways, teaching him how to handle a bank account and how to buy a car. It taught him that he was way more capable than he dreamed of. It makes me wish I could go back in time and be a Marine. Well, not quite. J.D. finished his four year enlistment and immediately started classes at Ohio State. One year and 11 months later, he graduated. He only partially explained how that could be done. And that included a period when he had mono and staph infection that kept him out of class, and working more than one part time job. But he graduated too late in the summer to start law school immediately, so he spent 11 months living with Aunt Wee and taking manual labor jobs.
His goal was to attend law school, but at first he didn’t apply to the top law schools. Then he figured out that a top law school degree was the ticket to a top job, and he was accepted to Yale, his first choice. Yale gave him a great deal of financial assistance. Yale Law School was another cultural learning experience. He worked with another student, Usha, on a writing assignment, then dated her. Starting his second year, there was Fall Interview Program. He navigated the cultural challenges and landed a job. He married Usha, and she helped him be a better person, able to control his anger.

Vance mulls over the things that allowed Aunt Wee, cousin Gale, Lindsay, and himself to have a measure of success and happiness in spite of dysfunctional upbringing. He says that the government child services case workers sometimes make things worse. They put a child into foster care instead of with a grandparent, aunt, or uncle where they would do better. He sees that government has a limited ability to help poor people, but sometimes government assistance is very helpful. Children need good parents to do well in school. Too many boys see academic achievement as a feminine, sissy thing.

Vance is amazed at the success of the book, and sees how people on the Political Left and the Political Right criticize the book in contradictory ways."
George G.,"Reviewed in the United States on October 4, 2024",2.0 out of 5 stars,"I'm very disappointed in receiving a used paperback (specified 'new' at point of purchase). The overall condition of the book cover and pages is not the issue; rather, it's that multiple sentences have been sloppily underscored in pencil. Even entire paragraphs are circled."
Laura H,"Reviewed in the United States on September 23, 2024",5.0 out of 5 stars,"I listened to this book on Audible, read by the author, but wanted to have the paperback to go back & check on some of the details of J.D. Vance's amazing upbringing. His is a great American story & I highly recommend it."
John in San Clemente CA,"Reviewed in the United States on September 4, 2024",5.0 out of 5 stars,"The paperback itself is high quality
And easy to read. The story is presented in autobiographical format but with plenty of sociological content and reflections to universalize the overall meaning."
Ron Meland,"Reviewed in the United States on July 30, 2024",5.0 out of 5 stars,"I was leary of getting a paperback, but it was perfect. The book has been updated which surprised me. Totally happy"
Sara and Keith Stucky,"Reviewed in the United States on July 30, 2024",5.0 out of 5 stars,Fast shipping and great condition.
Grant R. Ashley,"Reviewed in the United States on July 29, 2024",3.0 out of 5 stars,"Vance expressed admiration for leftist judges, presidents, and other public figures but none for conservatives. Notably absent was any positive mention of Trump. His main conservative idea is that those who work shouldn’t have to pay to keep up those who don’t. It will be interesting to observe what he says in the 2024 presidential campaign.

He pays scant deference to Christianity, but is not hostile to it. If he is ever characterized as a “conservative Christian” that would be doubly misleading.

It seems that his description of the “hillbilly” personality could perhaps more aptly be applied to “white trash”.

I bought the paperback because it was much cheaper than the Kindle. It’s the first time in quite a while I’ve read a printed book. There’s no reason I’d want to re-read it."
Shana D.,"Reviewed in the United States on July 23, 2024",5.0 out of 5 stars,"I haven't received my paperback copy yet but I also purchase it on audible. Once you start listening or reading, you just want to keep on!
I'll admit, I never heard of JD Vance until the VP announcement. So of course I had to do some research. Came across this book in the process and decided to buy it. Glad I did! 😊
Love that he's down to earth, everyday, struggled to get where he is kinda guy! Totally relatable to so many!
Especially love that this guy is gonna be our next VP!!! #Maga
#TrumpVance"
