User Name,Review Date,Rating,Review Body
Judiepressley,"February 27, 2025",3.0,book is a good read but has some very bad langue in it think the book would have been just as good if it was kept cleaner vocabulary was kinda of disappointed
Kindle Customer,"February 22, 2025",3.0,"The book itself is interesting. However, there are many areas that are not complete. Don't know how to get this fixed."
Darlene L,"February 8, 2025",3.0,"The book was all there, but the cover was glued on upside down and backwards. Totally amateur printer/publisher"
Barbara McCormick,"February 5, 2025",3.0,"Funny thing about the book, the cover is backwards and upside down. That does not affect the read, it just looks like I'm reading upside down and backwards. That is why I gave it 3 stars. I will keep it."
Arnab Karmakar,"December 27, 2024",3.0,"While poignant, this story has been told before, and in all honesty, if felt like Mitchell McDeere of ""The Firm"" writing his autobiography. Yes, JD Vance did talk about the unconditional love which he received from his maternal grandparents in shaping his fuel for success, something tantamount to which Marvel's Peter Parker received from his Aunt May and Uncle Ben.

He dedicates one paragraph in the entire book to talking about how a fellow welfare recipient exploited the system constantly by becoming a regular consumer of t-bone steaks, something which the author himself craved but could not get, mainly because a good proportion of his paycheck went to federal and state taxes. Then he insinuated that observing this exploitation pushed him to espouse more right wing ideologies; but that just meant that the governement assistance required more compliance in administration, not that people wanted to become welfare queens.

While I sympathized with the author, I failed to see how this told an original story, one endorsed by both The Economist and Bill Gates as a ""must read"""
judy haselhorst,"December 24, 2024",3.0,"I found this book to be interesting, but a little boring as well. I will, however, watch the movie and see how it compares."
Autumn Skye,"December 18, 2024",3.0,"It was Relatable and emotional, but I will admit I felt it was missing something. It was a good book"
Erin,"December 10, 2024",3.0,A little slow. Lots of cultural and economic buildup/description. Interesting backstory itself about Vance. I wish it had more about him in general.
Larry J.,"December 2, 2024",3.0,I was totally surprised by the amount of vulgar language in this book. I would not have bought it if I had known. I think the story could have been told without it.
Peggy Patterson,"November 21, 2024",3.0,"I thought this book would have more stories of him and His family growing up and then issues he had going to college, etc. most of it was written from the Ohio standpoint of where he lived"
C L,"November 14, 2024",3.0,Not my favorite. Was not worth the time I spent reading it. I immediately put it my library donation box.
Nannette M. Tate,"November 11, 2024",3.0,Interesting autobiography
Patsydoodle,"October 18, 2024",3.0,This book is very interesting and hard to put down once you start reading it. The only complaint I have is the cover was bent even though it was not supposed to be a used book.
J. Stoneberger,"October 13, 2024",3.0,"Enjoyed Vance's admiration of a real feminist icon - his Grandmother - who, despite herself, is definitely the hero in this dysfunctional family saga.."
Margie K.,"October 9, 2024",3.0,"Interesting but a lot of cuz words. I read it and gave it away, to someone who really wanted to read it.. It is amazing how he came to be such a great guy with his background."
Carol Coughlin,"October 6, 2024",3.0,It was not totally written from the heart of someone who lived or experienced life as it was described. I've read better stories about the mid western area.
Amazon Customer,"September 23, 2024",3.0,Interesting
Armchair shopper,"September 20, 2024",3.0,"It seems that this was written to honor the author’s grandmother. The author himself didn’t really spend much time in Appalachia, but that’s where his roots were."
Susan,"September 17, 2024",3.0,"I enjoyed reading the book, but in recent days, l’ve come to think it is a fiction."
AnAmazon Customer,"September 11, 2024",3.0,"Rough and true to life (for some), this is definitely not one for children to find while browsing your shelves. Gut-wrenching, though - he's overcome a lot.

As for the book with the catchy title that attacks this one (and appears to be simply politically motivated), I lived in the South long enough to know that I'd trust this book over the ""attack book"" and its comments in a heartbeat. No contest."
MSEAK,"September 7, 2024",3.0,"Hard to read Too much self serving ""I"" by Vance."
Father Ryan Parish Library,"September 6, 2024",3.0,"I was very disappointed with Vance’s “elegy.” I like Vance’s politics and values, and his personal success story is truly amazing. But the book is not very well written or even very interesting, with numerous writing cliches that a good editor should have caught. Given Vance’s intelligence and experience, I would have expected a more substantive analysis of poverty, its impact and possible solutions. Also, given what I thought were his strong Catholic Christian values, I would have expected him to discuss the important role of faith in family and community stability"
Mar,"September 6, 2024",3.0,"I’m half way through and it’s pretty good but almost quit reading when he started singing Obama’s praises. I’ll finish it to see if it gets’s better.

Update. Forced myself to finish it. Was hoping it would be more about his life than about politics. Boring."
Roxie R Tempus,"September 3, 2024",3.0,"The book has an excellent story to tell, however it should come with a caution of excessive foul language usage."
CAM,"September 3, 2024",3.0,The book is an excellent read and I very much enjoyed it. However the JD Vance I see on TV and on the campaign trail seems like a totally different person. Very abrasive and unlikable. I wonder how much in the book is true and how much was dramatized to pave the way for him to run for office.
Ann E. Lytle,"September 1, 2024",3.0,Easy read and informative.
VAMMICHIGAN,"September 1, 2024",3.0,"Book started out with lots of statistics and was boring. Foul language was too much for my taste. It told a good story of J.D.'s struggles to succeed, get out of poverty and make something of himself in spite of his drugged mother."
J G,"September 1, 2024",3.0,"It was good. It didn't make my socks go up and down, but it was good."
Linda L Smith,"August 31, 2024",3.0,this is absolutely s great read and story about this great man and the trials of growing up ins family that was a little disfuntional
Remy,"August 28, 2024",3.0,"I got the book for my Mom. The book shows some words not in our vocabulary. However, we do love JD Vance and understand his childhood. Go Trump and Vance 2024!!!!"
jwhitehawke,"August 28, 2024",3.0,Nothing ruly alarming or exciting. Just a good family story about our next VP.
Clarkgrandsnona,"August 27, 2024",3.0,Wanted to read up on our VP since Pres. Trump selected him. The book was enjoyable on the most part but a little too descriptive in some areas for me and my family. I finally put it down and won’t finish it.
Theresa C,"August 27, 2024",3.0,"This was an enjoyable read and I was rooting for the boy and teenage JD Vance. His rags to riches story is inspiring however I found him quite conservative and opinionated as the book wore on. He seemed overly pleased for the female relatives in his life if they married nice men and had a family, like that was the pinnacle of their existence.
It's no surprise he has spouted nonsense about childless women, feminism and divorce in his recent campaigns."
Gladys,"August 27, 2024",3.0,I was very disappointed in all the bad language that was used. Couldn't finish reading it.
Kelly Brock,"August 26, 2024",3.0,"First of all, I like J.D. Vance. I don’t understand the praise for the memoir. Maybe it’s because I am well aquatinted with the areas and culture, but the book is repetitive and lacks structure. I tried to love it and find a way to follow it and enjoy the story, but it’s simply not fluid. I’d suggest reading it if you want insight into the man who I think will do the country some good, but I’m thankful writing isn’t part of the requirement to be elected."
Florist,"August 25, 2024",3.0,This book has given me a better insight to this young man. His life was very different than many. At this time it was important to me to learn who he was and is. I have a whole new appreciation for him.
Darlene Woodward,"August 24, 2024",3.0,swearing
BT,"August 24, 2024",3.0,"Even if my Grandmother used the language repeated in his book, I would have never disrespected her by repeating it. The story does show that no matter how lowly your family or your life begins, you can better yourself!"
Amazon Customer,"August 22, 2024",3.0,Reminds me of watching my kids grow up and what kind of friends they had.
Hans F,"August 22, 2024",3.0,The first part of the book is very confusing. The last third was better.
John Goode,"August 22, 2024",3.0,I liked his story of his life and how JD overcame many drawbacks to rise above them.
Willene W. Pate,"August 21, 2024",3.0,If you think your life was hard; read this biography. You will be amazed at his this man not only survived but excelled.
