User Name,Review Date,Rating,Review Body
Derryk Sivley,"March 3, 2025",5.0,This book provides great insights into modern day American poverty and abuse. J.D. Vance not only lived it but survived it. I would recommend this book to anyone looking for a new read.
Hughes Classic Cars,"March 2, 2025",5.0,Great reading.
Nor Olegnad,"March 2, 2025",5.0,Excellent
Morning!,"March 2, 2025",5.0,"During the meeting with Zelensky, JD Vance definitely escalated the situation quite a bit. Now I understand what happened, knowing his childhood and his life, from his book."
D. Lee,"March 2, 2025",1.0,"I read this book several years ago, when it first came out and my son’s high school made it recommended reading for its students, something that I’m 100% sure would not happen today. It told the story (ostensibly a biography) of a kid from difficult circumstances in Appalachia who made it to Yale Law School. That’s before Vance decided to get involved in politics, after failing in venture capital. Looking at it today, he so inflates his resume that it makes me wonder weather anything in the book is factual. For example, he constantly talks about being a Marine in Iraq, as if he were dodging bullets in foxholes. In fact, he was refining his ability to spin stories to the press, working as an assistant in the Marine press office, far from the front lines. He briefly worked in “private equity” and formed his own private equity fund at one point, but the performance of his fund was dismal. He did benefit from it by being introduced to some billionaire investors who have used him to advance their own self-interests. It’s true that he was a Senator from Ohio, elected with the help of those same billionaires, but only for a few months before being selected to run for VP, whereupon he began worshipping the same man who he had spoken negatively repeatedly previously. He hardly graced the Senate floor, let alone learned anything from teh experience. He apparently did go to Yale; I have two Ivy League degrees and I can assure you that an Ivy League degree is far from endorsement of one’s intelligence or, even more so, integrity.

Rarely have we had a less qualified or experienced Vice President. Yet, the actuarial tables tell us that a 78-year old man of average health has about a 25% chance of dying within the next four years, so Vance has at least a 25% chance of being our next President.

Don’t waste your time or money on this book. Harry Potter is better fiction."
DontStealMyPen,"March 1, 2025",1.0,"The story of a man who, as he tells it, beat the odds and made something of himself. One star for the effort that it takes to write a book, and to some extent, the parts of it that were honest. It's the rest of the book that reeks of manipulative storytelling as a way to promote himself as a man of honor. Too bad the reality of the man contradicts the values that he claims to have learned from the people and the circumstances of his upbring. The dishonorable man he became—a glad-handing supplicant to power and fame—is now on display for the world to see."
DSMO1978,"March 1, 2025",5.0,"The tone is raw, but the message is honest. So glad I decided to pick up this book. It’s eye-opening."
Tanya Lynn,"March 1, 2025",1.0,"I don't need to read this because I have lived it. I grew up in Red Haw, OH. I used to joke that it was a cross between red neck and Hee Haw. I skipped 7th grade. I was still the valedictorian of my high school. I got a BS degree in Math Magna Cum Laude with 4 years of solid calculus, and everything that goes with math. I did law school at the GSU COL in Atlanta, one of the best Health Law Schools in the country. And I am counsel to a non-profit health insurer, able to buy a 3BR / 2.5 BA home and be comfortable. I am so embarassed that he claims Ohio as home. He is a global embarassment. Humanity is intended to increase the amount of love in the world overall, and he is increasing the hate and vitriol and conflict. He doesn't remember where he came from, but I do. This guy is garbage."
Deb,"March 1, 2025",5.0,"What a story! From a “hillbilly” kid to Vice President of the United States!
He has the opportunity to offer a perspective so needed in our government."
GG Harris,"March 1, 2025",5.0,A gripping look into a world a lot of us know nothing about. It is educational as well as intriguing.
KNOLAN,"March 1, 2025",1.0,Story is full of lies! No surprise!
kim yarbrough,"February 28, 2025",5.0,"As a teacher, I have seen many students like J.D. Vance. I would like for all of us to work toward helping these students, and this book gave me some insight as to what they might think or believe. I plan for this to make me a better teacher."
Linda Gruen,"February 28, 2025",2.0,"Well written but I get the overall impression that he has embellished much of this story with what he believes to be true rather than how life actually is.
How can someone who is raised in a middle class environment know what life is like for a whole subculture he never lived in just because past generations experienced it.
I also get the feeling Vance likes to place blame on others because he doesn't agree with them.
Would not recommend if you want a true experience of Appalachian life."
Mousepotato,"February 28, 2025",5.0,This is an extremely well written book by JD Vance. Entertaining as well as instructive.
Amazon Customer,"February 27, 2025",5.0,Great book! Gives excellent insight into our vice president's life in Appalachia. Recommended
Judiepressley,"February 27, 2025",3.0,book is a good read but has some very bad langue in it think the book would have been just as good if it was kept cleaner vocabulary was kinda of disappointed
Kindle Customer (lisa).....................,"February 27, 2025",5.0,"Thank you for your honesty, putting yourself out there. Many can relate to your story, myself included. Poverty or living slightly above poverty and all that comes with it is a heart wrenching affair. But living life with fight or flight response I believe is the hardest struggle to overcome. I would also like to congratulate on your recent appointment of VP. So happy for you & your family. Thank you!!"
Amazon Customer,"February 27, 2025",5.0,Just as advertised
Darrell Davidson,"February 27, 2025",4.0,"JD Vance writes an engaging story about his life and upbringing. He describes how tough his early life was, and it’s interesting. A highly recommended read."
Robert Judware,"February 27, 2025",5.0,Enjoyed this book very much
Jon Threshie,"February 26, 2025",5.0,"Great writing, amazing story"
AmazonWomen,"February 26, 2025",1.0,He states that he judges people by their ethnicity within the first 3.5 minutes of the audiobook.
Edgar Allen Roe,"February 26, 2025",5.0,"The whole book is believable and I can clearly see how this could apply to me and my life, even though I'm a different generation. I wish J.D. good fortune and continued success."
Andie Battles,"February 26, 2025",5.0,With Vance becoming our new VP I wanted to read this book because I had heard he had a difficult upbringing. Vance is a great writer. He explains his story in a way that you can picture it. There is some language but without it the book would not give a true picture of his childhood.
Cindy Reid,"February 26, 2025",5.0,Interesting and just a good read. Glad I purchased.
Lynda,"February 26, 2025",5.0,This book was so interesting. It was hard to put down once I started reading it. I would recommend it to anyone since it is a true story of our Vice President of the United States.
Kindle Customer,"February 26, 2025",5.0,This book was written from J.D's heart. It was enlightening for me to hear how a young man with so many things against him succeeding to become America's Vice President. This book I wish everyone would read.
Mike Pfaff,"February 25, 2025",1.0,"If I could give it negative stars I would. Like Andy said,"" He ain't from here."""
Judy,"February 25, 2025",5.0,Great book and very interesting. Everyone should take the time to read it .
As advertised,"February 25, 2025",5.0,Great read
mama A,"February 25, 2025",1.0,"JDV made many incredulous statements in this book, all for attention. Just as he continues to do today."
Kerry M Milliken,"February 24, 2025",5.0,Highly recommend! Gives a heartfelt glimpse into the lives of Appalachian families and the trauma they face. Lots to learn and apply—even to those not living in that region.
MT,"February 24, 2025",5.0,This book is a great read!
linda,"February 24, 2025",5.0,Heartwarming and raw emotion. What an emotional and real explanation of J.D.’s memories of childhood! Eye opening to so many facets of American Culture. I have chills to have shared His story! Thank you!
Patricia M Smith,"February 24, 2025",5.0,well worth reading
Jason E. Lee,"February 24, 2025",1.0,This book should be removed.
GiGi - G-ma,"February 23, 2025",5.0,"A MUST SEE MOVIE AND
A MUST LISTEN TO AUDIO READ BY JD VANCE HIMSELF. Both excellent
Both different ways of presenting his story. Same story with a much clearer version when you actually hear JD Vance read his story. It’s like having JD in your home for a nice visit."
Kindle Customer,"February 23, 2025",5.0,"Having grown up in a very small town in New Hampshire, I could relate with his upbringing! Much success as VP."
Anna,"February 23, 2025",5.0,"Through the drama and trauma of his childhood JD blossomed into a winner, with courage, fortitude, support, and most importantly love. Mamaw was his reinforcement , his constant who gave him unconditional love and a sense of identity, she would have been so proud of his accomplishments. This book opened a window into understanding the economic, educational hardships and other challenges that his family and communities faced."
Kindle Customer,"February 22, 2025",3.0,"The book itself is interesting. However, there are many areas that are not complete. Don't know how to get this fixed."
ART,"February 22, 2025",5.0,"I don't know why I was surprised that JD narrated his own biography, but I was. I found listening to him pleasurable. The more familiar I've become with his past the more I like him and understand his sometimes blunt style of speaking his mind. I highly recommend this audiobook."
GigiOne97,"February 22, 2025",5.0,"The book and the movie are both incredible! The fact that he graduated from Yale, married an incredible woman, was a practicing lawyer, and is now the youngest VP in history is nothing short of amazing. It shows that if you have just one person who believes in you & you put the work in, you can use even a troubled past to succeed. He didn’t give up, and is truly making a difference by sharing his story of hope, forgiveness and family.
So glad I know his story now."
Amazon Customer,"February 22, 2025",5.0,Great Book!
Laura D.,"February 22, 2025",1.0,"I did not enjoy this book, he paints such an ugly photo of making assumptions of all the people in Appalachia. Not worth your time."
Olivia Macedo Godden,"February 21, 2025",1.0,Just awful
anon,"February 21, 2025",1.0,Horrible horrible horrible
Denise Henneman,"February 21, 2025",5.0,"I am really enjoying reading this book about our Vise President, JD Vance!"
Kimberley Harrison,"February 21, 2025",5.0,"As the teacher of young children, many of whom are growing up like J.D., this gave me great insight into the lives of some of my most precious students. What a story or perseverance and hope for all Americans."
avidreader,"February 21, 2025",5.0,Bought this to better get a view into JD Vance life. It was good
Kate,"February 21, 2025",5.0,Book is well written. Very interesting reading about different ways of living. Recommend this book.
Kathy of The Cove,"February 21, 2025",5.0,"Interesting story and painting of an Americana culture. Well written, very down to earth."
S Phinisey,"February 20, 2025",5.0,"This book was such a great example of how some people make it in this world through mentors or special people in their lives, even with dysfunctional upbringing‘s, poverty, lack of stable role models in their own parents. He did such a great job of balancing out how culture can affect us, how elite systems in the world help people get so far ahead. The social function, who you know that plays in one’s getting ahead…I also appreciate how much he learned about being an adult from being in the Marines. I read this in two days. Couldn’t put it down."
ironhorseranch,"February 20, 2025",5.0,I watched the movie first. Being a voracious reader I immediately purchased the book for my kindle. (The book is always better than the movie). The language in this book surprised me at first. I’ve never known hillbillies maybe they do cuss up a storm! I was raised poor. My father passed at age 29. My Mom had to go to work to support us. Her parents were dead. In the 1950’s there were no social services or programs to help! I never heard a curse word until high school. JD Vance’s turning around his life circumstances is nothing short of Miraculous! I throughly enjoyed this read. And the insight it gives our now Vice President of the United States is also amazing to understanding. It is comforting to know real people are in charge in the White House! By that I mean honest people we can trust!
Amazon Customer,"February 20, 2025",5.0,a must read
MaryLou Shepherd,"February 19, 2025",2.0,"This book does not tell a true story of growing up in Appalachia. I read at least one book per month so I believe I am qualified to know good authors and truths. I lived 18 years as a coal miners daughter in Harlan County, KY. I would say he had relatives living in Applachia but he didnt grow up there."
Kelli Greenwood,"February 19, 2025",5.0,Great book. Good read.
Sarah,"February 18, 2025",5.0,"This biography proves that a child who has no advantages in life, either material or emotional, can rise above it all and become successful.

I can relate to J.D. Vance's experiences because I, also, grew up in Appalachia and knew families like his. The book made it obvious that it was his tour of duty in the U.S. Army that set him on the right path but it was his personal drive to succeed that got him there.

I appreciate the honesty of how that upbringing still influences him in many ways, both good and bad."
