User Name,Review Date,Rating,Review Body
C.D.,"Reviewed in the United States on February 12, 2025",5.0 out of 5 stars,Good read. Melania tells all in this book. Great photos of her & President Trump. Learn a lot about the 1st Lady that you never knew. Would recommend buying.
Amy C.,"Reviewed in the United States on January 30, 2025",5.0 out of 5 stars,"Throughly loved this book! Read it in one day. Definitely worth the read and price. Also, great coffee table book!"
Amazon Customer,"Reviewed in the United States on January 27, 2025",1.0 out of 5 stars,Nothing that you don't already know. Disappointing.
Bella,"Reviewed in the United States on December 23, 2024",1.0 out of 5 stars,"I have very little positive to say about this book. I like Melania and have talked to someone who knows her personally who says she is one of the kindest, most caring persons he knows. I wanted to love the book but I could barely get through it and skimmed a lot of it. I think the reading of it would make people like her less so if she meant to promote herself, this is a huge fail!

The writing is terrible. I realize she is not a writer and maybe there is a barrier in culture and nuance of language, but the constant ""I did this, I did that, I'm compassionate, I'm loving......"" was a bit eye rolling. She needed a good editor or a ghost writer.

It was very repetitive and read more like a journal in areas...not even chronological. At times I had to go back because I thought I had dozed off when a new paragraph in the same chapter started on a completely unrelated subject...very strange. Even some of the photos were odd choices.... I got the feeling she couldn't make a decision on photos so just threw them all in, even if unflattering.

The black matte cover jacket is awful and gets oil spots on it from just holding the book making it look horrible in minutes. I didn't have any problem with the binding like others have said in reviews but the book was indeed expensive and not worth the price. I feel as if she had some kind of publication deadline and didn't give enough time to do this job well or even that someone sabotaged her into thinking it was great!

In contrast I read Free, Melania : the Unauthorized Biography by Kate Bennet in late 2019. I would never have picked that book up but it was given to me by my son who didn't realize it was supposed to be negative. I gave that book 2 stars, so it also was not great but even though it was supposed to be a ""hit job"", Kate described Melania quite well. I remember thinking Melania must be a pretty good person because the only bad things Kate could come up with revolved around Melania's shopping habits. I also learned a lot about life in the White House as Kate Bennet was the only journalist in the White House press corps to cover solely Melania Trump.

After reading Melania, the only interesting item I've come away with is this.

She shared the tradition of the outgoing president allowing the incoming president to check out the White House and plan for their move and renovation of rooms etc (expecially with a 10 year old boy moving in). This time is usually over the Christmas holidays when the sitting president's family is out of the White House in some other location. She wrote that the Trump staff sent a request but did not receive a response for weeks making it very difficult to organize the visit with the people needed. That was part of the reason she finished off the school year with Baron in NYC.
She mentioned Baron was 10 and the children's rooms were feminine since there had not been a boy child in the White House since Kennedy. She wanted to make the transition as easy as possible for him. Incidentally, as I was reading this part, I then heard a brief news item that the Trumps were invited to the White House this Christmas Season."
Pat,"Reviewed in the United States on December 17, 2024",5.0 out of 5 stars,Can certainly understand why it is number one. If you want that extra gift for someone or yourself this is a good purchase good price and great writing.
P. Buchanan,"Reviewed in the United States on December 17, 2024",5.0 out of 5 stars,"My wife ripped through this book in 4 days - she absolutely loved it! I haven't read it personally, but me wife says she highly recommends it. Great price and it's a hardcover. What a classy lady."
Blugoat65,"Reviewed in the United States on December 7, 2024",5.0 out of 5 stars,Quick shipping
Leora R Feeney,"Reviewed in the United States on December 4, 2024",2.0 out of 5 stars,"I was lucky. No damage to the book. The cover had issues but survived a complete reading looking good. Photos, and there are many, did not fall out but some were too small to see well or out of focus. The price was right for a hard cover book. Thank you, Amazon! I did not expect the first lady who is approaching a race for a second term in the White House to enter any discussion of her husband's affairs. The book seems to have been a promotional effort in a tight race to see the first family in a favorable light, so I did my best to read it with that in mind. I am not a Trump supporter. The book is easy to read. Vocabulary is limited and allows for quickly moving through the pages. The book does share early years in Europe, life with her parents and sister, the development of her modeling career. It was enjoyable. Her courtship and marriage was handled gracefully. She makes it clear that she adores her son, Barron, and I did enjoy seeing photos of him with his father as a baby and young boy. She makes an effort to ""correct"" information that was harmful to the family. I understand....

What was missing, even though an effort was made, was tender warmth toward ""Donald"" or his existing family. She does say that she didn't always agree with him. She made it clear that she was disappointed that children were separated from families at the border. She doesn't nearly cover the Covid 19 epidemic as well as I would have liked, but she shares the White House suffered with the president, herself, Barron all infected. But not much about other Americans. She doesn't describe the Jan 6, 2020 riot and the threat it brought to lives and the cost to America's property and process. It is barely mentioned. The omission glares. Trump's refusal to accept defeat for the election was not mentioned at all.

I am happy to have read the book. It gave me insights about her and some formal policy too. There is no mention or acknowledgements of anyone for the writing. Surely, she didn't produce this solo. I also came to appreciate that First Ladies have more responsibilities than I imagined and staff too. There is a fragile balance between privacy and sharing important truths. The reader will have to decide."
Birdie,"Reviewed in the United States on December 3, 2024",5.0 out of 5 stars,"It was interesting to read about her life and the crosses she had to bear. Great price, I only wish I would have gotten an autographed book. Highly recommend reading."
Mauistyle,"Reviewed in the United States on November 25, 2024",3.0 out of 5 stars,"This book was more than average expensive. Even with the discounted price. And more disappointing, that several photos were blurry and then some of the photo pages fell out.
The remaining stars are for the written content. It is nice to hear Melania’s elegant and positive voice."
Amazon Customer,"Reviewed in the United States on November 21, 2024",4.0 out of 5 stars,"From a man's perspective who was speculative of Melina.

Beginning of book was a little slow and felt like it started flat. Quick read - finished it in about 3 hours - highlighted sections that were important and new info to me.

Enjoyed learning about her upbrining and where she is from + the social economic issues she faced from her home country. She also left communism for the American dream.

Melina is a great representation of the American dream from not just 1st and 2nd generation immigrants to America, but also Americans themselves.

I didn't enjoy the first half of book, but couldn't put the book down once I was about 1/3 through it. Maybe the same feedback would not come from a female reader - take that into consideration.

She definitely fell for a few traps and tried to outsmart the media, but it backfired continuously - interesting to hear how this impacted her family and protecting her child.

Interesting to hear that Melina and Trump don't agree on all politics but they opening communicate their feelings and do their best to understand one anothers perspective.

Donald was always supportive of Melina's passion for helping children and young education - that was great to read and their relationship is very much respected between the two.

Motherly love - so clear to me how much she cares about her son. It's very touching reading this from a man's perspective, who is also a son of a mother.

Worth the price and a great read."
Deborah,"Reviewed in the United States on November 15, 2024",1.0 out of 5 stars,Love this book! Price was better on Amazon
Ginna C.,"Reviewed in the United States on November 10, 2024",5.0 out of 5 stars,"Honestly, I couldn’t afford full price for the book, but when I found it on sale I couldn’t resist. I’m so glad I bought it, as it turned out to be amazing and a privilege to read. I didn’t realize before how fortunate we are as a nation to have such a lovely and talented First Lady."
Tampa Mom,"Reviewed in the United States on November 9, 2024",5.0 out of 5 stars,Book arrived in perfect condition. Great price! Thanks!
JJW,"Reviewed in the United States on November 4, 2024",5.0 out of 5 stars,My wife loves this book. Fair Price !
Erleebird,"Reviewed in the United States on October 22, 2024",4.0 out of 5 stars,"The book was a good read and expressed how the first lady feels about her personal role as first lady, and husband and mother to both Donald and Barron. The pictures are numerous and wonderful. Small book; large price."
