User Name,Review Date,Rating,Review Body
Kindle Customer,"Reviewed in the United States on March 10, 2025",5.0 out of 5 stars,Excellent book very insightful ! Love our first lady refreshing to have class back in the office ! Highly recommend
kimw,"Reviewed in the United States on March 9, 2025",5.0 out of 5 stars,"I have the greatest respect and admiration for our 45 and 47th First Lady. Learning more about her young life and early career was enlightening. She’s intelligent, beautiful and caring."
J. Will,"Reviewed in the United States on March 9, 2025",5.0 out of 5 stars,"I loved this book so much. This gives a true insight into what Melania’s life is like.
She is a fascinating woman, a loving mother and wife."
Elizabeth Cummings,"Reviewed in the United States on March 8, 2025",5.0 out of 5 stars,Well written.
Shelli Hudson,"Reviewed in the United States on March 8, 2025",5.0 out of 5 stars,I learned so much in this book. I definitely recommend.
CheezyRiderAZ,"Reviewed in the United States on March 8, 2025",5.0 out of 5 stars,"Wife LOVED it.
In depth look at our first lady and her husband."
June,"Reviewed in the United States on March 7, 2025",5.0 out of 5 stars,I am enjoying this book about our first lady. We have had many attractive and accomplished ladies before Melania; but she is a working mother. And quite successful in her personal undertakings.
Catmom,"Reviewed in the United States on March 6, 2025",5.0 out of 5 stars,This is a wonderful insight into Melania’s life and 4 years in the White House. She takes you right in with her. She describes perfectly her feelings on cancel culture as she was cancelled after her 4 years repeatedly. Then at the end she takes you through the Maralogo Raid. Then to the Last run for the White House! I can’t wait for her next book! And I hope she writes another after this 4 years!!!!
Amazon Customer,"Reviewed in the United States on March 5, 2025",5.0 out of 5 stars,Loved reading it and learned a lot.
Good Guy,"Reviewed in the United States on March 4, 2025",5.0 out of 5 stars,Great read about the First Lady
Sonya Landress,"Reviewed in the United States on March 2, 2025",5.0 out of 5 stars,Bought for my mom. She loved it and all the beautiful pictures.
Joyce webb,"Reviewed in the United States on March 2, 2025",5.0 out of 5 stars,"Melania, a gracious, gifted, blessed and very gorgeous lady! Read it! Glad she is our First Lady!"
Casey Hall,"Reviewed in the United States on February 28, 2025",5.0 out of 5 stars,i thoroughly enjoyed her book ! What a wonderful caring woman ! my respect is overwhelming ! America needs to be so proud of this amazing woman !
