User Name,Review Date,Rating,Review Body
David Lamp,"Reviewed in the United States on March 3, 2025",1.0 out of 5 stars,Book was purest crap.
SDL,"Reviewed in the United States on March 2, 2025",1.0 out of 5 stars,What a self pandering bunch of nonsense.
Package came opened,"Reviewed in the United States on March 2, 2025",1.0 out of 5 stars,Scam
Jeff Rettew,"Reviewed in the United States on February 27, 2025",1.0 out of 5 stars,Waste of miney
BeenThere,"Reviewed in the United States on February 21, 2025",1.0 out of 5 stars,"The book cover was a mess with smudges and heavy tipping. Very unseemly.

As to the content, the book is written in a heavy Slovenian accent which you will need to get used to working through. Once you get past that issue, it flows like a breeze. We found Melania to be highly supportive of Donald J Trump as well as Barron J Trump, her son.

Almost nothing is written about Stormy Daniels or Karen McDougal and if you are expecting that---- it's not there.

Overall, Melania comes from the school of adjective-based writing and it shows with a wide and varied use of many adjectives. Melania has a keen wit."
alex28,"Reviewed in the United States on February 20, 2025",1.0 out of 5 stars,"I got this book for free. Thank God! (I would never pay for this nonsense.)

Here's the situation: the Kindle edition spans approximately 340 pages, with around 150 of those dedicated solely to photographs.
The remainder of the book features Melania promoting herself and Donald as compassionate individuals genuinely focused on uniting the nation. When she wasn't emphasizing that message, she was criticizing the media and elaborating on the various enhancements she implemented in the White House.
I was actually shocked at how bad this book was..
I really don’t care, do you?"
Fable,"Reviewed in the United States on February 16, 2025",1.0 out of 5 stars,"Droll, bland, vapid sentiments. This whole book says as little as Melania normally does. Yawn."
Screw this stupid whore,"Reviewed in the United States on February 14, 2025",1.0 out of 5 stars,"She knew exactly what she was getting
Cry me a River, Russian slag"
Nina Aprea,"Reviewed in the United States on February 13, 2025",1.0 out of 5 stars,Book cover has oil on it.
Matt,"Reviewed in the United States on February 11, 2025",1.0 out of 5 stars,Did someone pay her to write this trash?
GroovyGeek,"Reviewed in the United States on February 5, 2025",1.0 out of 5 stars,The book is about as interesting as the cover design. And so is her life.
Suring Area Public Library,"Reviewed in the United States on February 4, 2025",1.0 out of 5 stars,"All of the pictured pages fell out almost right away. Book horribly assembled. For what you pay for books, it was terrible."
Alif Dharamsi,"Reviewed in the United States on January 30, 2025",1.0 out of 5 stars,This book reads like an AI written essay. She sounds egotistical and superficial.
flkamm,"Reviewed in the United States on January 29, 2025",1.0 out of 5 stars,Don’t waste your time!
Amazon Customer,"Reviewed in the United States on January 27, 2025",1.0 out of 5 stars,Nothing that you don't already know. Disappointing.
NanaLis,"Reviewed in the United States on January 26, 2025",1.0 out of 5 stars,"REVISED review, bc this platform didn't allow the details previously provided... I received my ENTIRE order of the Melania books EXTREMELY DIRTY, marked, scratched and spotted on both front and back covers, as if they fell and slid on a rough surface, and NOT well kept AT ALL (pics attached)"
Abbie,"Reviewed in the United States on January 26, 2025",1.0 out of 5 stars,Not a good book
Amazon Customer,"Reviewed in the United States on January 25, 2025",1.0 out of 5 stars,"On my second day of reading, the book snapped apart into two pieces. The glue was brittle and did not hold the pages to the spine. I’m very disappointed."
Kennady Bonnallie,"Reviewed in the United States on January 23, 2025",1.0 out of 5 stars,Comically embarrassing. The amount of misinformation and exaggeration is insane. But something the uneducated believe - yikes. Pray for America. Wait….
Linda McCubbin,"Reviewed in the United States on January 23, 2025",1.0 out of 5 stars,The photo pages in the middle fell out. This was purchased for a library.
Blueeyeddriver,"Reviewed in the United States on January 22, 2025",1.0 out of 5 stars,She defffffff had help writing it lol
windward,"Reviewed in the United States on January 21, 2025",1.0 out of 5 stars,Read it...........that's it.
Joann,"Reviewed in the United States on January 20, 2025",1.0 out of 5 stars,"The cover was made poorly, smudged easily. A better understanding of Melania, but would not recommend this book."
D,"Reviewed in the United States on January 16, 2025",1.0 out of 5 stars,The book had all dirty fingertips all over it. It was covered in oil of some sort of food disgusting.
chris,"Reviewed in the United States on January 15, 2025",1.0 out of 5 stars,Dirty fingerprints on cover and pages rating should be zero! Now want me to send back at my expense!!!!!!!
Brian Zach,"Reviewed in the United States on January 15, 2025",1.0 out of 5 stars,Once I started reading this book I found pictures you can verily make out something happen in the print of the pictures
Connor Malbeuf,"Reviewed in the United States on January 15, 2025",1.0 out of 5 stars,a whole lot of nothing in this book and viewpoints that veer off track so much that I don't even know where to begin. Big sigh.
Kayla Branstetter,"Reviewed in the United States on January 15, 2025",1.0 out of 5 stars,"I wanted to like this book, but Melania doesn’t accept any accountability for anything. The entire book was surface level and poorly written."
Richard C Sherman,"Reviewed in the United States on January 13, 2025",1.0 out of 5 stars,"I bought this book as a gift for Christmas. The recipient just finished the first half of the book and then the second half is just a mishmash of pages. The last page in the book is the first page of Chapter 2. And now because it was bought when it first came out, it states it is unreturnable. I can't be the only one with this problem."
Paul Aussendorf,"Reviewed in the United States on January 12, 2025",1.0 out of 5 stars,Poorly written. Better titled Jeff Bezos’ payoff to Trump.
Tom Schaefer,"Reviewed in the United States on January 11, 2025",1.0 out of 5 stars,"Boring and shallow. I had had higher expectations for this book. I am utterly disappointed, and upset that I wasted money on this."
James Jenkins,"Reviewed in the United States on January 9, 2025",1.0 out of 5 stars,This book really is nothing special. You’d be better off looking through a book with blank pages.
MemePNC,"Reviewed in the United States on January 8, 2025",1.0 out of 5 stars,"Melania didn't write this, though I can't imagine how much worse it would have been if she had! Don't waste your time."
Maria Falcon,"Reviewed in the United States on January 7, 2025",1.0 out of 5 stars,Book replacement was once again with what appears to be greasy finger prints and scratches. This replacement book and the first that I returned were just placed inside a paper bag without protective wrapping around any of the books.
Tamila Savitskaya,"Reviewed in the United States on January 6, 2025",1.0 out of 5 stars,Absence of minimal education makes this book most boring and flat.
Scotch,"Reviewed in the United States on January 6, 2025",1.0 out of 5 stars,A waste of time
MJ,"Reviewed in the United States on January 5, 2025",1.0 out of 5 stars,Ridiculous garbage.
AArkieam,"Reviewed in the United States on January 5, 2025",1.0 out of 5 stars,This book sheds light on what she wants you to believe her life is and was the light side of the story. Where are were he truth tellers I wanna here the true story and leave nothing out. Another celebrity writing a nothing burger.
Southern Cook,"Reviewed in the United States on January 5, 2025",1.0 out of 5 stars,Not what I expected…..I love Melanie but just couldn’t finish book. Her life is boring compared to mine and I’m a nobody! 😁
The Lady of the House,"Reviewed in the United States on January 3, 2025",1.0 out of 5 stars,I was extremely disappointed by this book. It is not written by Melania. I did not learn anything new about her by reading this book. It contain information that has been widely dispersed by the media for years. It was a waste of money.
Sharon Comba,"Reviewed in the United States on December 29, 2024",1.0 out of 5 stars,"I’m a Trump supporting Republican, but wow this was not worth my time. I actually skipped parts to get through it. Enjoyed pictures more than anything"
Regina C. Allen,"Reviewed in the United States on December 29, 2024",1.0 out of 5 stars,Use this for toilet paper.
J. Hurd,"Reviewed in the United States on December 26, 2024",1.0 out of 5 stars,"Clearly ghost written, but with no more interesting content than you'd expect from the ""I really don't care, do you"" ex-stripper who destroyed the Rose Garden and hates Christmas. If I could give it -5 stars, I would."
Amazon Customer,"Reviewed in the United States on December 24, 2024",1.0 out of 5 stars,"I've read many books from First Lady's, and kept them all. This one is not worth saving."
Bella,"Reviewed in the United States on December 23, 2024",1.0 out of 5 stars,"I have very little positive to say about this book. I like Melania and have talked to someone who knows her personally who says she is one of the kindest, most caring persons he knows. I wanted to love the book but I could barely get through it and skimmed a lot of it. I think the reading of it would make people like her less so if she meant to promote herself, this is a huge fail!

The writing is terrible. I realize she is not a writer and maybe there is a barrier in culture and nuance of language, but the constant ""I did this, I did that, I'm compassionate, I'm loving......"" was a bit eye rolling. She needed a good editor or a ghost writer.

It was very repetitive and read more like a journal in areas...not even chronological. At times I had to go back because I thought I had dozed off when a new paragraph in the same chapter started on a completely unrelated subject...very strange. Even some of the photos were odd choices.... I got the feeling she couldn't make a decision on photos so just threw them all in, even if unflattering.

The black matte cover jacket is awful and gets oil spots on it from just holding the book making it look horrible in minutes. I didn't have any problem with the binding like others have said in reviews but the book was indeed expensive and not worth the price. I feel as if she had some kind of publication deadline and didn't give enough time to do this job well or even that someone sabotaged her into thinking it was great!

In contrast I read Free, Melania : the Unauthorized Biography by Kate Bennet in late 2019. I would never have picked that book up but it was given to me by my son who didn't realize it was supposed to be negative. I gave that book 2 stars, so it also was not great but even though it was supposed to be a ""hit job"", Kate described Melania quite well. I remember thinking Melania must be a pretty good person because the only bad things Kate could come up with revolved around Melania's shopping habits. I also learned a lot about life in the White House as Kate Bennet was the only journalist in the White House press corps to cover solely Melania Trump.

After reading Melania, the only interesting item I've come away with is this.

She shared the tradition of the outgoing president allowing the incoming president to check out the White House and plan for their move and renovation of rooms etc (expecially with a 10 year old boy moving in). This time is usually over the Christmas holidays when the sitting president's family is out of the White House in some other location. She wrote that the Trump staff sent a request but did not receive a response for weeks making it very difficult to organize the visit with the people needed. That was part of the reason she finished off the school year with Baron in NYC.
She mentioned Baron was 10 and the children's rooms were feminine since there had not been a boy child in the White House since Kennedy. She wanted to make the transition as easy as possible for him. Incidentally, as I was reading this part, I then heard a brief news item that the Trumps were invited to the White House this Christmas Season."
Twig the Wonder Kid,"Reviewed in the United States on December 20, 2024",1.0 out of 5 stars,"What a waste of a human being. For four years, she had the ability to effortlessly and at no cost to herself, improve the lives of millions of people on a daily basis. She chose to abstain. She didn’t lift a finger to help anyone and continues her greedy selfish ways. How much money do these people need? They have no substance, no compassion. Why anyone would revere her is beyond my comprehension. This book is merely an extension of her vanity. She needs to get over herself."
Eliz,"Reviewed in the United States on December 20, 2024",1.0 out of 5 stars,"Nothing more to say, a book written by a trophy wife doesn’t deserve more than a star."
M. Moody,"Reviewed in the United States on December 20, 2024",1.0 out of 5 stars,"I picked up this book out of curiosity and only became more and more disappointed. We all have areas of our lives that are less than accurate or truthful, but most of us don't publish them. Not worth the read."
K H,"Reviewed in the United States on December 19, 2024",1.0 out of 5 stars,Reads like a cover letter. Not even written in order and all over the place. I regret reading this book.
Nicoletta,"Reviewed in the United States on December 19, 2024",1.0 out of 5 stars,It is a show of true love (of money)
SAM S,"Reviewed in the United States on December 19, 2024",1.0 out of 5 stars,"Self serving tripe. As she so proudly displayed on her coat ""I don't really care, do u?"" would have been an apt subtitle."
matthew,"Reviewed in the United States on December 17, 2024",1.0 out of 5 stars,I ran out of toilet paper. Luckily someone gave me this book.
Sharon,"Reviewed in the United States on December 17, 2024",1.0 out of 5 stars,"I’ve read a lot of books since I retired and this one takes the cake as the worst. You might as well be in a cult and repeat, “I am Melania. I am wonderful” after each paragraph. It’s slanted to her side, she shows no accountability for anything and she’s wonderful and most others aren’t. Poor baby. She’s picked on. Worst book that. Try Arnold’s book—way better."
Rose,"Reviewed in the United States on December 14, 2024",1.0 out of 5 stars,There is no way these are her true feelings & no way she wrote this. This should be categorized under FICTION.
patricia,"Reviewed in the United States on December 10, 2024",1.0 out of 5 stars,"Photos poor quality, self promoting and no mention of proceeds going to a charity. Melania doesn’t need the money."
Nancy B,"Reviewed in the United States on December 9, 2024",1.0 out of 5 stars,Not worth the paper it’s printed on! It was so obvious it was written to try to shed a more positive light on her husband right before the election.
Tbarr1013,"Reviewed in the United States on December 9, 2024",1.0 out of 5 stars,I heard Donald was going to write the introduction but he couldn't figure out how to open the book
Packaging a little damaged in the mail but the item itself is perfect.,"Reviewed in the United States on December 5, 2024",1.0 out of 5 stars,"Chapters 16-18 are missing. In their place is a duplicate reprint of chapters 12-14.
Need a new book! Have contacted publisher. Waiting to hear back….."
LK,"Reviewed in the United States on November 30, 2024",1.0 out of 5 stars,I did not enjoy this this book at all. She comes across as very conceited and brags about herself through out the book. I gave the book away without finishing it b cause it was so bad.
Bill B.,"Reviewed in the United States on November 30, 2024",1.0 out of 5 stars,Don't read. Terrible. 0 stars.
Jeanine Stabnow,"Reviewed in the United States on November 25, 2024",1.0 out of 5 stars,Melania's book has been nice to read but the pictures in the center of the book are literally falling out of the binding. The binding has not held up at all. The date it too late for me to send back since I did not get it read right away. A big waste of my money
Vanity Nutrition,"Reviewed in the United States on November 25, 2024",1.0 out of 5 stars,"The story of a poor, yet pretty, farm girl who grew up in a communist country. She worked what she had to get what she wanted, and she wanted money."
No Sleep 'til Brooklyn,"Reviewed in the United States on November 24, 2024",1.0 out of 5 stars,"Immigration Background- There’s irony noted in her immigration journey juxtaposed with her husband’s hardline immigration policies.

“Be Best” Campaign- While her anti-bullying initiative was well-intentioned, how ironic given Donald Trump’s combative style.

Lack of Transparency- She people feel she is overly private, making her actions and priorities as First Lady unclear or difficult to assess."
Amazon Customer,"Reviewed in the United States on November 23, 2024",1.0 out of 5 stars,A self promoting book lacking in introspection or a sense of history. Waste of time
Amazon Customer,"Reviewed in the United States on November 22, 2024",1.0 out of 5 stars,This book is one of the best coaster or place mat I've ever seen.
DOUGLAS D. WILKERSON,"Reviewed in the United States on November 20, 2024",1.0 out of 5 stars,"Melania by Melania Trump is a masterclass in vacuity, a memoir that promises insight into the life of one of the most enigmatic and scrutinized figures of modern politics but delivers little more than an exercise in self-promotion. The book is a glossy, surface-level account that skirts the most meaningful questions about her life, reducing the complex reality of her experiences to a series of clichés and vague, lifeless platitudes.

Rather than offering genuine introspection or revealing new perspectives, Melania's narrative is predictably distant and calculated, mirroring the aloofness that has defined her public persona. There is little substance in her reflections, only a repetitive parade of tired tropes about beauty, family, and a vague sense of American patriotism, all packaged in a way that feels more like a branding effort than an authentic memoir.

The writing itself is excruciatingly shallow. Melania, as a writer, displays a complete lack of depth, offering up sparse, almost mechanical descriptions of events and emotions. It’s clear that this book was written not for personal expression, but as a carefully curated product designed to sell a particular image—an image that remains deliberately impenetrable. Her reluctance to delve into any meaningful aspects of her personal life or thoughts on her controversial marriage to Donald Trump only adds to the sense that this book is nothing more than an exercise in vanity and image management.

In terms of narrative, the book meanders with no clear sense of direction, lacking both a cohesive structure and a compelling arc. Her experiences as First Lady are brushed over with little insight into the complexities of her role. There is no substantial reflection on the controversies surrounding her husband's presidency or her own public persona. Instead, readers are left with a sanitized, glorified version of Melania's life, where her true thoughts remain carefully guarded.

Melania by Melania Trump isn’t a memoir—it's a missed opportunity, a hollow text that fails to humanize its subject or offer any real connection. It’s a book that feels entirely detached from any real human experience, leaving behind only the stark reminder of how artfully crafted public images can be, and how little substance often lies beneath."
iliketacos,"Reviewed in the United States on November 20, 2024",1.0 out of 5 stars,Boring and self arrogant. Not very well written.
Daniel Frye,"Reviewed in the United States on November 19, 2024",1.0 out of 5 stars,"This review has nothing to do with the book itself but rather the fact that the seller attached a sticker to the dustcover that won't completely come off and ruined it. Why would anyone do that, especially to a brand new book?"
Anthony G. Puzzilla,"Reviewed in the United States on November 19, 2024",1.0 out of 5 stars,I didn't learn anything from her book that I didn't already know. It was a waste of money.
LH,"Reviewed in the United States on November 18, 2024",1.0 out of 5 stars,"Terrible book. Absolutely no way she wrote it. Reads like boring fiction. No substance. Many people are saying this too, not just me."
