User Name,Review Date,Rating,Review Body
Kindle Customer,"Reviewed in the United States on March 10, 2025",5.0 out of 5 stars,Excellent book very insightful ! Love our first lady refreshing to have class back in the office ! Highly recommend
kimw,"Reviewed in the United States on March 9, 2025",5.0 out of 5 stars,"I have the greatest respect and admiration for our 45 and 47th First Lady. Learning more about her young life and early career was enlightening. She’s intelligent, beautiful and caring."
J. Will,"Reviewed in the United States on March 9, 2025",5.0 out of 5 stars,"I loved this book so much. This gives a true insight into what Melania’s life is like.
She is a fascinating woman, a loving mother and wife."
Customer Review,"Reviewed in the United States on March 9, 2025",4.0 out of 5 stars,"I'm a huge fan of reading about current and past presidents, first ladies, and the White House, so when I saw Melania Trump had a new book out, I knew I wanted to read it. Plus, the cover drew me in immediately when I saw it at the bookstore, which is kind of odd because it's so simple. The book itself is an easy read that is engaging and sounds authentic. Melania has a great love for her family, she's a dedicated wife and mother that has led a fascinating and inspiring life. She talks a lot about the pitfalls and rewards of being in the public eye, she also is frank about mistakes she has made. My favorite part of the book was the super secret flight that she and President Trump took to Iraq, and then Germany, to surprise the troops on Christmas Day. The description of the trip gave me goosebumps."
Elizabeth Cummings,"Reviewed in the United States on March 8, 2025",5.0 out of 5 stars,Well written.
Shelli Hudson,"Reviewed in the United States on March 8, 2025",5.0 out of 5 stars,I learned so much in this book. I definitely recommend.
CheezyRiderAZ,"Reviewed in the United States on March 8, 2025",5.0 out of 5 stars,"Wife LOVED it.
In depth look at our first lady and her husband."
June,"Reviewed in the United States on March 7, 2025",5.0 out of 5 stars,I am enjoying this book about our first lady. We have had many attractive and accomplished ladies before Melania; but she is a working mother. And quite successful in her personal undertakings.
Catmom,"Reviewed in the United States on March 6, 2025",5.0 out of 5 stars,This is a wonderful insight into Melania’s life and 4 years in the White House. She takes you right in with her. She describes perfectly her feelings on cancel culture as she was cancelled after her 4 years repeatedly. Then at the end she takes you through the Maralogo Raid. Then to the Last run for the White House! I can’t wait for her next book! And I hope she writes another after this 4 years!!!!
Amazon Customer,"Reviewed in the United States on March 5, 2025",5.0 out of 5 stars,Loved reading it and learned a lot.
