User Name,Review Date,Rating,Review Body
Janet W,"Reviewed in the United States on March 8, 2025",5.0 out of 5 stars,"I bought three copies of the book to give away over the holidays--and a Kindle edition for me. True story--my next door neighbor, a charming intelligent gentleman over a certain age, got a phone call from his professor daughter. She said, ""Dad, there's this book you have to read!"" And he was able to say, been there/done that, my neighbor gave it to me for Christmas. It should be required reading--it's beautifully, elegantly written. Crisp prose. Read it, act upon it and your grandchildren will never have to ask you why didn't you and your generation stop this whole sale destruction of American democracy?"
Amazon Customer,"Reviewed in the United States on January 13, 2021",5.0 out of 5 stars,Originally only ordered the Kindle version. I’m going to be ordering it in paperback because it’s excellent and I’d like to have it on my shelf. I have no doubt I will pick up this book often as reference material for how to be an anti-tyranny American.
Judy D'O,"Reviewed in the United States on November 24, 2019",5.0 out of 5 stars,"After reading this book on Kindle, I'm ordering a few copies, one for myself so I can underline quotes from esteemed people, and the rest to pass on to friends and my children. It's a nice synopsis of what happened in Europe in the 1930's through the 1980's, politically. I especially was enlightened by Chapter 18, and the history of how Putin(beloved by our current president ) came to power, and how he demonized the Russian Muslim population in Chechnya, blaming them for terrorist actions that his own secret police carried out. The author never mentions the 2004 election and how before the election the terrorist danger was raised(with no solid facts to back that up), and people voted for Bush out of fear. All in all, this is a great read if you want to connect the dots about what's happening today, and how we're being manipulated to be afraid of ""others"" that aren't like ourselves."
Sandra Williams,"Reviewed in the United States on November 22, 2019",4.0 out of 5 stars,Very informative and easy read.
Kindle Customer. D Conroy,"Reviewed in the United States on October 7, 2019",4.0 out of 5 stars,"20 lessons for these troubled times and required action tomorrow change American politics back to the country's founding principles. While Prof Snyder doesn't mention the President by name, it is he's the topic under consideration. His survey covers other countries in danger.

NOTE: Chapter 20 of my kindle copy didn't include usual following text with advice on citizens' action -- goes straight to final thoughts."
Dana Williams,"Reviewed in the United States on September 17, 2019",5.0 out of 5 stars,"""History does not repeat, but it does instruct.""
Snyder, Timothy. On Tyranny (p. 9). Crown/Archetype. Kindle Edition.

Timothy Snyder digs into the early 20th century rise to power of Nazism and fascism to see if their example might help inform the reader about what is at work in the United States today. He finds compelling and chilling similarities among Hitler, Mussolini, and Trump in their manipulation of the their political systems and their respective supporters. Snyder's writing is cautionary, but it is also instructional,leading the reader through various things to listen and watch for, as well as avoid.

The book is an easy read, and moves along quickly, with chapters that almost seem like bullets. I strongly recommend it to anyone living in the United States under its current regime. Understanding what is at work and responding to it offers, perhaps, the only hope that the country will be able to survive this assault on democracy."
Allen Bolinger,"Reviewed in the United States on August 7, 2019",1.0 out of 5 stars,"There was nothing I liked. The book was written as an indictment of the Trump campaign and presidency. Yet, the name Trump never appears. Data is put forward with no citation of source. Claims of wrong doing; again no sources. It contains nothing of substance and ignores the fact that many of the charges made could easily be levelled against Democrat politicians. He speaks of the ""the less popular party"" then goes on to say that this party controls the majority of state houses. So much for ""less popular."" I think I paid about a buck for the Kindle version of the book. I was overcharged. Pure rubbish."
Kindle Customer,"Reviewed in the United States on May 31, 2018",5.0 out of 5 stars,"I have read this book twice. I have given a copy to my 19 year old grandson, have a copy on Kindle, and recommended it hardily to my friends as critical reading in a concise straightforward manner. The final chapter will give you chills. This is the most impacting book I've read in years."
Amazon Customer,"Reviewed in the United States on January 17, 2018",4.0 out of 5 stars,"I really enjoyed the book, but my Kindle copy seems to be missing chapter 20? Am I crazy?"
MsCrabbyAppleton,"Reviewed in the United States on October 2, 2017",5.0 out of 5 stars,"This book was like a gift of perfect timing. It is easy to read. Short. Brilliant. Gives you some historic and very important lessons that should be taken to heart. We have a younger generation of Americans who have not been educated about WWII whatsoever- and have no concept of what to look out for. They may even think that our democracy is stable and our institutions protected. I hope they read this book. When I heard Mr Snyder on the Sam Harris podcast I listened to that podcast THREE times-because I liked listening to what he had to say so much. Mr Snyder came across as a compassionate soul who is also brilliant. His credentials make for such a long list, too long for this review. He is a prize to have as a fellow American. Mr Snyder is a historian, a scholar who speaks many languages and has lived in Russia, the Ukraine, etc - and published books in 3 languages. This gem was also on the NYT Best Seller list for nonfiction. While I often use kindle I brought the Paperback and am glad I did. I read it with my husband. If you do not have a photographic memory I recommend the printed copy, plus you may want to share it."
Bob Keeler,"Reviewed in the United States on September 22, 2017",5.0 out of 5 stars,"This is the very definition of a must-read book. Timothy Snyder has written extensively about twentieth-century tyrannies, in his masterful works of history, ""Black Earth"" and ""Bloodlands."" That hard-earned expertise makes him immensely qualified to write this short book about the lessons that we can derive from the ascent of earlier tyrannies—if we are willing to take the time to learn. Given today's deeply troubling rise of authoritarian leaders, including right here in America, we need to learn those lessons and act on them. I listened to the audiobook, then bought the Kindle version, which I read again, highlighting it copiously. That way, I can always have those lessons with me, wherever I go, on my phone. And I sent the paper version of the book to a friend. Reading this supremely important work will take you just about an hour. You won't regret that investment of your time."
Mackie74,"Reviewed in the United States on August 21, 2017",5.0 out of 5 stars,"This concise plan gives the reader the tools to be better informed and verbally armed to change our current political and world path from limiting free speech, social justices, and equal rights for all of humanity through the basic premise that 'learning from the past can help us not repeat it'.

Yes, one can read ""On Tyranny"" in under an hour but learning from these lessons takes some time and is well worth the effort. I have to date given 20 copies (hard & kindle) to friends. Professor Snyder has written a modern manifesto for all of us idealistic, somnambulists who thought a better world was truly on the horizon.

One friend has said this is an important book in troubling times. Thank you Professor for writing this. I will only encourage more and more people to learn from your teachings."
gardenwebbie,"Reviewed in the United States on August 12, 2017",5.0 out of 5 stars,Should be required reading for everyone . Why isn't it in a kindle format?
KO6JW,"Reviewed in the United States on July 26, 2017",5.0 out of 5 stars,"This book is a must read for anyone who fears for democracy in America. It gives you concrete actions you can take to strengthen our society in a time when our institutions are under attack. I heard the author on Democracy Now and ordered the book on Kindle right then. I have sent gift copies to friends and also bought the paperback version. The historical examples are valuable lessons and truly illustrate the old saying ""Those who don't know history are doomed to repeat it.""

This is quite a short book and can be read in one sitting.

It is not an attack on Donald Trump (he is never mentioned by name). Rather it is an attempt to use historical examples to show how easily we could slip into tyranny through our own neglect of our democratic institutions."
Ronald Hoeflinger,"Reviewed in the United States on July 6, 2017",5.0 out of 5 stars,"This is not an evaluation of the book, but Amazon's Kindle presentation. My complaint: the Kindle ""Look Inside"" preview allows you to see the Table of Contents but nothing else! Why bother? Go to the paperback edition instead. I'm sure the book is great, but these programming errors tick me off.

As for the message: RIGHT ON! Where is the outrage? This author does not shy away from the harsh words for what we now face: Tyranny and Fascism!"
