User Name,Review Date,Rating,Review Body
Tina B,"Reviewed in the United States on December 20, 2024",3.0 out of 5 stars,VERY CHEAP LOOKING. ONLY 7 DOLLARS BUT COME ON. ITS LIkE A DIME NOVEL. CHEAP CHEAP PAPER.
hkapp,"Reviewed in the United States on November 21, 2021",1.0 out of 5 stars,"I like reading unbiased books about history that points out the flaws in all parties because all sides have good and bad, hence why we have checks and balances. The author uses over simplified examples and makes sure the broadly use the statement “right-wing” for any example of anything he considered bad. I’m not getting political in my review but sadly this book does so it took me out of the book. It’s really more just a college term paper, only 85 pages written to appease a college professor rather than look at factual history."
Matt,"Reviewed in the United States on April 17, 2021",1.0 out of 5 stars,Upon reading a few passages in this book I came to the conclusion that the thinking patterns of this author are excitingly soft. As the pages are no good for reading I decided to try them out as toilet paper (being the true environmentalist that I am). It turns out that the pages do not make good toilet paper either. The words are soft thought and simple but the pages feel excruciatingly crisp on my now reddened behind. I'm struggling to find purpose for this book and I don't want this authors work to go to waste so its currently holding up a leg of my patio table that is just about 3/4 of an inch shorter than the others. Hope these tips and tricks help!
Diane Tighe,"Reviewed in the United States on March 18, 2021",5.0 out of 5 stars,Clarity of the author’s opinions is most enlightening
Amazon Customer,"Reviewed in the United States on January 26, 2021",3.0 out of 5 stars,"I purchased this book interested in a short treatment of an important theme I am very concerned with as the Trump administration gives way to the Biden administration. I know others, Mr. Snyder, for example, were concerned in early 2017 the Trump presidency would turn tyrannical. This, of course, is always a possibility, but I did not see it and was not concerned. While the Trump presidency did provide more than enough to agitate the person already predisposed against the man, these concerns proved largely unfounded.

Reading this book now just days into the Biden administration, I am struck by how much more obviously prescient it is regarding the current state of affairs than the time for which it was written. For such a short book, it is replete with warnings that that strike at the heart of threats to our Republic that have nothing to do with Donald Trump, but with the scorned and vindictive political and media establishment hell-bent on revenge: the need for paper ballots to ensure election integrity is powerfully promoted (I wonder if this will make it into the second edition); beware the ‘one-party state’; warnings against the perversion of language; exhortations to resist words like ‘terrorism’, ‘emergency’, and ‘exception’ that would-be tyrants invoke to consolidate power; and countless denunciations of efforts to silence and eliminate opposition parties. The are even not-so-subtle allusions to the dangers of alternative media and tech tyranny (which I also suspect may be conspicuously absent from future editions).

Were the overt, anti-Trump portions of this book removed, ‘On Tyranny’ would read more like a prospective elixir to the excesses of the nascent post-Trump order than a work intended to protect us from Trump. If the author stands by his work, he may find himself in the somewhat uncomfortable position of having inadvertently written an excellent book, on accident. As a non-partisan who did not vote for Donald Trump in either 2016 or 2020, I am genuinely grateful for the accidental triumph, as the book makes some excellent points."
Scott J. Pearson,"Reviewed in the United States on November 28, 2020",5.0 out of 5 stars,"“You should read this.”

Those simple words ran across my mind as I finished page 126 of this wonderful book. I am no political scientist though I follow current events tightly. This book, written in 2017 in the aftermath of the election of Donald Trump, reminds us how fragile history can be. By looking at the challenges of the present, it looks at how democracy was subverted by tyranny in the twentieth century.

Snyder provides twenty lessons to readers based upon global failures of the 1900s – for example, the rise of Nazi Germany, the rise of Stalinist Russia, and the rise of Putin’s Russia. Make no mistake, this book, despite its title evoking the twentieth century, is thoroughly grounded in twenty-first-century events. It uses those current events as a prism to recall prior history.

This book is readable and accessible to the masses. Much as The Federalist Papers did for the US Constitution, this book attempts to do for 2016-2020. It seeks to remind us of the choices we face in the voting booth and in our lives and encourages us to make those choices with confidence. Snyder, by trade a professor of history at Yale, seeks to imprint upon us the fragility of history. As with the twentieth century, only a few wrong decisions can get us far off course.

Snyder concludes by discussing the “politics of inevitability” that seemed to envelop American discourse in the early twenty-first century. “Democracy will inevitably triumph,” these false words told us. The rise of authoritarianism in America laid bare this false creed. To remind us of our duty, the author – in a sort of jeremiad – calls us to return to the study of history in an attempt to make more history. Citing Shakespeare’s Hamlet, Snyder calls the now-informed reader to embrace the challenges of the present. Will we listen?"
Rita in Aurora,"Reviewed in the United States on August 29, 2020",5.0 out of 5 stars,"This is a small book that packs a punch! I liked it so well in audio form that I also bought it in paper form.

This is a must-own handbook. Keep it handy, and review it often.

Fast easy read, but it will leave you informed and hopefully unsettled and a bit anxious given current events. Read it and then vote in every election without fail.

I am paraphrasing the author: You never know when you are voting for the last time that you are voting for the last time. We all need to be able to recognize tyranny when it is right in front of us and realize that it will get worse if left unchecked."
Capo,"Reviewed in the United States on November 25, 2019",5.0 out of 5 stars,"Stop saying you love democracy This book actually offers positive things to battle the tyrant at our door I bought the paper copy as I have seen books, movies and even professional content change over time on electronic devices. Excellent if you have the courage And if you really do love democracy Follow along and watch our system fall to its knees Help get it back You barely have to move!"
Guillermo,"Reviewed in the United States on February 4, 2018",5.0 out of 5 stars,"BOOK REVIEW | NON FICTION

Discover What Threatens Democracy to Preserve It
By GUILLERMO BRUNO | FEB. 4, 2017

ON TYRANNY: TWENTY LESSONS FROM THE TWENTIETH CENTURY by Timothy Snyder (New York: Tim Duggan Books, 2017), 126 pp.

This book “On Tyranny: Twenty Lessons from the Twentieth Century” by Timothy Snyder took inspiration from the outcome of the 2016 United States presidential election. Snyder, a professor of History at Yale, informs us that if we want to keep democracy, we must learn to find its weaknesses and threats to act accordingly. Since democracy does not protect itself, preserving it is a constant job which requires us to get involved, to be determined to defend our rights and to fight for the values we believe in and care for. In the twentieth century, there are several examples where democracy served as a means to allow totalitarian regimes –such as Nazism, Fascism, and Communism– to accede to power. This book reminds us that those regimes have inflicted mankind untold sufferings. However, as Maya Angelou says “… History, despite its wrenching pain, cannot be unlived, but if faced with courage, need not be lived again…” Therefore, read this book. But first, let me explore some of these lessons to support my conclusion.

The author recalls that after the German elections of 1932, which allowed Adolf Hitler to form his government, the next step was “anticipatory obedience,” but what does “anticipatory obedience” mean? When a new situation appears, rather than questioning and resisting it, people accept it voluntarily, it is an act of submission to both the new situation and its leaders. This behavior is a political tragedy, so “do not obey in advance.” Institutions do not protect themselves; they need us to defend them. Assuming that the rulers who came to power through institutions cannot destroy the same institutions that allowed them to be in power is a big mistake; thus “defend institutions.” Supporting the multi-party system is a must. In a democracy, there is no room for political parties that suppress their rivals or make life impossible to their opponents; therefore “beware the one-party state.” If you see swastikas or other signs of hatred, do not be indifferent; on the contrary, remove them yourself and give an example so that others do the same. That is why we must “take responsibility for the face of the world.” ""After Germany invaded Poland in 1939, Hitler’s personal lawyer, Hans Frank, became the governor-general of occupied Poland."" In those days, the regime murdered millions of Jews and other Polish citizens. A new regime always needs professionals. If a professional “confuses his ethics with the emotions of the moment, he can find himself doing things that previously he might have thought unimaginable;” again “remember professional ethics.” Armed groups degrade a political order and then transform it. Violent groups such as the “Iron Guard” in Romania or the “Arrow Cross” in Hungary used to intimidate their rivals. The Nazi Party had paramilitaries such as the SA and the SS. People and parties who wish to undermine democracy and the rule of law create violent organizations; hence “be wary of paramilitaries.” Do not obey immoral orders and those that are against your conscience, your principles or values. Authoritarian regimes usually have a “special riot police force” to disperse citizens who seek to protest, and a “secret state police force” whose assignments include the murder of dissenters or others designated as “enemies.” The NKVD in the Soviet Union of 1937-38 or the SS in the Nazi Germany of 1941-45 were forces of the latter kind involved in the great atrocities of the twentieth century. In both cases, they counted on police forces and soldiers. For these facts, “be reflective if you must be armed.” It may seem strange to do or say something different, but without that reaction to oppression, there is no freedom. Remember Rosa Parks. The moment you set a precedent, the status quo is broken and others will follow your example; so “stand out.” Professor Snyder devotes several of his lessons to think of the power of small decisions in the face of eroding democracy. “The minor choices we make are themselves a kind of vote,” he argues. “Our words and gestures, or their absence, count very much.” Make an effort to separate yourself from the Internet and read good books. Learn to discern, to know the difference between right and wrong, good and bad, fair and unfair and their consequences. By and large, totalitarian regimes distort the scope and content of words and expressions. We find a clear example of this in Hitler’s language; then “be kind to our language.” ""To ignore the facts is to abandon freedom."" If nothing is true, no one can criticize power because there is no basis upon which to do so, thus “believe in truth.” “Figure things out for yourself… The person who investigates is also the citizen who builds. The leader who dislikes the investigators is a potential tyrant,” so “investigate.” The author encourages us to “make eye contact and small talk,” it is part of being a citizen. “People who were living in fear of repression remembered how their neighbors treated them.” The author calls for a “corporeal politics,” this implies ""voting with paper ballots that can be counted and recounted; face-to-face interaction and not email; marching not online petitioning."" “Power wants your body softening in your chair and your emotions dissipating on a screen. Get outside. Put your body in unfamiliar places with unfamiliar people.” According to Hannah Arendt, totalitarianism was not the creation of an all-powerful state, but “the erasure of the difference between public and private life”. ""We are free if we exercise control over what people know about us and how they come to know it”. That is why we have to “establish a private life.” Hitler’s language explicitly undermined all and any opposition. “The people” always meant “some people and not others;” “encounters” were always “struggles” and any attempt by free people to understand the world in a different way was “defamation” of the leader; so “listen for dangerous words.” The Founding Father designed the United States political system “to mitigate the consequences of its real imperfections, not to celebrate its imaginary perfection,” so “be calm when the unthinkable arrives.” Today, “Americans… are no wiser than the Europeans who saw democracy yield to Fascism, Nazism, or Communism in the twentieth century.” The only advantage the American System has is that it might learn from their experiences of the past. However, if everything becomes against democracy, “be as courageous as you can.”

In conclusion, I highly recommend ""On Tyranny...,"" a brief, clear, and a concise work based on history and impregnated with multiple solutions for the differences of today. Perhaps, it is high time we read again ""Democracy in America"" by Alexis de Tocqueville. It was he who after seeing the failed attempts at democratic government in his native France, visited America and studied its stable and prosperous democracy to gain insights into how it worked… In the unlikeliest of places, hope and reconciliation can still be found.

Guillermo Bruno

Guillermo Bruno was born in Argentina. He holds a Bachelor of Arts (B.A.) from the School of Legal Sciences, Universidad del Salvador (USAL), and a Master of Laws (LL.M.) in Air and Space Law from the Instituto Nacional de Derecho Aeronáutico y Espacial (INDAE). He is a professor of law, a legal writer, a defender of animal rights, and a songwriter.

RECENSIÓN DE LIBRO | NO FICCIÓN | ESPAÑOL

Descubre lo que amenaza a la democracia para preservarla
Por GUILLERMO BRUNO | FEB. 4, 2017

SOBRE LA TIRANÍA: VEINTE LECCIONES DEL SIGLO VEINTE de Timothy Snyder (New York: Tim Duggan Books, 2017), 126 pp.

Este libro ""Sobre la tiranía: veinte lecciones del siglo XX"" de Timothy Snyder se inspiró en el resultado de las elecciones presidenciales de Estados Unidos de 2016. Snyder, un profesor de Historia en Yale, nos informa que si queremos mantener la democracia, debemos aprender a encontrar sus debilidades y amenazas para actuar en consecuencia. Como la democracia no se protege a sí misma, preservarla es un trabajo constante que requiere que nos involucremos, que estemos decididos a defender nuestros derechos y a luchar por los valores en los que creemos. En el siglo XX, hay varios ejemplos en los que la democracia sirvió como medio para permitir que los regímenes totalitarios -como el nazismo, el fascismo y el comunismo- accedieran al poder. Este libro nos recuerda que esos regímenes han infligido a la humanidad sufrimientos indecibles. Sin embargo, como dice Maya Angelou “... La historia, pese a su desgarrador dolor, no puede ser desandada, pero si se la enfrenta con coraje, no es necesario volver a repetirla...” Por lo tanto, lee este libro. Pero primero, déjame explorar algunas de estas lecciones para avalar mi conclusión.

El autor recuerda que después de las elecciones alemanas de 1932, que le permitieron a Adolfo Hitler formar su gobierno, el siguiente paso fue la ""obediencia anticipatoria"", pero ¿qué significa ""obediencia anticipada""? Cuando aparece una nueva situación, en lugar de cuestionarla y resistirla, las personas la aceptan voluntariamente, es un acto de sumisión tanto a la nueva situación como a sus líderes. Este comportamiento es una tragedia política, por lo que ""no obedezcas de antemano"". Las instituciones no se protegen a sí mismas; ellas necesitan que las defendamos. Asumir que los gobernantes que llegaron al poder a través de las instituciones no pueden destruirlas es un gran error; por lo tanto, ""defiende las instituciones"". Apoyar el sistema multipartidario es imprescindible. En una democracia, no hay lugar para que los partidos políticos supriman a sus rivales o les hagan la vida imposible a sus oponentes; por lo tanto, ""ten cuidado con el Estado de partido único"". Si ves esvásticas u otras señales de odio, no seas indiferente; por el contrario, quítalas tú mismo y sé en un ejemplo para que otros te imiten. Es por esto que debemos ""asumir responsabilidad ante el mundo"". ""Después de que Alemania invadió Polonia en 1939, el abogado personal de Hitler, Hans Frank, se convirtió en el gobernador general de la Polonia ocupada"". En aquellos días, el régimen asesinó a millones de judíos y otros ciudadanos polacos. Un nuevo régimen siempre necesita profesionales. Si un profesional ""confunde su ética con las emociones del momento, puede encontrarse a sí mismo haciendo cosas que antes podría haber pensado inimaginables"", entonces ""recuerda la ética profesional"". Los grupos armados degradan un orden político y luego lo transforman. Grupos violentos como la ""Guardia de Hierro"" en Rumania o la ""Cruz de la Flecha"" en Hungría solían intimidar a sus rivales. El Partido Nazi tenía paramilitares como las SA y las SS. Las personas y los partidos que desean socavar la democracia y el estado de derecho crean organizaciones violentas; por lo tanto, ""desconfía de los paramilitares"". No obedezca las órdenes inmorales y aquellas que están en contra de tu conciencia, tus principios o valores. Los regímenes autoritarios generalmente tienen una ""fuerza antidisturbios especial"" para dispersar a los ciudadanos que pretenden protestar, y una ""fuerza policial estatal secreta"" cuyas asignaciones incluyen el asesinato de disidentes u otros designados como ""enemigos"". El NKVD en la Unión Soviética de 1937-38 o las SS en la Alemania nazi de 1941-45 fueron fuerzas de este último tipo, involucradas en las grandes atrocidades del siglo XX. En ambos casos, contaron con fuerzas policiales y soldados. Para estos hechos, ""reflexiona si debes estar armado"". Puede parecer extraño hacer o decir algo diferente, pero sin esa reacción a la opresión, no hay libertad. Recuerda a Rosa Parks. En el momento en que estableces un precedente, el status quo se rompe y otros seguirán tu ejemplo; así que ""destácate"". El profesor Snyder dedica varias de sus lecciones a pensar en el poder de las pequeñas decisiones frente a la erosión de la democracia. ""Las elecciones menores que hacemos son en sí mismas una especie de voto"", argumenta. ""Nuestras palabras y gestos, o su ausencia cuentan mucho"". Haz un esfuerzo para separarte de Internet y lee buenos libros. Aprende a discernir, a conocer la diferencia entre lo correcto y lo incorrecto, lo bueno y lo malo, lo justo y lo injusto y sus consecuencias. En general, los regímenes totalitarios distorsionan el alcance y contenido de las palabras y expresiones. Encontramos un claro ejemplo de esto en el lenguaje de Hitler; luego ""sé amable con nuestro lenguaje"". ""Ignorar los hechos es abandonar la libertad"". Si nada es verdad, nadie puede criticar al poder porque no hay ninguna base sobre la cual hacerlo, por lo tanto, ""cree en la verdad"". ""Descubre las cosas por ti mismo... La persona que investiga también es el ciudadano que construye. El líder a quien no le gustan los investigadores es un potencial tirano, entonces ""investiga"". El autor nos alienta a ""hacer contacto visual y hablar en voz baja"", es parte de ser un ciudadano. ""Las personas que vivían con miedo a la represión recordaban cómo las trataban sus vecinos"". El autor exige una ""política corpórea"", ella implica ""votar con boletas de papel que se puedan contar y volver a contar, interactuar cara a cara y no al correo electrónico”; hay que marchar, no peticionar en línea. ""El poder quiere que tu cuerpo se suavice en tu silla y tus emociones se disipen en una pantalla. Sal afuera. Pon tu cuerpo en lugares desconocidos, con personas desconocidas"". Según Hannah Arendt, el totalitarismo no fue la creación de un estado todopoderoso, sino ""la eliminación de la diferencia entre la vida pública y la privada"". ""Somos libres si ejercemos control sobre lo que la gente sabe de nosotros y cómo llegan a conocerlo"". Es por eso que tenemos que ""establecer una vida privada"". El lenguaje de Hitler socavó explícitamente toda oposición. ""La gente"" siempre significaba ""algunas personas y no otras""; ""encuentros"" siempre eran ""luchas"" y cualquier intento por parte de las personas libres de entender el mundo de otra manera era ""difamación"" al líder; de modo que ""escucha las palabras peligrosas"". Los Padres Fundadores diseñaron el sistema político de Estados Unidos ""para mitigar las consecuencias de sus imperfecciones reales, no para celebrar su perfección imaginaria”, así que “mantén la calma cuando llegue lo impensable"". Hoy, ""los estadounidenses... no son más sabios que los europeos que vieron a la democracia rendirse ante el fascismo, el nazismo o el comunismo en el siglo XX."" La única ventaja que tiene el sistema estadounidense es que podría aprender de sus experiencias del pasado. Sin embargo, si todo se vuelve en contra de la democracia, ""sé tan valiente como puedas"".

En conclusión, recomiendo ""Sobre la tiranía…"", un trabajo breve, claro y conciso basado en la historia e impregnado de múltiples soluciones para superar las diferencias del hoy. Tal vez, sea hora de releer ""La democracia en América"" de Alexis de Tocqueville. Fue él quien después de ver los intentos fallidos de los gobiernos democráticos en su Francia natal, visitó Estados Unidos y estudió esa democracia estable y próspera para obtener información sobre cómo funcionaba… En el lugar menos probable, la esperanza y la reconciliación aún pueden encontrarse.

Guillermo Bruno

Guillermo Bruno nació en Argentina. Es abogado, egresado de la Facultad de Ciencias Jurídicas de la USAL (Universidad del Salvador) y realizó un posgrado en la Especialización en Derecho Aeronáutico y Espacial en el INDAE (Instituto Nacional de Derecho Aeronáutico y Espacial). Es profesor de derecho, escritor, defensor del derecho de los animales y autor y compositor."
Bob Keeler,"Reviewed in the United States on September 22, 2017",5.0 out of 5 stars,"This is the very definition of a must-read book. Timothy Snyder has written extensively about twentieth-century tyrannies, in his masterful works of history, ""Black Earth"" and ""Bloodlands."" That hard-earned expertise makes him immensely qualified to write this short book about the lessons that we can derive from the ascent of earlier tyrannies—if we are willing to take the time to learn. Given today's deeply troubling rise of authoritarian leaders, including right here in America, we need to learn those lessons and act on them. I listened to the audiobook, then bought the Kindle version, which I read again, highlighting it copiously. That way, I can always have those lessons with me, wherever I go, on my phone. And I sent the paper version of the book to a friend. Reading this supremely important work will take you just about an hour. You won't regret that investment of your time."
