User Name,Review Date,Rating,Review Body
GrammyT,"Reviewed in the United States on December 14, 2024",5.0 out of 5 stars,"A quick, and easy read. Highly recommend it!"
smullan,"Reviewed in the United States on October 28, 2021",5.0 out of 5 stars,"I read this concise, small paperback in just a few hours. This pocket sized book may be small, but it is big on ideas to stimulate one’s view of dangers facing America and elsewhere - great conversation starters - all 21!"
Ann Christensen,"Reviewed in the United States on October 17, 2021",5.0 out of 5 stars,Great book and a quick read. I'm purchasing more paperbacks and distributing. Next on my list is the graphic version.
Amazon Customer,"Reviewed in the United States on January 13, 2021",5.0 out of 5 stars,Originally only ordered the Kindle version. I’m going to be ordering it in paperback because it’s excellent and I’d like to have it on my shelf. I have no doubt I will pick up this book often as reference material for how to be an anti-tyranny American.
prisrob,"Reviewed in the United States on September 30, 2019",5.0 out of 5 stars,"We own this mess -in politics being deceived is no excuse
Last week on Rachel Maddow, she brought out a well worn paperback book she keeps with her. It is a manual on how to keep our freedom, written by Timothy Snyder, a Yale Professor Of great renown. The book is ‘On Tyranny, 20 Lessons From The Twentieth Century.’

I was quite taken by the book and the author. He lays out in great detail the top 20 lessons/reasons we have learned to protect our Democracy. These are the fundamental freedoms that have become a matter of great urgency, in this time of the Trump Administration. The author, Timothy Snyder, has written this short book to help us with a response to tyranny. “History, and especially the history of the 20th century, has lessons for us”, he says.

1.Do not obey in advance
2.Snyder’s second lesson is to “defend institutions
3.Snyder’s third lesson is “beware the one-party state”.
4.Snyder’s fourth lesson is “take responsibility for the face of the world” – in other words, be skeptical about propaganda.
5.Remember professional ethics
6.Be wary of paramilitaries
7.Be reflective if you must be armed
8.Stand Out
9.Be kind to our language
10.Believe In Truth
11.Investigate
12.Make eye contact and small talk
13,Practice corporeal politics
14.Have a private life
15.Contribute to good causes
16.Learn from peers in other countries
17.Listen for dangerous words
18.Be calm when the unthinkable arrives
19.Be a Patriot
20.Be as courageous as you can

Some of these lessons may be more important to you than others. I urge you to read this book. Since Timothy Snyder appeared on Rachel Maddow’s show, the book has taken a Number 1 spot. In this time of upheaval, and, the Quest for Impeachment, we must not let our guard down.

Recommended. prisrob 09-30-19"
John D. Cofield,"Reviewed in the United States on August 12, 2019",5.0 out of 5 stars,"Don't let the small size of this paperback of 126 pages mislead you, there is great wisdom within. Timothy Snyder is a professor of history at Yale who has written extensively about Eastern Europe and the Holocaust during the twentieth century. He knows whereof he speaks, and when he warns us of the approach of tyranny it is important to listen to him.

The twenty short lessons included here are basically common sense advisements about the important of being a good citizen: to pay attention; to apply your own critical and moral analytical abilities to what you see going on about you; to stand up and speak out; to help others, whether they are known to you or not. Common sense, yes, but it's common sense that has eluded many of us in the past few years, and now it's more important than ever to reclaim it.

As I said in my first paragraph, this is a short book, but from the hysteria with which Trump supporters have treated it in their ""reviews"" it has obviously struck some of their nerves, and (we can hope)caused them to perhaps rethink that support. That makes Snyder's work even more important. Buy it, read it, and apply its principles to your own life. Perhaps it will help us lift the darkness from our land."
MsCrabbyAppleton,"Reviewed in the United States on October 2, 2017",5.0 out of 5 stars,"This book was like a gift of perfect timing. It is easy to read. Short. Brilliant. Gives you some historic and very important lessons that should be taken to heart. We have a younger generation of Americans who have not been educated about WWII whatsoever- and have no concept of what to look out for. They may even think that our democracy is stable and our institutions protected. I hope they read this book. When I heard Mr Snyder on the Sam Harris podcast I listened to that podcast THREE times-because I liked listening to what he had to say so much. Mr Snyder came across as a compassionate soul who is also brilliant. His credentials make for such a long list, too long for this review. He is a prize to have as a fellow American. Mr Snyder is a historian, a scholar who speaks many languages and has lived in Russia, the Ukraine, etc - and published books in 3 languages. This gem was also on the NYT Best Seller list for nonfiction. While I often use kindle I brought the Paperback and am glad I did. I read it with my husband. If you do not have a photographic memory I recommend the printed copy, plus you may want to share it."
KO6JW,"Reviewed in the United States on July 26, 2017",5.0 out of 5 stars,"This book is a must read for anyone who fears for democracy in America. It gives you concrete actions you can take to strengthen our society in a time when our institutions are under attack. I heard the author on Democracy Now and ordered the book on Kindle right then. I have sent gift copies to friends and also bought the paperback version. The historical examples are valuable lessons and truly illustrate the old saying ""Those who don't know history are doomed to repeat it.""

This is quite a short book and can be read in one sitting.

It is not an attack on Donald Trump (he is never mentioned by name). Rather it is an attempt to use historical examples to show how easily we could slip into tyranny through our own neglect of our democratic institutions."
Ronald Hoeflinger,"Reviewed in the United States on July 6, 2017",5.0 out of 5 stars,"This is not an evaluation of the book, but Amazon's Kindle presentation. My complaint: the Kindle ""Look Inside"" preview allows you to see the Table of Contents but nothing else! Why bother? Go to the paperback edition instead. I'm sure the book is great, but these programming errors tick me off.

As for the message: RIGHT ON! Where is the outrage? This author does not shy away from the harsh words for what we now face: Tyranny and Fascism!"
A tremendous reader,"Reviewed in the United States on June 30, 2017",5.0 out of 5 stars,"If you are concerned about what is happening in our country, this is an absolute must read. My thoughts on this matter were scattered and disordered, all over the floor, like game of 52 card pick up. There are so many angles to everything that is happening and it is hard to get a good grasp on any single thing. But Dr. Snyder has somehow organized all of the thoughts I was having into a nice smooth fan of playing cards. He has done an excellent job of organizing and explaining all of the complexities of our predicament in a concise yet still easily understandable manner.

We intuitively know that things are not normal. This book efficiently and specifically explains things so that you can more articulately discuss the evidence that supports that intuition.

This is initially a quick & easy read. However, you will be thinking about it for long after. I initially listened to the audiobook, then bought the paperback so that I could take notes & highlight, then I bought the kindle version so that I could search more easily.

I cannot recommend this book highly enough."
fdf19,"Reviewed in the United States on June 2, 2017",5.0 out of 5 stars,"And exceptional analysis of history condensed into 20 profoundly important bullet points. Both the fast listen, and a quick read in paperback, it is a prescription for action as well as observation. Though the author's performance maybe less than that of a professional actor, using his own vocal inflection to lean on important words as only the writer can do seems both useful and admirable.

Though this is not directed precisely at our current president, nor is it necessarily to make a particular comparison between fascism and the same, it does make one think long and hard about the state of affairs in the world, and specifically in the United States.

This is a must-read, not only for history buffs, but for citizens of all nations who wish to be free and democratic — and most especially, the United States of America."
SleepingSoundly,"Reviewed in the United States on June 1, 2017",5.0 out of 5 stars,"This is a short book for anyone feeling paralyzed by politics. It is powerful, and it will give you some tools to identify what is happening around us, and practical advice for protecting yourself and our democracy. I intend to order 10 paperbacks to distribute to friends and family."
G-Rose,"Reviewed in the United States on May 25, 2017",5.0 out of 5 stars,Some big time author's alchemy here - a ton of heft in a mighty small paperback. To be read and referred to over & over (actually fits in a pocket).
Stevie L. Brannon,"Reviewed in the United States on May 18, 2017",5.0 out of 5 stars,An excellent depiction of history to bring a much-needed perspective to the political climate in America. The twenty lessons provide a foundation for action in the present to shape a possible future. Every high school student must read and discuss this book in paperback!
