User Name,Review Date,Rating,Review Body
Joshua M.,"Reviewed in the United States on December 1, 2024",2.0 out of 5 stars,"This could have been a fine book, but it's very transparently just propaganda written in the hopes of either a) convincing people not to vote Trump in 2024, or b) making money by selling copies to folks on the left who want to be told they're correct. I had hoped it would be more, but alas.

The format for each chapter was very simple: here is an example from history, here is the principle I'd like you to extract from it, and then the author seemed to flip a coin regarding whether he'd give an example of how Trump violated that principle. His allusions to ""an American president/presidential candidate"" would have been perhaps less of an eye-roll if he had ever cited violations of principle from the other side of the aisle - performatively feigned journalistic objectivity is just tiresome.

I really wanted to like this book - the principles espoused aren't wrong. If it had examined both parties, and had fleshed out the ideas to help the reader broaden their perspective (which was why I bought the book), it could have been a fine book. But alas, the author clearly just wanted to shout ""Trump represents tyranny, here is how to fight him"" while giving some historical anecdotes to give a veneer of insight. Definitely don't buy it, and if you come across it at a library, it may not even be worth the time you spend to read it - there's nothing insightful here."
Paul,"Reviewed in the United States on August 1, 2024",2.0 out of 5 stars,"I found this book to be well written but essentially narrow in viewpoint. Like many moralist-type thinkers who view the world as a great battle between ""good and evil"" the work fails to give a deeper understanding of the historical complexities and factors that underlay the rise of authoritarian regimes. Notably lacking are the covert authoritarian actions and misdeeds undertaken by our own ""democratic"" camp. Essentially Snyder is a true believer who writes and argues well. I admit to having loved this book at first (even gave it to a friend) than realized I was being lead astray by one who sees everything in black and white. For a much better understanding of the Ukraine conflict see Petrov's Tragedy of Ukraine. Snyder is a Zelensky apologist and sees the West as the good guys. I was impressed first and then turned off."
Roge,"Reviewed in the United States on July 24, 2024",2.0 out of 5 stars,"This book has many good points but ignores nearly every negative action of one party while misrepresenting the motives, truths and usually debunked and mis defined words and actions of the other. Largely a very skewed piece that if accepted as fact is destined to promote the very tyranny it pretends to disdain. Well hidden attack on the very liberty it pretends to support!"
Troy S. Williams,"Reviewed in the United States on June 1, 2024",2.0 out of 5 stars,"The book is not completely useless. It's veiled and open assertions are. I generally do not read reviews to inform my decisions in purchasing. This time I wish I had. I read reviews, usually, but looking at the 5 star and the 1 star to get a sense of the middle ground of reality usually present in the averages. In this case the poor reviews were far more reasoned, inciteful, and well written. The book is a thinly disguised and typically shallow leftist warning. While there is value in the book, it comes not from the author's conclusions or hand wringing strawman fears. The value comes from noticing which examples the author uses to ""bolster"" his conclusions, and, more importantly, which he studiously ignores. Also instructive is the cowardice displayed in refusing to openly and unequivocally state his target. He is not actually warning against tyranny, he is attacking one side and one person: the right and Donald Trump."
Amazon Customer,"Reviewed in the United States on May 27, 2024",2.0 out of 5 stars,"It's interesting the author chose not to write about Barak, Bill or Hillary. I stopped reading when I realized he's very biased. He's drank the kool-aid. Wonder if he will do a follow-up on the Biden term and how he's screwed the American people. Seems to me those who read this book didn't do much to change the course of the country... including the author. So part of the problem, not part of the solution."
Amazon Customer,"Reviewed in the United States on January 3, 2024",2.0 out of 5 stars,I don’t disagree with many of the “lessons” but it is blatantly leaning to one side it is distracting. So many of his arguments and examples go back to Nazi Germany but if you look at his twitter there is not mention of what is happing in the conflict now. How’s that doing the “uncomfortable”. Just for that I am disgusted.
Amazon Customer,"Reviewed in the United States on December 15, 2023",2.0 out of 5 stars,"Bought this book to learn more about fascism and communism to try to understand Biden administration better since they've been destroying the country for the past 3 years. But it turns out that this book is written directed toward the Trump administration, in some way comparing what was happening in Trump administration with Hitler's dictatorship, and other fascists of the world.

The lessons to be learned from this book are very valuable though. Especially for today's (2023) age. But the author is completely delusional to think that Trump administration was anything like what he's insinuating in this book. It resonates more with America's current administration under Biden than any other time before.

This book will definitely help you make sense of some of the current events that are occurring in America today. And guess who's in power today? You guessed, Biden. Not Trump.

Seems like you can't read anything unbiased nowadays if it's published after 2016. Ridiculous."
unique eclectic,"Reviewed in the United States on August 18, 2023",2.0 out of 5 stars,"This was subtitled as lessons from the 20th century.
At first I was really enjoying this book. But as the book moved on the chapters kept getting shorter and shorter like he was trying to hurry up and get this to his publisher.
I would say only a dozen of the examples were actually from the 20th century. Of those, probably 90% focused solely on Hitler and the Nazi party.
At least 2 chapters didn't provide any examples, it was just the author cycling over an idea he had for Americans to behave better."
Cognitive Dissonance,"Reviewed in the United States on December 26, 2022",2.0 out of 5 stars,"Quick and easy read. A thoughtful idea (how to bring tyrannical leaders and communities to task), but inthouroghly developed. While the book has practical applications to the issues we face in American society today, the writer seems to be tone deaf with tunnel vision.
He uses the events leading up to the Jewish Holocaust to establish his premise, while ignoring all other very valid and pressing events in AMERICAN history. Snyder refuses to acknowledge the plight of melanated people in a substantive way. On one hand, he writes, ""and others"" when talking about the martyrs of the Holocaust. Because I suppose black citizens in Russia, Germany, and the""other"" surrounding countries was not worth mentioning in detail. But hold on, he does make sure to make full mention of ""African Americans"" in parallel to VOTING. WOW. Snyder is almost passive aggressive with his language in many places throughout his novela, too. A tone that does not help the average reader learn or gain better understanding of the message. I was left feeling quite irritated by the end. I don't recommend this book."
OnlyJesuscansaveus,"Reviewed in the United States on November 10, 2022",2.0 out of 5 stars,Would love to hear his analysis of our “democracy” at this point in time. Clearly he was worried about Trump. Every chapter leading toward tyranny is consistent with our current regime. To quote a current politician and our MSM voting Republican is a threat to our “democracy “
