User Name,Review Date,Rating,Review Body,Cleaned Review,Positivity Score
Kindle Customer,"Reviewed in the United States on March 10, 2025",5.0 out of 5 stars,Excellent book very insightful ! Love our first lady refreshing to have class back in the office ! Highly recommend,excellent book very insightful love our first lady refreshing to have class back in the office highly recommend,0.9849249999999999
kimw,"Reviewed in the United States on March 9, 2025",5.0 out of 5 stars,"I have the greatest respect and admiration for our 45 and 47th First Lady. Learning more about her young life and early career was enlightening. She’s intelligent, beautiful and caring.",i have the greatest respect and admiration for our 45 and 47th first lady learning more about her young life and early career was enlightening she s intelligent beautiful and caring,0.99634
J. Will,"Reviewed in the United States on March 9, 2025",5.0 out of 5 stars,"I loved this book so much. This gives a true insight into what Melania’s life is like.
She is a fascinating woman, a loving mother and wife.",i loved this book so much this gives a true insight into what melania s life is like she is a fascinating woman a loving mother and wife,0.992275
Elizabeth Cummings,"Reviewed in the United States on March 8, 2025",5.0 out of 5 stars,Well written.,well written,0.89098
Shelli Hudson,"Reviewed in the United States on March 8, 2025",5.0 out of 5 stars,I learned so much in this book. I definitely recommend.,i learned so much in this book i definitely recommend,0.945535
CheezyRiderAZ,"Reviewed in the United States on March 8, 2025",5.0 out of 5 stars,"Wife LOVED it.
In depth look at our first lady and her husband.",wife loved it in depth look at our first lady and her husband,0.93991
June,"Reviewed in the United States on March 7, 2025",5.0 out of 5 stars,I am enjoying this book about our first lady. We have had many attractive and accomplished ladies before Melania; but she is a working mother. And quite successful in her personal undertakings.,i am enjoying this book about our first lady we have had many attractive and accomplished ladies before melania but she is a working mother and quite successful in her personal undertakings,0.9841449999999999
Catmom,"Reviewed in the United States on March 6, 2025",5.0 out of 5 stars,This is a wonderful insight into Melania’s life and 4 years in the White House. She takes you right in with her. She describes perfectly her feelings on cancel culture as she was cancelled after her 4 years repeatedly. Then at the end she takes you through the Maralogo Raid. Then to the Last run for the White House! I can’t wait for her next book! And I hope she writes another after this 4 years!!!!,this is a wonderful insight into melania s life and 4 years in the white house she takes you right in with her she describes perfectly her feelings on cancel culture as she was cancelled after her 4 years repeatedly then at the end she takes you through the maralogo raid then to the last run for the white house i can t wait for her next book and i hope she writes another after this 4 years,0.9747399999999999
Amazon Customer,"Reviewed in the United States on March 5, 2025",5.0 out of 5 stars,Loved reading it and learned a lot.,loved reading it and learned a lot,0.93991
Good Guy,"Reviewed in the United States on March 4, 2025",5.0 out of 5 stars,Great read about the First Lady,great read about the first lady,0.943735
Sonya Landress,"Reviewed in the United States on March 2, 2025",5.0 out of 5 stars,Bought for my mom. She loved it and all the beautiful pictures.,bought for my mom she loved it and all the beautiful pictures,0.9747399999999999
Joyce webb,"Reviewed in the United States on March 2, 2025",5.0 out of 5 stars,"Melania, a gracious, gifted, blessed and very gorgeous lady! Read it! Glad she is our First Lady!",melania a gracious gifted blessed and very gorgeous lady read it glad she is our first lady,0.99118
Casey Hall,"Reviewed in the United States on February 28, 2025",5.0 out of 5 stars,i thoroughly enjoyed her book ! What a wonderful caring woman ! my respect is overwhelming ! America needs to be so proud of this amazing woman !,i thoroughly enjoyed her book what a wonderful caring woman my respect is overwhelming america needs to be so proud of this amazing woman,0.995455
Ruth S. Steitle,"Reviewed in the United States on February 27, 2025",5.0 out of 5 stars,"As you read this book you get a close-up look at our first lady. She is a woman of class, intelligence, and profound love for her family and the USA. We can all learn from her example s.",as you read this book you get a close up look at our first lady she is a woman of class intelligence and profound love for her family and the usa we can all learn from her example s,0.9711099999999999
Amazon Customer,"Reviewed in the United States on February 26, 2025",5.0 out of 5 stars,Well written. Very interesting.,well written very interesting,0.9436
Sue,"Reviewed in the United States on February 25, 2025",5.0 out of 5 stars,Enjoyed this book very much! Would definitely recommend!,enjoyed this book very much would definitely recommend,0.9744999999999999
Rick from the future.,"Reviewed in the United States on February 25, 2025",5.0 out of 5 stars,"Gave it to my wife for a present, she’s read three chapters so far. Apparently it’s an excellent book. It’s good see Trump and Melania get the recognition they deserve!!!",gave it to my wife for a present she s read three chapters so far apparently it s an excellent book it s good see trump and melania get the recognition they deserve,0.96475
Christine Keesee,"Reviewed in the United States on February 25, 2025",5.0 out of 5 stars,"It was interesting to learn the ins and outs of life as a First Lady. Melania invites us in to understand her a little more, as well as her and President Trumps life together",it was interesting to learn the ins and outs of life as a first lady melania invites us in to understand her a little more as well as her and president trumps life together,0.9381849999999999
DebbieC,"Reviewed in the United States on February 25, 2025",5.0 out of 5 stars,"I highly recommend this book. I had no idea that Melania Trump had accomplished so many things as our First Lady. As you read this book, remember the constant media attacks and lies about the Trump family, which led Melania to feel a need to write this book and set the record straight. She has had to deal with so much negativity and has handled it well. She explains her views on many different issues and she’s not afraid to tell the truth. I also loved hearing about the loving and respectful relationship that she has with her husband Donald. And it was great to hear about the very caring and generous side of Donald Trump. Bravo Melania for such a well written glimpse into the story of her life.",i highly recommend this book i had no idea that melania trump had accomplished so many things as our first lady as you read this book remember the constant media attacks and lies about the trump family which led melania to feel a need to write this book and set the record straight she has had to deal with so much negativity and has handled it well she explains her views on many different issues and she s not afraid to tell the truth i also loved hearing about the loving and respectful relationship that she has with her husband donald and it was great to hear about the very caring and generous side of donald trump bravo melania for such a well written glimpse into the story of her life,0.99607
DeniseL Garcia,"Reviewed in the United States on February 23, 2025",5.0 out of 5 stars,"A reflective and thoughtful memoir about our beautiful, compassionate and bright First Lady. I was amazed to learn of all the renovation and projects, such as the tennis pavilion, which she initiated during her first 4 years in the White House. Highly recommend!",a reflective and thoughtful memoir about our beautiful compassionate and bright first lady i was amazed to learn of all the renovation and projects such as the tennis pavilion which she initiated during her first 4 years in the white house highly recommend,0.9933699999999999
Stephanie,"Reviewed in the United States on February 22, 2025",5.0 out of 5 stars,Great read. Love her even more now! Take the time to understand Melania. She deserves much more than the American people provide back to her.,great read love her even more now take the time to understand melania she deserves much more than the american people provide back to her,0.9777849999999999
