User Name,Review Date,Rating,Review Body
Customer Review,"Reviewed in the United States on March 9, 2025",4.0 out of 5 stars,"I'm a huge fan of reading about current and past presidents, first ladies, and the White House, so when I saw Melania Trump had a new book out, I knew I wanted to read it. Plus, the cover drew me in immediately when I saw it at the bookstore, which is kind of odd because it's so simple. The book itself is an easy read that is engaging and sounds authentic. Melania has a great love for her family, she's a dedicated wife and mother that has led a fascinating and inspiring life. She talks a lot about the pitfalls and rewards of being in the public eye, she also is frank about mistakes she has made. My favorite part of the book was the super secret flight that she and President Trump took to Iraq, and then Germany, to surprise the troops on Christmas Day. The description of the trip gave me goosebumps."
Verflixt,"Reviewed in the United States on March 5, 2025",4.0 out of 5 stars,"I'm giving this book four stars because it was not difficult to read mechanically, but it did not hold my interest. I personally think Melania Trump is quite beautiful and elegant and gets a lot of grief just because her husband is President. I enjoy how much she loves her son, but otherwise, I found her hard to relate to. Maybe I missed it, but it's like she hasn't really had any major problems that humanize her for us plebeians. She grew up affluent in a time and place that as an American, we had been told was a horrible place to live, and she even states that the proximity of her home to Italy afforded them a lot more leeway. She speaks of her talents (being beautiful and photogenic) and her hard work (being handpicked for runway and photo modeling). I just feel like I may have learned a little bit about the events in her life, but I didn't learn anything about any life lessons she's overcome, which is what I expect from a memoir. There's a pictorial segment in the middle of the book which is nice to be able to visualize major events for her."
RSC,"Reviewed in the United States on February 25, 2025",4.0 out of 5 stars,"I really enjoyed this book. It is obvious that Melania Trump is a very private person, so for those who want lots of personal, private info you aren't going to get it! And, it's nobody's business. She has a very public life and very much deserves privacy. What she does share is great and is important to know. She is clearly and very intelligent woman full of grace!"
Kindle Customer,"Reviewed in the United States on February 24, 2025",4.0 out of 5 stars,"Enjoyed learning more about our First Lady (FLOTUS🇺🇸). Also liked reading her account of what was happening during President Trump's first term. Very enlightening! I wish we had heard more about her accomplishments then ... and am hoping for better coverage, and more recognition, going forward."
PinkyRoseGirl,"Reviewed in the United States on February 15, 2025",4.0 out of 5 stars,I like the book. It's nice to hear from her directly. I wish she told us more dirty details though about other politicians wives and stuff like that.
Jill,"Reviewed in the United States on February 11, 2025",4.0 out of 5 stars,A wonderful look inside the First Lady's life. Really enjoyed the writing and pictures!
Lee Gimenez,"Reviewed in the United States on February 6, 2025",4.0 out of 5 stars,"This is a great book. Melania Trump shares heartfelt information about her life, including her childhood, her early modeling career, and then her success as a businesswoman. She also describes her years in the White House from 2016 until 2020. Well written throughout. She also documents how she dealt with the negative media that tried to tarnish her reputation. Melania Trump comes across as a caring, loving, resourceful, and intelligent individual who relied on her Christian faith to get her through the difficult times in her life."
Cc,"Reviewed in the United States on January 28, 2025",4.0 out of 5 stars,Easy and interesting book. Always nice to see another perspective.
tibitha rivera,"Reviewed in the United States on January 26, 2025",4.0 out of 5 stars,"This book is well written. I really enjoyed her story telling of her life. From her time as a child to her time in the white house.
It brings to light who she is and what she is about."
D. Crunk,"Reviewed in the United States on January 13, 2025",4.0 out of 5 stars,"Those who think for themselves will be impressed with ""Melania"" first lady...I wanted her to mention her adversaries, Barak, Michelle, Biden, Jill and Kamala...she did with compassion and class. Read this book by the best and beautiful first lady, Melania!"
Macho Mama,"Reviewed in the United States on January 10, 2025",4.0 out of 5 stars,"Not filled with fluff, this book tells the inside story of a First Lady’s daily life, through the minutia of her desk work to the glamour of a State Dinner. These activities and more are added to the normal roles of wife and mother, daughter and friend, all told in an engaging manner with subtle emotion."
cassie f,"Reviewed in the United States on December 31, 2024",4.0 out of 5 stars,"Loved this read. It was nice to hear Melania’s points of view and perceptions of things that happened, esp. during Donald’s presidency. She is such a smart, talented, beautiful woman!! Can’t wait to see what she does in the next 4 years"
C. Wallace,"Reviewed in the United States on December 31, 2024",4.0 out of 5 stars,I have a better understanding of her role as the helpmate of DJT. I only wish everyone was prioritized instead of women and children.
Alicat!,"Reviewed in the United States on December 31, 2024",4.0 out of 5 stars,"I would’ve gave it 5 stars but when it arrived it had some smudges and scratches on the jacket cover. Other than that the book was absolutely amazing I couldn’t put it down when I started reading! I give it a 5/5 very informative, and we found out things we never knew."
Donna Persson,"Reviewed in the United States on December 29, 2024",4.0 out of 5 stars,I don’t know why the book is small with such small print. Books like these are usually bigger.
Bratty Ann,"Reviewed in the United States on December 28, 2024",4.0 out of 5 stars,"When I purchased this story, I had hoped to learn more about Melania. She's presented a lot of herself, but somehow, I felt a lot was still missing. I really like her and had hoped there would have been more stories about her life. I liked the stories of her growing up, meeting Donald, and decorating and revitalizing the White House. I had hoped to have learned more of what she had been doing before meeting Donald besides modeling, and some insight about their relationship. She's obviously not dependent on her husband and still offers grace, beauty and dignity. I just wish there had been more."
Robin Sassman,"Reviewed in the United States on December 25, 2024",4.0 out of 5 stars,It is a good product.
mara carpenter,"Reviewed in the United States on December 25, 2024",4.0 out of 5 stars,"Fascinating record of the realities of living within the culture of politics. Deep admiration is felt for Melania’s journey and how her very descriptive experiences throughout her young years prepared her for such an unforeseen future. Being exposed to Melania’s experiences as First Lady and knowing the responsibilities she undertook, with a servants heart so passionately demands respect. I hope and pray she is able to finish the work over the next four years she so faithfully started during her first term as First Lady."
Ronaele Whittington,"Reviewed in the United States on December 24, 2024",4.0 out of 5 stars,"Most of this book presents new, personal information about Mrs.Trump... new to me anyway. I had no idea how Melania lived before, during, or after life in the White House. Looking forward to Melania’s sequel, after the Trumps’ second tenure in the People’s’ House."
Tabitha Hurford,"Reviewed in the United States on December 24, 2024",4.0 out of 5 stars,I have not started to read this book but can not wait. I know it will not disappoint.
Lynne,"Reviewed in the United States on December 23, 2024",4.0 out of 5 stars,"I read this book because I wanted to know more about the woman who is married to Donald Trump. With all! If the fake news out their, I was interested to know what someone close to him has to say. This book did not disappoint. Melanie is very real, down to earth, extremely intelligent and very compassionate. This book have me real insight to the things that had unfolded from the perspective of someone who was experiencing it as it unfolded."
XoXo,"Reviewed in the United States on December 16, 2024",4.0 out of 5 stars,It came quickly. Its a Gift for a family member. Its Very nice.
Placeholder,"Reviewed in the United States on December 12, 2024",4.0 out of 5 stars,Very Bright woman with a strong maternal instinct. Reading her views on a variety of important topics brought home to me that our president was very fortunate to have a wife this brilliant and this cognizant of the changes that are occurring in our country. She’s not only a beautiful life partnerand a wonderful counselor and advisor.
