User Name,Review Date,Review Body
Sherrie A Bell,"Reviewed in the United States on February 15, 2025","This in some ways mirrors my own life story. I was in three homes and an orphanage. I know many of these stories and have lived the flight syndrome all my life.

Thank you sir for your vulnerability and willingness to deal with your life hurts.

Blessings and my prayers and support are with you Usha.

Your a great man JD Vance!"
Shawna White,"Reviewed in the United States on February 13, 2025","I loved this book! I am pleased to have JD Vance as our VP. I am proud to be an American. The only thing I didn't like, was all of the cursing. I understand he was trying to paint a picture of who Mamaw was but I could have done without the F bombs and the GDs."
Kindle Customer,"Reviewed in the United States on February 10, 2025","I could not put this book down. It is not political except to tell one man’s story of like as a Hillbilly in blue collar America. Vance’s story is honest , raw, and one of survival. It gives the reader a good understanding of what life in Appalachia is like. I highly recommend this book."
Grams,"Reviewed in the United States on February 13, 2025","I am enjoying the read of this book. It opens the mind to a number of things, one is being thankful and feeling blessed for the little we had growing up and thankful for what we have these days. It shows the cultural stigma, which I also grew up in, in many varieties of neglect, abuse and stigma. An East and recommended read"
Carole Duff,"Reviewed in the United States on February 11, 2025","Honest, direct, and articulate, J.D. Vance writes about his coming-of-age in a low-income Appalachian extended family with lots of disruptions and few opportunities—all as a window into a cultural crisis. No government can fix the problems of this large segment of our society, but awareness might improve policies and soften our hearts to the struggles of humanity."
happycaregiver,"Reviewed in the United States on January 25, 2025","A very personal tale of a very interesting life of our new Vice President, but one that I think will resonate with many people across the country. We may not be “hillbillies “ but we had the same issues and we are all carrying the scars. We need to keep discussing these things and working together to find better ways of dealing with them then we did, our parents did and yes, our government has. A very important read as we move into the next 4 years and hopefully see some changes for the better."
Samantha,"Reviewed in the United States on January 2, 2025","Hillbilly Eligy deeply moved me. Having grown up in abject poverty in the middle of an otherwise middle-class neighborhood really left a lasting impact on me. His words regarding the struggle of straddling two worlds, his conflicting feelings regarding his relationship with his mother (mine was mental illness not drugs like his mother), and his struggle managing big feelings as a result of his childhood trauma really resonated with me. As someone who broke their family cycle and built a better world for their own children, like JD Vance did, I have mad respect for the man and his sister. Most will not fathom the courage it took to write that book and acknowledge it publicly in an effort to shed light on a oft misunderstood segment of society from a real world personal perspective. Well done sir."
Monte K. Maxwell,"Reviewed in the United States on February 9, 2025",I started this book to learn more about the futureVP of our country…I finished it with a deeper understanding of who JD is and why he stands for what he stands for. I also have seen societies similar to the hillbillies in my state of Arizona and wonder how I could become part of the solution instead of a bystanders
Mimi,"Reviewed in the United States on January 28, 2025",I’m so glad I read this book. I had seen the movie when it came out and liked it. The book goes much deeper into JD’s life and way of looking at life. He is truly a success story and achieved the American Dream through a lot of struggles and hard word. A true triumph over adversity. I learned so much about the Rust Belt and the Hillbillies. He’s an amazing person and will be a great VP.
Jiminylena,"Reviewed in the United States on February 7, 2025","I don’t know what I was expecting: the author has recently been elected to the Vice-presidency of the United States. I found this book to be profoundly honest and character-revealing. A survivor’s story, honestly presented. In a culture where an attractive and successful facade are preserved at all costs, this book shows a kind of raw honesty. I found it funny and tragic in equal measure, and applaud the author."
Sherry Boyd,"Reviewed in the United States on February 15, 2025","People need to hear about the truth of white-collar workers; the struggles, the heartbreak of trying to just survive, and the failures of a lot of the American culture. People also need to learn about the survivors and the over comers."
Robert G. Walsh,"Reviewed in the United States on February 4, 2025","I’m reading this after JD was elected Vice President, so my vantage point is much different than someone who read it before all the recent history has been made. I thoroughly enjoyed it and find it hopeful. If JD Vance can go from his broken and humble beginnings to become Vice President, anyone in our country can. Isn’t that the true story of the United States. God bless us."
deseretrat,"Reviewed in the United States on February 9, 2025","This book was a good look at what a large segment of our country has to deal with, and what one man did to overcome the conditions he grew up in. Maybe his experience can help find solutions too solve the problems he experienced. We know what is being done now isn't working."
HazelD,"Reviewed in the United States on February 16, 2025","Wow, what an interesting back story about JD Vance’s upbringing. He certainly overcame obstacles that many in the areas where he grew up. I won’t be a spoiler but this book is definitely worth the time to read."
Rachel Simon,"Reviewed in the United States on February 18, 2025","I know five stars is the max, but this book deserves more! Hands down one of the best books I’ve ever read! I couldn’t put it down but then didn’t want it to end. Fantastic!!!"
Tom Rusk,"Reviewed in the United States on February 1, 2025",J.D. is going to make a great vice president because of his background and military experience. My only complaint was the course language which I question really added to the story. Also I found the movie much different than the book.
Booklover,"Reviewed in the United States on January 20, 2025","Having taught over 50 years ago in hills country, coming from NYS, I found this intensely interesting. With a concentration in social sciences, it further enlightened me about the intricate part of family life in the area. However, I found my students to be endearingly naive to the outside world. Of course, the story was well-written with excellent character development and compelling from beginning to end. I would recommend teachers-in-training to be assigned the book to depict what many of their students could be experiencing in their home life to better relate to them."
Ryan Smith,"Reviewed in the United States on January 24, 2025",This book really pulled up some emotions in me. What an incredible story. I bought it so that I could learn more about VP Vance since I didn't really know who he was. Reading this will allow you to understand him more and about what makes him operate. I could see parallels in his family and many American families I come across. Very good read and worth it regardless of what you think of his politics it is a must read.
Po-Yu,"Reviewed in the United States on October 22, 2024","I knew about this book in 2016 when I was still a college student at Boston. I did not pay much attention to its release due to the beginning of Trump’s presidency; I guess I just assumed the memoir was some sort of a sociological testament to Trumpism, therefore I was not interested with having to read another story on mad white working-class people living in the Rust Belt.

Today, no longer a college kid, and at the same time being an elected councilor from Taiwan, I revisited this memoir because of Vance’s candidacy in 2024.

I must say, after finishing the book, I am very surprised with how much I actually enjoyed reading it.
The history of the district that I represent more or less reassemble with what Vance was describing from the Rust Belt, and how globalization has affected the societal structure of the area. I do see a lot of similarity to how working-class Taiwanese and American families are affected by these global changes.

However, I really like how Vance was honest about how his family got to the deepest point it did, and how he and his sister Lindsey got out of it, and even improved upon it despite facing such adversity socially and economically.

“God helps those who help themselves,” was what he quoted in the book, and I believe it speaks to everyone who reads it.

It does not really matter who is in charge of the government, if someone with disadvantages really want to get out from the situation they were being born into, it takes courage and resolve from the individual to fundamentally change those misfortunes from the family, or else they will just be doomed to become a repetition of excuses from old family lore."
Amazon Customer,"Reviewed in the United States on January 28, 2025","Brutally honest about the destruction of white poor and middle class families by the infusion of the drug culture, poverty and poor education. I am so glad JD Vance made it out though the odds were against him, and think he will be a great Vice President, and work to improve all of America."
Kevin Mayfield,"Reviewed in the United States on February 8, 2025",This book had me searching my soul about my own upbringing and working harder to understand those in my life whose childhoods bore some resmblance to JD's. Great read.
Cathy Megrath,"Reviewed in the United States on February 13, 2025",This book was amazing! Every member of society should read this! It speaks volumes about the problems of society today & what WE can do to improve them! 1million percent recommend this!
Shawn Hamilton,"Reviewed in the United States on February 10, 2025","I'm glad that I read it. Although I define myself as a moderate, I have a lot in common with JD Vance and I appreciate his honestly in this book. He seems like someone I can trust."
evelyntennessee,"Reviewed in the United States on January 21, 2025","I have watched the movie four times, and finally bought the book. Several years ago when I saw the movie, I was brought to tears over what this young man went through, and I did not know who he was at all. Today, he was was inaugurated as the vice president of the United States. This great-grandmother is so very proud of him, and I know his family is extremely proud today. Congratulations JD. A must read book!"
Elephant Brands Distribution,"Reviewed in the United States on February 6, 2025","An intimate look at the childhood that formed the values and practical outlook of our Vice President. Refreshingly transparent, non judgmental and written with great compassion for the struggling families who live in communities that have been forgotten by most politicians. GREAT book!"
Joe Scheiner,"Reviewed in the United States on January 27, 2025",The story to me expands my appreciation for Mr. Vance. I see this a lot in my family and now understand more of the differences in peoples backgrounds that make up their lives and to not be stuck or to be stuck in what seems to be a pre-disposed way.
Amazon Customer,"Reviewed in the United States on January 26, 2025","I wanted to learn more about our new Vice President, so I purchased this highly acclaimed book. It is well-written and easy to read. I enjoy reading autobiographies. We all have a story to tell! I am glad JD Vance chose to give us a glimpse into his life and the events that shaped him into the man he is today."
Sam,"Reviewed in the United States on December 20, 2024","I first stumbled upon Hillbilly Elegy when I was browsing netflix for something to watch. I saw the movie- but decided not to watch. Growing up in western north carolina, I figured I did not need to watch a film recounting the culture I have grown to call home. Fast forward a year and J.D. Vance is the future vice-president-elect; now, I had to read his book. Immediately, I found myself impressed with how well-written and structured Hillbilly Elegy is. JD paints a beautiful story revolving around his tumultuous upbringing, law-school, and even some family history dating back to 1920s. The emotional connection that JD has with his grandmother was translated extremely well through the book. I found myself understanding how instrumental JD’s grandmother was in his life. I was surprised at the quality of this book and wish the Vance family all the best in their future endeavors."
knash,"Reviewed in the United States on January 26, 2025",Read this book as part of a book club. Really enjoyed how honest and raw the look at JDs life was. I'm from North Carolina and parts of this book really resonated with me and my home town. Would absolutely read again and would recommend to others.
Constantinos E. Scaros,"Reviewed in the United States on January 6, 2025","I only read this book because JD Vance has a better-than-decent chance of becoming our next president. Otherwise, I didn't think I'd be particularly interested in learning about hillbillies. I was wrong.

Vance's writing is compelling and seems very genuine. He attributes his academic success not to money or connections, but to his mom's lifelong instillment of its virtues in him. That's how it was in my neighborhood too. Many of us attained advanced degrees and we too didn't come from money or connections. We were. a neighborhood of immigrants in NYC - very different from Appalachia, but ultimately not so different after all."
Susie Rosser,"Reviewed in the United States on February 9, 2025",Interesting read. I didn’t know anything about JD Vance before I picked up this book. I really agree with many of the things he said.
Amazon Customer,"Reviewed in the United States on February 16, 2025",Wonderful true story of coming from low income difficult home life to working hard and achieving great things. JD Vance is an amazing person.
stepha,"Reviewed in the United States on February 11, 2025","A good read, JD Vance reflects on issues in our society he has experienced first hand."
Kate,"Reviewed in the United States on February 21, 2025",Book is well written. Very interesting reading about different ways of living. Recommend this book.
Tbone,"Reviewed in the United States on October 13, 2024","I bought this book after hearing about it during one of Vance's speeches. All I knew was it was a book he wrote and literally nothing more. Not knowing what it was about, it took several weeks to get around to it. But once I did, all I wanted to do was read more. I spoke about it to friends and family as it connected with me on a level few books do. No, I was not a hillbilly or from anywhere near Kentucky. But the characteristics of a messed up family life and how he reacted really hit home. The cultural similarities were absolutely shocking, considering I grew up totally middle class in CA. Keeping up the family image, not airing dirty laundry, ungodly fights, I simply did not expect any of the family life of a Kentucky hillbilly to resonate with a family from CA. Clinging to relatives for survival. The endless list of people who dramatically influenced his life for the positive. How he captured his feelings when he gets into an argument, even as an adult, unreal to me. Additionally, it was eye-opening to read his views on the situation from which he came - very poor, few figures to emulate, highly charged environment. And the issues these people face. You see things in a way that is much, much larger than simply, ""that family is poor. They must have made poor life choices."" The questions implied as to how can things be improved for these people, what role does or should government play, where is government intervention useless, what is the role of the society and culture in the development of the individuals. The book made me think about old issues in a very new light. I cannot wait to see the movie."
